snr_db,curve_a,curve_b,blocks,n00,n01,n10,n11
20.0,B-SSB,P-SSB,1,1,0,0,0
20.0,B-SSB,BC-SSB,1,1,0,0,0
20.0,B-SSB,BC-BEAM,1,1,0,0,0
20.0,B-SSB,CDD-SSB,1,1,0,0,0
20.0,B-SSB,CDD-BEAM,1,1,0,0,0
20.0,B-SSB,CDD-IDEAL,1,1,0,0,0
20.0,P-SSB,BC-SSB,1,1,0,0,0
20.0,P-SSB,BC-BEAM,1,1,0,0,0
20.0,P-SSB,CDD-SSB,1,1,0,0,0
20.0,P-SSB,CDD-BEAM,1,1,0,0,0
20.0,P-SSB,CDD-IDEAL,1,1,0,0,0
20.0,BC-SSB,BC-BEAM,1,1,0,0,0
20.0,BC-SSB,CDD-SSB,1,1,0,0,0
20.0,BC-SSB,CDD-BEAM,1,1,0,0,0
20.0,BC-SSB,CDD-IDEAL,1,1,0,0,0
20.0,BC-BEAM,CDD-SSB,1,1,0,0,0
20.0,BC-BEAM,CDD-BEAM,1,1,0,0,0
20.0,BC-BEAM,CDD-IDEAL,1,1,0,0,0
20.0,CDD-SSB,CDD-BEAM,1,1,0,0,0
20.0,CDD-SSB,CDD-IDEAL,1,1,0,0,0
20.0,CDD-BEAM,CDD-IDEAL,1,1,0,0,0
