snr_db,curve_id,curve_type,scheme,covariance,block_errors,blocks,bler,wilson_low,wilson_high,stop_reason
-8.0,B-SSB,estimated_csi,baseline,ssb_pdp,64,5230,0.012237093690248566,0.00959511813050631,0.015595071495604573,running
-8.0,P-SSB,estimated_csi,pol_cycling,ssb_pdp,390,5230,0.0745697896749522,0.06775829014947733,0.08200579135506862,running
-8.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,329,5230,0.06290630975143403,0.056641566970060134,0.06981267587011607,running
-8.0,BC-BEAM,estimated_csi,beam_cycling,per_beam_pdp,263,5230,0.050286806883365204,0.044687150382410314,0.0565466112799232,running
-8.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,27,5230,0.0051625239005736135,0.00355050552348,0.007500929502931202,running
-8.0,CDD-BEAM,estimated_csi,beam_cdd,cdd_per_beam_pdp,26,5230,0.00497131931166348,0.003394898390880769,0.007274408132835846,running
-8.0,CDD-IDEAL,estimated_csi,beam_cdd,ideal_covariance,24,5230,0.004588910133843212,0.0030857464678866217,0.006819303050440822,running
-8.0,PERF-baseline,perfect_csi,baseline,perfect_csi,0,5230,0.0,0.0,0.0007339654536573779,running
-8.0,PERF-pol_cycling,perfect_csi,pol_cycling,perfect_csi,0,5230,0.0,0.0,0.0007339654536573779,running
-8.0,PERF-beam_cycling,perfect_csi,beam_cycling,perfect_csi,1,5230,0.00019120458891013384,3.375310236103108e-05,0.0010823408539909329,running
-8.0,PERF-beam_cdd,perfect_csi,beam_cdd,perfect_csi,13,5230,0.00248565965583174,0.001453250779258983,0.0042483852094280135,running
-6.0,B-SSB,estimated_csi,baseline,ssb_pdp,0,381,0.0,0.0,0.009981925628454551,all_estimated_curves_resolved
-6.0,P-SSB,estimated_csi,pol_cycling,ssb_pdp,0,381,0.0,0.0,0.009981925628454551,all_estimated_curves_resolved
-6.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,0,381,0.0,0.0,0.009981925628454551,all_estimated_curves_resolved
-6.0,BC-BEAM,estimated_csi,beam_cycling,per_beam_pdp,0,381,0.0,0.0,0.009981925628454551,all_estimated_curves_resolved
-6.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,0,381,0.0,0.0,0.009981925628454551,all_estimated_curves_resolved
-6.0,CDD-BEAM,estimated_csi,beam_cdd,cdd_per_beam_pdp,0,381,0.0,0.0,0.009981925628454551,all_estimated_curves_resolved
-6.0,CDD-IDEAL,estimated_csi,beam_cdd,ideal_covariance,0,381,0.0,0.0,0.009981925628454551,all_estimated_curves_resolved
-6.0,PERF-baseline,perfect_csi,baseline,perfect_csi,0,381,0.0,0.0,0.009981925628454551,all_estimated_curves_resolved
-6.0,PERF-pol_cycling,perfect_csi,pol_cycling,perfect_csi,0,381,0.0,0.0,0.009981925628454551,all_estimated_curves_resolved
-6.0,PERF-beam_cycling,perfect_csi,beam_cycling,perfect_csi,0,381,0.0,0.0,0.009981925628454551,all_estimated_curves_resolved
-6.0,PERF-beam_cdd,perfect_csi,beam_cdd,perfect_csi,0,381,0.0,0.0,0.009981925628454551,all_estimated_curves_resolved
-4.0,B-SSB,estimated_csi,baseline,ssb_pdp,0,381,0.0,0.0,0.009981925628454551,all_estimated_curves_resolved
-4.0,P-SSB,estimated_csi,pol_cycling,ssb_pdp,0,381,0.0,0.0,0.009981925628454551,all_estimated_curves_resolved
-4.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,0,381,0.0,0.0,0.009981925628454551,all_estimated_curves_resolved
-4.0,BC-BEAM,estimated_csi,beam_cycling,per_beam_pdp,0,381,0.0,0.0,0.009981925628454551,all_estimated_curves_resolved
-4.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,0,381,0.0,0.0,0.009981925628454551,all_estimated_curves_resolved
-4.0,CDD-BEAM,estimated_csi,beam_cdd,cdd_per_beam_pdp,0,381,0.0,0.0,0.009981925628454551,all_estimated_curves_resolved
-4.0,CDD-IDEAL,estimated_csi,beam_cdd,ideal_covariance,0,381,0.0,0.0,0.009981925628454551,all_estimated_curves_resolved
-4.0,PERF-baseline,perfect_csi,baseline,perfect_csi,0,381,0.0,0.0,0.009981925628454551,all_estimated_curves_resolved
-4.0,PERF-pol_cycling,perfect_csi,pol_cycling,perfect_csi,0,381,0.0,0.0,0.009981925628454551,all_estimated_curves_resolved
-4.0,PERF-beam_cycling,perfect_csi,beam_cycling,perfect_csi,0,381,0.0,0.0,0.009981925628454551,all_estimated_curves_resolved
-4.0,PERF-beam_cdd,perfect_csi,beam_cdd,perfect_csi,0,381,0.0,0.0,0.009981925628454551,all_estimated_curves_resolved
-2.0,B-SSB,estimated_csi,baseline,ssb_pdp,0,381,0.0,0.0,0.009981925628454551,all_estimated_curves_resolved
-2.0,P-SSB,estimated_csi,pol_cycling,ssb_pdp,0,381,0.0,0.0,0.009981925628454551,all_estimated_curves_resolved
-2.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,0,381,0.0,0.0,0.009981925628454551,all_estimated_curves_resolved
-2.0,BC-BEAM,estimated_csi,beam_cycling,per_beam_pdp,0,381,0.0,0.0,0.009981925628454551,all_estimated_curves_resolved
-2.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,0,381,0.0,0.0,0.009981925628454551,all_estimated_curves_resolved
-2.0,CDD-BEAM,estimated_csi,beam_cdd,cdd_per_beam_pdp,0,381,0.0,0.0,0.009981925628454551,all_estimated_curves_resolved
-2.0,CDD-IDEAL,estimated_csi,beam_cdd,ideal_covariance,0,381,0.0,0.0,0.009981925628454551,all_estimated_curves_resolved
-2.0,PERF-baseline,perfect_csi,baseline,perfect_csi,0,381,0.0,0.0,0.009981925628454551,all_estimated_curves_resolved
-2.0,PERF-pol_cycling,perfect_csi,pol_cycling,perfect_csi,0,381,0.0,0.0,0.009981925628454551,all_estimated_curves_resolved
