snr_db,curve_a,curve_b,blocks,n00,n01,n10,n11
-6.0,B-SSB,P-SSB,381,381,0,0,0
-6.0,B-SSB,BC-SSB,381,381,0,0,0
-6.0,B-SSB,BC-BEAM,381,381,0,0,0
-6.0,B-SSB,CDD-SSB,381,381,0,0,0
-6.0,B-SSB,CDD-BEAM,381,381,0,0,0
-6.0,B-SSB,CDD-IDEAL,381,381,0,0,0
-6.0,P-SSB,BC-SSB,381,381,0,0,0
-6.0,P-SSB,BC-BEAM,381,381,0,0,0
-6.0,P-SSB,CDD-SSB,381,381,0,0,0
-6.0,P-SSB,CDD-BEAM,381,381,0,0,0
-6.0,P-SSB,CDD-IDEAL,381,381,0,0,0
-6.0,BC-SSB,BC-BEAM,381,381,0,0,0
-6.0,BC-SSB,CDD-SSB,381,381,0,0,0
-6.0,BC-SSB,CDD-BEAM,381,381,0,0,0
-6.0,BC-SSB,CDD-IDEAL,381,381,0,0,0
-6.0,BC-BEAM,CDD-SSB,381,381,0,0,0
-6.0,BC-BEAM,CDD-BEAM,381,381,0,0,0
-6.0,BC-BEAM,CDD-IDEAL,381,381,0,0,0
-6.0,CDD-SSB,CDD-BEAM,381,381,0,0,0
-6.0,CDD-SSB,CDD-IDEAL,381,381,0,0,0
-6.0,CDD-BEAM,CDD-IDEAL,381,381,0,0,0
-4.0,B-SSB,P-SSB,381,381,0,0,0
-4.0,B-SSB,BC-SSB,381,381,0,0,0
-4.0,B-SSB,BC-BEAM,381,381,0,0,0
-4.0,B-SSB,CDD-SSB,381,381,0,0,0
-4.0,B-SSB,CDD-BEAM,381,381,0,0,0
-4.0,B-SSB,CDD-IDEAL,381,381,0,0,0
-4.0,P-SSB,BC-SSB,381,381,0,0,0
-4.0,P-SSB,BC-BEAM,381,381,0,0,0
-4.0,P-SSB,CDD-SSB,381,381,0,0,0
-4.0,P-SSB,CDD-BEAM,381,381,0,0,0
-4.0,P-SSB,CDD-IDEAL,381,381,0,0,0
-4.0,BC-SSB,BC-BEAM,381,381,0,0,0
-4.0,BC-SSB,CDD-SSB,381,381,0,0,0
-4.0,BC-SSB,CDD-BEAM,381,381,0,0,0
-4.0,BC-SSB,CDD-IDEAL,381,381,0,0,0
-4.0,BC-BEAM,CDD-SSB,381,381,0,0,0
-4.0,BC-BEAM,CDD-BEAM,381,381,0,0,0
-4.0,BC-BEAM,CDD-IDEAL,381,381,0,0,0
-4.0,CDD-SSB,CDD-BEAM,381,381,0,0,0
-4.0,CDD-SSB,CDD-IDEAL,381,381,0,0,0
-4.0,CDD-BEAM,CDD-IDEAL,381,381,0,0,0
-2.0,B-SSB,P-SSB,381,381,0,0,0
-2.0,B-SSB,BC-SSB,381,381,0,0,0
-2.0,B-SSB,BC-BEAM,381,381,0,0,0
-2.0,B-SSB,CDD-SSB,381,381,0,0,0
-2.0,B-SSB,CDD-BEAM,381,381,0,0,0
-2.0,B-SSB,CDD-IDEAL,381,381,0,0,0
-2.0,P-SSB,BC-SSB,381,381,0,0,0
-2.0,P-SSB,BC-BEAM,381,381,0,0,0
-2.0,P-SSB,CDD-SSB,381,381,0,0,0
-2.0,P-SSB,CDD-BEAM,381,381,0,0,0
-2.0,P-SSB,CDD-IDEAL,381,381,0,0,0
-2.0,BC-SSB,BC-BEAM,381,381,0,0,0
-2.0,BC-SSB,CDD-SSB,381,381,0,0,0
-2.0,BC-SSB,CDD-BEAM,381,381,0,0,0
-2.0,BC-SSB,CDD-IDEAL,381,381,0,0,0
-2.0,BC-BEAM,CDD-SSB,381,381,0,0,0
-2.0,BC-BEAM,CDD-BEAM,381,381,0,0,0
-2.0,BC-BEAM,CDD-IDEAL,381,381,0,0,0
-2.0,CDD-SSB,CDD-BEAM,381,381,0,0,0
-2.0,CDD-SSB,CDD-IDEAL,381,381,0,0,0
-2.0,CDD-BEAM,CDD-IDEAL,381,381,0,0,0
0.0,B-SSB,P-SSB,381,381,0,0,0
0.0,B-SSB,BC-SSB,381,381,0,0,0
0.0,B-SSB,BC-BEAM,381,381,0,0,0
0.0,B-SSB,CDD-SSB,381,381,0,0,0
0.0,B-SSB,CDD-BEAM,381,381,0,0,0
0.0,B-SSB,CDD-IDEAL,381,381,0,0,0
0.0,P-SSB,BC-SSB,381,381,0,0,0
0.0,P-SSB,BC-BEAM,381,381,0,0,0
0.0,P-SSB,CDD-SSB,381,381,0,0,0
0.0,P-SSB,CDD-BEAM,381,381,0,0,0
0.0,P-SSB,CDD-IDEAL,381,381,0,0,0
0.0,BC-SSB,BC-BEAM,381,381,0,0,0
0.0,BC-SSB,CDD-SSB,381,381,0,0,0
0.0,BC-SSB,CDD-BEAM,381,381,0,0,0
0.0,BC-SSB,CDD-IDEAL,381,381,0,0,0
0.0,BC-BEAM,CDD-SSB,381,381,0,0,0
0.0,BC-BEAM,CDD-BEAM,381,381,0,0,0
0.0,BC-BEAM,CDD-IDEAL,381,381,0,0,0
0.0,CDD-SSB,CDD-BEAM,381,381,0,0,0
0.0,CDD-SSB,CDD-IDEAL,381,381,0,0,0
0.0,CDD-BEAM,CDD-IDEAL,381,381,0,0,0
