snr_db,curve_id,curve_type,scheme,covariance,block_errors,blocks,bler,wilson_low,wilson_high,stop_reason,source_plan,source_run
-12.0,B-SSB,estimated_csi,baseline,ssb_pdp,500,500,1.0,0.9923756595384479,1.0,fixed_common_drops,plan-002,run-001
-12.0,BC-BEAM,estimated_csi,beam_cycling,per_beam_pdp,492,500,0.984,0.9687488914666058,0.9918707469666117,fixed_common_drops,plan-002,run-001
-12.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,494,500,0.988,0.9740696388835527,0.9944890048259724,fixed_common_drops,plan-002,run-001
-12.0,CDD-BEAM,estimated_csi,beam_cdd,cdd_per_beam_pdp,469,500,0.938,0.9133402868983618,0.9559807908573184,fixed_common_drops,plan-002,run-001
-12.0,CDD-IDEAL,estimated_csi,beam_cdd,ideal_covariance,470,500,0.94,0.9156389368747802,0.9576516435190539,fixed_common_drops,plan-002,run-001
-12.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,475,500,0.95,0.9272318388284524,0.9659062547561506,fixed_common_drops,plan-002,run-001
-12.0,P-SSB,estimated_csi,pol_cycling,ssb_pdp,493,500,0.986,0.9713869308622147,0.9932022102091564,fixed_common_drops,plan-002,run-001
-12.0,PERF-baseline,perfect_csi,baseline,perfect_csi,500,500,1.0,0.9923756595384479,1.0,fixed_common_drops,plan-002,run-001
-12.0,PERF-beam_cdd,perfect_csi,beam_cdd,perfect_csi,449,500,0.898,0.868365377095774,0.9215656478968306,fixed_common_drops,plan-002,run-001
-12.0,PERF-beam_cycling,perfect_csi,beam_cycling,perfect_csi,450,500,0.9,0.8705780903680599,0.9233224372626984,fixed_common_drops,plan-002,run-001
-12.0,PERF-pol_cycling,perfect_csi,pol_cycling,perfect_csi,468,500,0.936,0.911047591162316,0.9543039839552107,fixed_common_drops,plan-002,run-001
-11.5,B-SSB,estimated_csi,baseline,ssb_pdp,500,500,1.0,0.9923756595384479,1.0,fixed_common_drops,plan-002,run-002
-11.5,BC-BEAM,estimated_csi,beam_cycling,per_beam_pdp,486,500,0.972,0.9535535973250512,0.9832490252792435,fixed_common_drops,plan-002,run-002
-11.5,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,490,500,0.98,0.9635798167531208,0.9891008164037892,fixed_common_drops,plan-002,run-002
-11.5,CDD-BEAM,estimated_csi,beam_cdd,cdd_per_beam_pdp,431,500,0.862,0.8289979864047199,0.8894819911011163,fixed_common_drops,plan-002,run-002
-11.5,CDD-IDEAL,estimated_csi,beam_cdd,ideal_covariance,425,500,0.85,0.8160389193683016,0.8786240423086119,fixed_common_drops,plan-002,run-002
-11.5,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,434,500,0.868,0.8355052092686175,0.8948832761516801,fixed_common_drops,plan-002,run-002
-11.5,P-SSB,estimated_csi,pol_cycling,ssb_pdp,489,500,0.978,0.9610391387886836,0.9876719917300725,fixed_common_drops,plan-002,run-002
-11.5,PERF-baseline,perfect_csi,baseline,perfect_csi,497,500,0.994,0.9825097478959467,0.9979574037280398,fixed_common_drops,plan-002,run-002
-11.5,PERF-beam_cdd,perfect_csi,beam_cdd,perfect_csi,396,500,0.792,0.7542636968800828,0.8252836882903708,fixed_common_drops,plan-002,run-002
-11.5,PERF-beam_cycling,perfect_csi,beam_cycling,perfect_csi,385,500,0.77,0.7311377813252322,0.8047450748255296,fixed_common_drops,plan-002,run-002
-11.5,PERF-pol_cycling,perfect_csi,pol_cycling,perfect_csi,421,500,0.842,0.8074376489887337,0.8713473021355645,fixed_common_drops,plan-002,run-002
-11.0,B-SSB,estimated_csi,baseline,ssb_pdp,500,500,1.0,0.9923756595384479,1.0,fixed_common_drops,plan-002,run-002
-11.0,BC-BEAM,estimated_csi,beam_cycling,per_beam_pdp,470,500,0.94,0.9156389368747802,0.9576516435190539,fixed_common_drops,plan-002,run-002
