snr_db,curve_id,scheme,covariance,blocks,mean_nmse
-11.5,B-SSB,baseline,ssb_pdp,500,0.40937685816681063
-11.5,P-SSB,pol_cycling,ssb_pdp,500,0.4100835060742393
-11.5,BC-SSB,beam_cycling,ssb_pdp,500,0.40007636836565846
-11.5,BC-BEAM,beam_cycling,per_beam_pdp,500,0.3440726536074199
-11.5,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.09212242416486256
-11.5,CDD-BEAM,beam_cdd,cdd_per_beam_pdp,500,0.08218057977230225
-11.5,CDD-IDEAL,beam_cdd,ideal_covariance,500,0.0739530657206973
-11.0,B-SSB,baseline,ssb_pdp,500,0.3807834425377208
-11.0,P-SSB,pol_cycling,ssb_pdp,500,0.3816071792239822
-11.0,BC-SSB,beam_cycling,ssb_pdp,500,0.37305769050706317
-11.0,BC-BEAM,beam_cycling,per_beam_pdp,500,0.3216414228059698
-11.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.0839993386214686
-11.0,CDD-BEAM,beam_cdd,cdd_per_beam_pdp,500,0.07554912228857132
-11.0,CDD-IDEAL,beam_cdd,ideal_covariance,500,0.0679355254249112
-10.5,B-SSB,baseline,ssb_pdp,500,0.3543865256376073
-10.5,P-SSB,pol_cycling,ssb_pdp,500,0.35618688383862085
-10.5,BC-SSB,beam_cycling,ssb_pdp,500,0.3456350415619194
-10.5,BC-BEAM,beam_cycling,per_beam_pdp,500,0.29714642066939784
-10.5,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.07632196050815745
-10.5,CDD-BEAM,beam_cdd,cdd_per_beam_pdp,500,0.0692655516351918
-10.5,CDD-IDEAL,beam_cdd,ideal_covariance,500,0.06223240518562953
-9.5,B-SSB,baseline,ssb_pdp,500,0.3056689087264368
-9.5,P-SSB,pol_cycling,ssb_pdp,500,0.3079756600672529
-9.5,BC-SSB,beam_cycling,ssb_pdp,500,0.29814586336951826
-9.5,BC-BEAM,beam_cycling,per_beam_pdp,500,0.2561236435885624
-9.5,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.0649931137808641
-9.5,CDD-BEAM,beam_cdd,cdd_per_beam_pdp,500,0.059353113549436946
-9.5,CDD-IDEAL,beam_cdd,ideal_covariance,500,0.05388680741929969
-8.5,B-SSB,baseline,ssb_pdp,500,0.25987593148268057
-8.5,P-SSB,pol_cycling,ssb_pdp,500,0.2630794550851385
-8.5,BC-SSB,beam_cycling,ssb_pdp,500,0.25368677310916765
-8.5,BC-BEAM,beam_cycling,per_beam_pdp,500,0.21919088779292095
-8.5,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.053272631977046896
-8.5,CDD-BEAM,beam_cdd,cdd_per_beam_pdp,500,0.04888791133202635
-8.5,CDD-IDEAL,beam_cdd,ideal_covariance,500,0.04433810802452934
