snr_db,curve_id,curve_type,scheme,covariance,block_errors,blocks,bler,wilson_low,wilson_high,source_runs
-18.0,B-SSB,estimated_csi,baseline,ssb_pdp,74,500,0.148,0.11956140538920541,0.18180613029572734,run-004/threshold
-18.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,78,500,0.156,0.126830791403845,0.19041475483370296,run-004/threshold
-18.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,65,500,0.13,0.10332065036463456,0.16232136157691412,run-004/threshold
-18.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,77,500,0.154,0.12501068027834014,0.188265363321054,run-004/threshold
-18.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,76,500,0.152,0.12319239267380164,0.18611414828743875,run-004/threshold
-17.0,B-SSB,estimated_csi,baseline,ssb_pdp,68,500,0.136,0.10871544340723721,0.16883507644877283,run-004/threshold
-17.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,64,500,0.128,0.10152682399523653,0.16014568530815834,run-004/threshold
-17.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,49,500,0.098,0.07492391886460623,0.12720605086648182,run-004/threshold
-17.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,69,500,0.138,0.1105180088988837,0.17100201359528014,run-004/threshold
-17.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,70,500,0.14,0.11232266018786358,0.17316686494445405,run-004/threshold
-16.0,B-SSB,estimated_csi,baseline,ssb_pdp,54,500,0.108,0.08372280963705038,0.13825467328480662,run-004/threshold
-16.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,53,500,0.106,0.08195705027297036,0.13605093001073285,run-004/threshold
-16.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,43,500,0.086,0.06447314240360773,0.11383981149855753,run-004/threshold
-16.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,56,500,0.112,0.08726280019410228,0.1426536880040623,run-004/threshold
-16.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,57,500,0.114,0.08903690099400287,0.1448490898423155,run-004/threshold
-15.0,B-SSB,estimated_csi,baseline,ssb_pdp,44,500,0.088,0.06620598447492893,0.11607647206539012,run-004/threshold
-15.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,41,500,0.082,0.06101908946846895,0.10935485915738874,run-004/threshold
-15.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,37,500,0.074,0.054161184751011976,0.10033475332223055,run-004/threshold
-15.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,42,500,0.084,0.06274413680383038,0.1115993144601811,run-004/threshold
-15.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,42,500,0.084,0.06274413680383038,0.1115993144601811,run-004/threshold
-14.0,B-SSB,estimated_csi,baseline,ssb_pdp,107,1500,0.07133333333333333,0.05937394629575595,0.08548271897501297,run-002/wide_2+run-004/core
-14.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,106,1500,0.07066666666666667,0.058764922834676686,0.08476181501038582,run-002/wide_2+run-004/core
-14.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,99,1500,0.066,0.05451122748264681,0.07970601838247074,run-002/wide_2+run-004/core
-14.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,111,1500,0.074,0.061813250098013195,0.08836312487558143,run-002/wide_2+run-004/core
-14.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,110,1500,0.07333333333333333,0.061202950709795784,0.08764349683809242,run-002/wide_2+run-004/core
-13.0,B-SSB,estimated_csi,baseline,ssb_pdp,95,1500,0.06333333333333334,0.05208839990254764,0.07680913625974421,run-002/wide_2+run-004/core
-13.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,96,1500,0.064,0.0526935459511578,0.07753391763684048,run-002/wide_2+run-004/core
-13.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,82,1500,0.05466666666666667,0.0442585691503609,0.06734991047774742,run-002/wide_2+run-004/core
-13.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,95,1500,0.06333333333333334,0.05208839990254764,0.07680913625974421,run-002/wide_2+run-004/core
-13.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,95,1500,0.06333333333333334,0.05208839990254764,0.07680913625974421,run-002/wide_2+run-004/core
-12.0,B-SSB,estimated_csi,baseline,ssb_pdp,85,1500,0.056666666666666664,0.04605898663346571,0.06953927527176187,run-002/wide_2+run-004/core
-12.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,81,1500,0.054,0.04365935933562644,0.06661919286677545,run-002/wide_2+run-004/core
-12.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,60,1500,0.04,0.03120153051034394,0.05114854575222304,run-002/wide_2+run-004/core
-12.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,83,1500,0.05533333333333333,0.04485824885472669,0.06808015819908805,run-002/wide_2+run-004/core
-12.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,84,1500,0.056,0.04545839056668996,0.06880994391283121,run-002/wide_2+run-004/core
-11.0,B-SSB,estimated_csi,baseline,ssb_pdp,81,1500,0.054,0.04365935933562644,0.06661919286677545,run-001/estimated+run-004/core
-11.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,74,1500,0.04933333333333333,0.039478762555287365,0.06149029766716955,run-001/estimated+run-004/core
-11.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,64,1500,0.042666666666666665,0.03355366749284015,0.054116118472552516,run-001/estimated+run-004/core
-11.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,77,1500,0.051333333333333335,0.04126738520030481,0.06369145729927139,run-001/estimated+run-004/core
-11.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,77,1500,0.051333333333333335,0.04126738520030481,0.06369145729927139,run-001/estimated+run-004/core
-10.5,B-SSB,estimated_csi,baseline,ssb_pdp,30,500,0.06,0.04234835648094621,0.08436106312521979,run-001/estimated
-10.5,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,31,500,0.062,0.04401920914268158,0.08665971310163821,run-001/estimated
-10.5,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,23,500,0.046,0.030845108370816207,0.06807779276827323,run-001/estimated
-10.5,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,30,500,0.06,0.04234835648094621,0.08436106312521979,run-001/estimated
-10.5,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,29,500,0.058,0.0406837291117572,0.08205618785625499,run-001/estimated
-10.0,B-SSB,estimated_csi,baseline,ssb_pdp,64,1500,0.042666666666666665,0.03355366749284015,0.054116118472552516,run-001/estimated+run-004/core
-10.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,64,1500,0.042666666666666665,0.03355366749284015,0.054116118472552516,run-001/estimated+run-004/core
-10.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,46,1500,0.030666666666666665,0.023069473888211452,0.040661618414465556,run-001/estimated+run-004/core
-10.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,65,1500,0.043333333333333335,0.03414340356776987,0.05485630982332924,run-001/estimated+run-004/core
