snr_db,curve_id,scheme,covariance,blocks,mean_nmse,source_runs
-18.0,B-SSB,baseline,ssb_pdp,500,0.18461178081120808,run-004/threshold
-18.0,BC-SSB,beam_cycling,ssb_pdp,500,0.17934402596807628,run-004/threshold
-18.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.047324435023718095,run-004/threshold
-18.0,P2-SSB,pol_cycling_prg2,ssb_pdp,500,0.18370370768138483,run-004/threshold
-18.0,P6-SSB,pol_cycling_prg6,ssb_pdp,500,0.18376395165913378,run-004/threshold
-17.0,B-SSB,baseline,ssb_pdp,500,0.1598554883992431,run-004/threshold
-17.0,BC-SSB,beam_cycling,ssb_pdp,500,0.1553074094994094,run-004/threshold
-17.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.04093467965002602,run-004/threshold
-17.0,P2-SSB,pol_cycling_prg2,ssb_pdp,500,0.15930924906073576,run-004/threshold
-17.0,P6-SSB,pol_cycling_prg6,ssb_pdp,500,0.15891687067134397,run-004/threshold
-16.0,B-SSB,baseline,ssb_pdp,500,0.13731844507547838,run-004/threshold
-16.0,BC-SSB,beam_cycling,ssb_pdp,500,0.13483198387890702,run-004/threshold
-16.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.0336478462166756,run-004/threshold
-16.0,P2-SSB,pol_cycling_prg2,ssb_pdp,500,0.13697698174680822,run-004/threshold
-16.0,P6-SSB,pol_cycling_prg6,ssb_pdp,500,0.136959768375985,run-004/threshold
-15.0,B-SSB,baseline,ssb_pdp,500,0.11925023165486202,run-004/threshold
-15.0,BC-SSB,beam_cycling,ssb_pdp,500,0.11647478334416334,run-004/threshold
-15.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.029181307567879487,run-004/threshold
-15.0,P2-SSB,pol_cycling_prg2,ssb_pdp,500,0.11822416786518639,run-004/threshold
-15.0,P6-SSB,pol_cycling_prg6,ssb_pdp,500,0.11839451749789158,run-004/threshold
-14.0,B-SSB,baseline,ssb_pdp,1500,0.09905804307754246,run-002/wide_2+run-004/core
-14.0,BC-SSB,beam_cycling,ssb_pdp,1500,0.096102831734248,run-002/wide_2+run-004/core
-14.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,1500,0.022862237237691856,run-002/wide_2+run-004/core
-14.0,P2-SSB,pol_cycling_prg2,ssb_pdp,1500,0.09913008523641262,run-002/wide_2+run-004/core
-14.0,P6-SSB,pol_cycling_prg6,ssb_pdp,1500,0.09906360013379674,run-002/wide_2+run-004/core
-13.0,B-SSB,baseline,ssb_pdp,1500,0.08507028234009416,run-002/wide_2+run-004/core
-13.0,BC-SSB,beam_cycling,ssb_pdp,1500,0.0820526203361211,run-002/wide_2+run-004/core
-13.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,1500,0.01934364397862122,run-002/wide_2+run-004/core
-13.0,P2-SSB,pol_cycling_prg2,ssb_pdp,1500,0.08497329693670669,run-002/wide_2+run-004/core
-13.0,P6-SSB,pol_cycling_prg6,ssb_pdp,1500,0.08491647659273989,run-002/wide_2+run-004/core
-12.0,B-SSB,baseline,ssb_pdp,1500,0.07235051469053833,run-002/wide_2+run-004/core
-12.0,BC-SSB,beam_cycling,ssb_pdp,1500,0.06991938106155485,run-002/wide_2+run-004/core
-12.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,1500,0.01547547889592066,run-002/wide_2+run-004/core
-12.0,P2-SSB,pol_cycling_prg2,ssb_pdp,1500,0.07221090963762977,run-002/wide_2+run-004/core
-12.0,P6-SSB,pol_cycling_prg6,ssb_pdp,1500,0.07220979408479457,run-002/wide_2+run-004/core
-11.0,B-SSB,baseline,ssb_pdp,1500,0.06472427710007586,run-001/estimated+run-004/core
-11.0,BC-SSB,beam_cycling,ssb_pdp,1500,0.06272489702768087,run-001/estimated+run-004/core
-11.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,1500,0.014079802295050676,run-001/estimated+run-004/core
-11.0,P2-SSB,pol_cycling_prg2,ssb_pdp,1500,0.06421709561133747,run-001/estimated+run-004/core
-11.0,P6-SSB,pol_cycling_prg6,ssb_pdp,1500,0.06429512234345831,run-001/estimated+run-004/core
-10.5,B-SSB,baseline,ssb_pdp,500,0.06528323181923189,run-001/estimated
-10.5,BC-SSB,beam_cycling,ssb_pdp,500,0.06240154368206967,run-001/estimated
-10.5,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.014230010439289476,run-001/estimated
-10.5,P2-SSB,pol_cycling_prg2,ssb_pdp,500,0.06454042993741471,run-001/estimated
-10.5,P6-SSB,pol_cycling_prg6,ssb_pdp,500,0.06475314973507096,run-001/estimated
-10.0,B-SSB,baseline,ssb_pdp,1500,0.05538168665917881,run-001/estimated+run-004/core
-10.0,BC-SSB,beam_cycling,ssb_pdp,1500,0.053374428107226576,run-001/estimated+run-004/core
-10.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,1500,0.011754414212933873,run-001/estimated+run-004/core
-10.0,P2-SSB,pol_cycling_prg2,ssb_pdp,1500,0.054737485699651464,run-001/estimated+run-004/core
-10.0,P6-SSB,pol_cycling_prg6,ssb_pdp,1500,0.054828264000702176,run-001/estimated+run-004/core
-9.5,B-SSB,baseline,ssb_pdp,500,0.05561929809969408,run-001/estimated
-9.5,BC-SSB,beam_cycling,ssb_pdp,500,0.053428074627747464,run-001/estimated
-9.5,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.011458643641755879,run-001/estimated
-9.5,P2-SSB,pol_cycling_prg2,ssb_pdp,500,0.05472704015680309,run-001/estimated
-9.5,P6-SSB,pol_cycling_prg6,ssb_pdp,500,0.05472887133578927,run-001/estimated
-9.0,B-SSB,baseline,ssb_pdp,500,0.05116713320220021,run-001/estimated
-9.0,BC-SSB,beam_cycling,ssb_pdp,500,0.049909312183228825,run-001/estimated
-9.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.010644030331664701,run-001/estimated
-9.0,P2-SSB,pol_cycling_prg2,ssb_pdp,500,0.05067881595045384,run-001/estimated
-9.0,P6-SSB,pol_cycling_prg6,ssb_pdp,500,0.050536844348589974,run-001/estimated
-8.5,B-SSB,baseline,ssb_pdp,500,0.04670018001546938,run-001/estimated
-8.5,BC-SSB,beam_cycling,ssb_pdp,500,0.045178386910929846,run-001/estimated
-8.5,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.009732773216150813,run-001/estimated
-8.5,P2-SSB,pol_cycling_prg2,ssb_pdp,500,0.04632072558789921,run-001/estimated
-8.5,P6-SSB,pol_cycling_prg6,ssb_pdp,500,0.04637982058569605,run-001/estimated
-6.0,B-SSB,baseline,ssb_pdp,500,0.025937221905233745,run-002/wide_2
-6.0,BC-SSB,beam_cycling,ssb_pdp,500,0.024358821031497203,run-002/wide_2
-6.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.005542871125134855,run-002/wide_2
-6.0,P2-SSB,pol_cycling_prg2,ssb_pdp,500,0.026221951700046386,run-002/wide_2
-6.0,P6-SSB,pol_cycling_prg6,ssb_pdp,500,0.02613803520185709,run-002/wide_2
