snr_db,curve_a,curve_b,blocks,n00,n01,n10,n11,source_runs
-18.0,B-SSB,BC-SSB,500,420,6,2,72,run-004/threshold
-18.0,B-SSB,CDD-SSB,500,425,1,10,64,run-004/threshold
-18.0,B-SSB,P2-SSB,500,421,5,2,72,run-004/threshold
-18.0,B-SSB,P6-SSB,500,422,4,2,72,run-004/threshold
-18.0,BC-SSB,CDD-SSB,500,422,0,13,65,run-004/threshold
-18.0,P2-SSB,BC-SSB,500,416,7,6,71,run-004/threshold
-18.0,P2-SSB,CDD-SSB,500,421,2,14,63,run-004/threshold
-18.0,P2-SSB,P6-SSB,500,423,0,1,76,run-004/threshold
-18.0,P6-SSB,BC-SSB,500,417,7,5,71,run-004/threshold
-18.0,P6-SSB,CDD-SSB,500,422,2,13,63,run-004/threshold
-17.0,B-SSB,BC-SSB,500,430,2,6,62,run-004/threshold
-17.0,B-SSB,CDD-SSB,500,432,0,19,49,run-004/threshold
-17.0,B-SSB,P2-SSB,500,425,7,6,62,run-004/threshold
-17.0,B-SSB,P6-SSB,500,424,8,6,62,run-004/threshold
-17.0,BC-SSB,CDD-SSB,500,436,0,15,49,run-004/threshold
-17.0,P2-SSB,BC-SSB,500,426,5,10,59,run-004/threshold
-17.0,P2-SSB,CDD-SSB,500,428,3,23,46,run-004/threshold
-17.0,P2-SSB,P6-SSB,500,429,2,1,68,run-004/threshold
-17.0,P6-SSB,BC-SSB,500,426,4,10,60,run-004/threshold
-17.0,P6-SSB,CDD-SSB,500,428,2,23,47,run-004/threshold
-16.0,B-SSB,BC-SSB,500,440,6,7,47,run-004/threshold
-16.0,B-SSB,CDD-SSB,500,445,1,12,42,run-004/threshold
-16.0,B-SSB,P2-SSB,500,438,8,6,48,run-004/threshold
-16.0,B-SSB,P6-SSB,500,437,9,6,48,run-004/threshold
-16.0,BC-SSB,CDD-SSB,500,446,1,11,42,run-004/threshold
-16.0,P2-SSB,BC-SSB,500,437,7,10,46,run-004/threshold
