snr_db,curve_id,curve_type,scheme,covariance,block_errors,blocks,bler,wilson_low,wilson_high,stop_reason
-11.0,B-SSB,estimated_csi,baseline,ssb_pdp,35,500,0.07,0.0507597429450181,0.09579718985191686,fixed_common_drops
-11.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,32,500,0.064,0.04569601604478943,0.08895240883768415,fixed_common_drops
-11.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,32,500,0.064,0.04569601604478943,0.08895240883768415,fixed_common_drops
-11.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,33,500,0.066,0.04737852635977388,0.0912394011608535,fixed_common_drops
-11.0,BC-BEAM,estimated_csi,beam_cycling,per_beam_pdp,30,500,0.06,0.04234835648094621,0.08436106312521979,fixed_common_drops
-11.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,27,500,0.054,0.037374350181057524,0.07742656151064709,fixed_common_drops
-11.0,CDD-BEAM,estimated_csi,beam_cdd,cdd_per_beam_pdp,26,500,0.052,0.035730265115705276,0.07510114393784553,fixed_common_drops
-11.0,CDD-IDEAL,estimated_csi,beam_cdd,ideal_covariance,27,500,0.054,0.037374350181057524,0.07742656151064709,fixed_common_drops
-10.5,B-SSB,estimated_csi,baseline,ssb_pdp,30,500,0.06,0.04234835648094621,0.08436106312521979,fixed_common_drops
-10.5,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,30,500,0.06,0.04234835648094621,0.08436106312521979,fixed_common_drops
-10.5,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,29,500,0.058,0.0406837291117572,0.08205618785625499,fixed_common_drops
-10.5,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,31,500,0.062,0.04401920914268158,0.08665971310163821,fixed_common_drops
-10.5,BC-BEAM,estimated_csi,beam_cycling,per_beam_pdp,30,500,0.06,0.04234835648094621,0.08436106312521979,fixed_common_drops
-10.5,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,23,500,0.046,0.030845108370816207,0.06807779276827323,fixed_common_drops
-10.5,CDD-BEAM,estimated_csi,beam_cdd,cdd_per_beam_pdp,23,500,0.046,0.030845108370816207,0.06807779276827323,fixed_common_drops
-10.5,CDD-IDEAL,estimated_csi,beam_cdd,ideal_covariance,23,500,0.046,0.030845108370816207,0.06807779276827323,fixed_common_drops
-10.0,B-SSB,estimated_csi,baseline,ssb_pdp,27,500,0.054,0.037374350181057524,0.07742656151064709,fixed_common_drops
-10.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,26,500,0.052,0.035730265115705276,0.07510114393784553,fixed_common_drops
-10.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,26,500,0.052,0.035730265115705276,0.07510114393784553,fixed_common_drops
-10.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,27,500,0.054,0.037374350181057524,0.07742656151064709,fixed_common_drops
-10.0,BC-BEAM,estimated_csi,beam_cycling,per_beam_pdp,27,500,0.054,0.037374350181057524,0.07742656151064709,fixed_common_drops
-10.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,18,500,0.036,0.022891060980292723,0.05618432696802775,fixed_common_drops
-10.0,CDD-BEAM,estimated_csi,beam_cdd,cdd_per_beam_pdp,18,500,0.036,0.022891060980292723,0.05618432696802775,fixed_common_drops
-10.0,CDD-IDEAL,estimated_csi,beam_cdd,ideal_covariance,18,500,0.036,0.022891060980292723,0.05618432696802775,fixed_common_drops
-9.5,B-SSB,estimated_csi,baseline,ssb_pdp,24,500,0.048,0.03246520694135317,0.07042719683589006,fixed_common_drops
-9.5,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,24,500,0.048,0.03246520694135317,0.07042719683589006,fixed_common_drops
-9.5,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,25,500,0.05,0.03409374524384944,0.07276816117154758,fixed_common_drops
-9.5,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,22,500,0.044,0.029233955628607186,0.06571944287232845,fixed_common_drops
-9.5,BC-BEAM,estimated_csi,beam_cycling,per_beam_pdp,23,500,0.046,0.030845108370816207,0.06807779276827323,fixed_common_drops
-9.5,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,18,500,0.036,0.022891060980292723,0.05618432696802775,fixed_common_drops
-9.5,CDD-BEAM,estimated_csi,beam_cdd,cdd_per_beam_pdp,18,500,0.036,0.022891060980292723,0.05618432696802775,fixed_common_drops
-9.5,CDD-IDEAL,estimated_csi,beam_cdd,ideal_covariance,18,500,0.036,0.022891060980292723,0.05618432696802775,fixed_common_drops
-9.0,B-SSB,estimated_csi,baseline,ssb_pdp,21,500,0.042,0.027632310108451706,0.06335158575433014,fixed_common_drops
-9.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,22,500,0.044,0.029233955628607186,0.06571944287232845,fixed_common_drops
-9.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,22,500,0.044,0.029233955628607186,0.06571944287232845,fixed_common_drops
-9.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,19,500,0.038,0.024460118055830392,0.058584772530643876,fixed_common_drops
-9.0,BC-BEAM,estimated_csi,beam_cycling,per_beam_pdp,18,500,0.036,0.022891060980292723,0.05618432696802775,fixed_common_drops
-9.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,14,500,0.028,0.016750974720756453,0.04644640267494887,fixed_common_drops
-9.0,CDD-BEAM,estimated_csi,beam_cdd,cdd_per_beam_pdp,14,500,0.028,0.016750974720756453,0.04644640267494887,fixed_common_drops
-9.0,CDD-IDEAL,estimated_csi,beam_cdd,ideal_covariance,14,500,0.028,0.016750974720756453,0.04644640267494887,fixed_common_drops
-8.5,B-SSB,estimated_csi,baseline,ssb_pdp,16,500,0.032,0.01979151362657112,0.05134486904544178,fixed_common_drops
-8.5,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,21,500,0.042,0.027632310108451706,0.06335158575433014,fixed_common_drops
-8.5,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,20,500,0.04,0.026040797389777263,0.0609735958348508,fixed_common_drops
-8.5,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,14,500,0.028,0.016750974720756453,0.04644640267494887,fixed_common_drops
-8.5,BC-BEAM,estimated_csi,beam_cycling,per_beam_pdp,13,500,0.026,0.015256383923327248,0.043971490834224275,fixed_common_drops
-8.5,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,13,500,0.026,0.015256383923327248,0.043971490834224275,fixed_common_drops
-8.5,CDD-BEAM,estimated_csi,beam_cdd,cdd_per_beam_pdp,13,500,0.026,0.015256383923327248,0.043971490834224275,fixed_common_drops
-8.5,CDD-IDEAL,estimated_csi,beam_cdd,ideal_covariance,13,500,0.026,0.015256383923327248,0.043971490834224275,fixed_common_drops
