snr_db,curve_id,scheme,covariance,blocks,mean_nmse
-11.0,B-SSB,baseline,ssb_pdp,500,0.06965558591741552
-11.0,P2-SSB,pol_cycling_prg2,ssb_pdp,500,0.06845531272433672
-11.0,P6-SSB,pol_cycling_prg6,ssb_pdp,500,0.06861872901600231
-11.0,BC-SSB,beam_cycling,ssb_pdp,500,0.06679222284730951
-11.0,BC-BEAM,beam_cycling,per_beam_pdp,500,0.0614330661987841
-11.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.015224418670828606
-11.0,CDD-BEAM,beam_cdd,cdd_per_beam_pdp,500,0.014269619357654502
-11.0,CDD-IDEAL,beam_cdd,ideal_covariance,500,0.013098790338351304
-10.5,B-SSB,baseline,ssb_pdp,500,0.06528323181923189
-10.5,P2-SSB,pol_cycling_prg2,ssb_pdp,500,0.06454042993741471
-10.5,P6-SSB,pol_cycling_prg6,ssb_pdp,500,0.06475314973507096
-10.5,BC-SSB,beam_cycling,ssb_pdp,500,0.06240154368206967
-10.5,BC-BEAM,beam_cycling,per_beam_pdp,500,0.05719759408091629
-10.5,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.014230010439289476
-10.5,CDD-BEAM,beam_cdd,cdd_per_beam_pdp,500,0.013577804949627341
-10.5,CDD-IDEAL,beam_cdd,ideal_covariance,500,0.012360494903220881
-10.0,B-SSB,baseline,ssb_pdp,500,0.06020404490247934
-10.0,P2-SSB,pol_cycling_prg2,ssb_pdp,500,0.05936241914253001
-10.0,P6-SSB,pol_cycling_prg6,ssb_pdp,500,0.0595497065658836
-10.0,BC-SSB,beam_cycling,ssb_pdp,500,0.05793898287622425
-10.0,BC-BEAM,beam_cycling,per_beam_pdp,500,0.053098873854522284
-10.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.012469752607543018
-10.0,CDD-BEAM,beam_cdd,cdd_per_beam_pdp,500,0.011761167077799497
-10.0,CDD-IDEAL,beam_cdd,ideal_covariance,500,0.010850798198988246
-9.5,B-SSB,baseline,ssb_pdp,500,0.05561929809969408
-9.5,P2-SSB,pol_cycling_prg2,ssb_pdp,500,0.05472704015680309
-9.5,P6-SSB,pol_cycling_prg6,ssb_pdp,500,0.05472887133578927
-9.5,BC-SSB,beam_cycling,ssb_pdp,500,0.053428074627747464
-9.5,BC-BEAM,beam_cycling,per_beam_pdp,500,0.04896940717509423
-9.5,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.011458643641755879
-9.5,CDD-BEAM,beam_cdd,cdd_per_beam_pdp,500,0.010970322455934106
-9.5,CDD-IDEAL,beam_cdd,ideal_covariance,500,0.01010040260236821
-9.0,B-SSB,baseline,ssb_pdp,500,0.05116713320220021
-9.0,P2-SSB,pol_cycling_prg2,ssb_pdp,500,0.05067881595045384
-9.0,P6-SSB,pol_cycling_prg6,ssb_pdp,500,0.050536844348589974
-9.0,BC-SSB,beam_cycling,ssb_pdp,500,0.049909312183228825
-9.0,BC-BEAM,beam_cycling,per_beam_pdp,500,0.046148454371762564
-9.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.010644030331664701
-9.0,CDD-BEAM,beam_cdd,cdd_per_beam_pdp,500,0.010063856992343204
-9.0,CDD-IDEAL,beam_cdd,ideal_covariance,500,0.009195496308273607
-8.5,B-SSB,baseline,ssb_pdp,500,0.04670018001546938
-8.5,P2-SSB,pol_cycling_prg2,ssb_pdp,500,0.04632072558789921
-8.5,P6-SSB,pol_cycling_prg6,ssb_pdp,500,0.04637982058569605
-8.5,BC-SSB,beam_cycling,ssb_pdp,500,0.045178386910929846
-8.5,BC-BEAM,beam_cycling,per_beam_pdp,500,0.04150154284946523
-8.5,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.009732773216150813
-8.5,CDD-BEAM,beam_cdd,cdd_per_beam_pdp,500,0.009325514081011071
-8.5,CDD-IDEAL,beam_cdd,ideal_covariance,500,0.008599824279462147
