snr_db,curve_a,curve_b,blocks,n00,n01,n10,n11
-11.0,B-SSB,P2-SSB,500,463,2,5,30
-11.0,B-SSB,P6-SSB,500,463,2,5,30
-11.0,B-SSB,BC-SSB,500,463,2,4,31
-11.0,B-SSB,BC-BEAM,500,464,1,6,29
-11.0,B-SSB,CDD-SSB,500,465,0,8,27
-11.0,B-SSB,CDD-BEAM,500,465,0,9,26
-11.0,B-SSB,CDD-IDEAL,500,465,0,8,27
-11.0,P2-SSB,P6-SSB,500,468,0,0,32
-11.0,P2-SSB,BC-SSB,500,463,5,4,28
-11.0,P2-SSB,BC-BEAM,500,464,4,6,26
-11.0,P2-SSB,CDD-SSB,500,465,3,8,24
-11.0,P2-SSB,CDD-BEAM,500,466,2,8,24
-11.0,P2-SSB,CDD-IDEAL,500,465,3,8,24
-11.0,P6-SSB,BC-SSB,500,463,5,4,28
-11.0,P6-SSB,BC-BEAM,500,464,4,6,26
-11.0,P6-SSB,CDD-SSB,500,465,3,8,24
-11.0,P6-SSB,CDD-BEAM,500,466,2,8,24
-11.0,P6-SSB,CDD-IDEAL,500,465,3,8,24
-11.0,BC-SSB,BC-BEAM,500,467,0,3,30
-11.0,BC-SSB,CDD-SSB,500,467,0,6,27
-11.0,BC-SSB,CDD-BEAM,500,467,0,7,26
-11.0,BC-SSB,CDD-IDEAL,500,467,0,6,27
-11.0,BC-BEAM,CDD-SSB,500,470,0,3,27
-11.0,BC-BEAM,CDD-BEAM,500,470,0,4,26
-11.0,BC-BEAM,CDD-IDEAL,500,470,0,3,27
-11.0,CDD-SSB,CDD-BEAM,500,473,0,1,26
-11.0,CDD-SSB,CDD-IDEAL,500,473,0,0,27
-11.0,CDD-BEAM,CDD-IDEAL,500,473,1,0,26
-10.5,B-SSB,P2-SSB,500,469,1,1,29
-10.5,B-SSB,P6-SSB,500,470,0,1,29
-10.5,B-SSB,BC-SSB,500,467,3,2,28
-10.5,B-SSB,BC-BEAM,500,467,3,3,27
-10.5,B-SSB,CDD-SSB,500,470,0,7,23
-10.5,B-SSB,CDD-BEAM,500,470,0,7,23
-10.5,B-SSB,CDD-IDEAL,500,470,0,7,23
-10.5,P2-SSB,P6-SSB,500,470,0,1,29
-10.5,P2-SSB,BC-SSB,500,466,4,3,27
-10.5,P2-SSB,BC-BEAM,500,466,4,4,26
-10.5,P2-SSB,CDD-SSB,500,469,1,8,22
-10.5,P2-SSB,CDD-BEAM,500,469,1,8,22
-10.5,P2-SSB,CDD-IDEAL,500,469,1,8,22
-10.5,P6-SSB,BC-SSB,500,467,4,2,27
-10.5,P6-SSB,BC-BEAM,500,467,4,3,26
-10.5,P6-SSB,CDD-SSB,500,470,1,7,22
