snr_db,curve_id,curve_type,scheme,covariance,block_errors,blocks,bler,wilson_low,wilson_high,stop_reason
-12.0,PERF-B,perfect_csi,baseline,perfect_csi,30,500,0.06,0.04234835648094621,0.08436106312521979,fixed_common_drops
-12.0,PERF-P2,perfect_csi,pol_cycling_prg2,perfect_csi,28,500,0.056,0.03902562068315149,0.0797447936467069,fixed_common_drops
-12.0,PERF-P6,perfect_csi,pol_cycling_prg6,perfect_csi,29,500,0.058,0.0406837291117572,0.08205618785625499,fixed_common_drops
-12.0,PERF-BC,perfect_csi,beam_cycling,perfect_csi,32,500,0.064,0.04569601604478943,0.08895240883768415,fixed_common_drops
-12.0,PERF-CDD,perfect_csi,beam_cdd,perfect_csi,30,500,0.06,0.04234835648094621,0.08436106312521979,fixed_common_drops
-11.5,PERF-B,perfect_csi,baseline,perfect_csi,27,500,0.054,0.037374350181057524,0.07742656151064709,fixed_common_drops
-11.5,PERF-P2,perfect_csi,pol_cycling_prg2,perfect_csi,27,500,0.054,0.037374350181057524,0.07742656151064709,fixed_common_drops
-11.5,PERF-P6,perfect_csi,pol_cycling_prg6,perfect_csi,26,500,0.052,0.035730265115705276,0.07510114393784553,fixed_common_drops
-11.5,PERF-BC,perfect_csi,beam_cycling,perfect_csi,26,500,0.052,0.035730265115705276,0.07510114393784553,fixed_common_drops
-11.5,PERF-CDD,perfect_csi,beam_cdd,perfect_csi,27,500,0.054,0.037374350181057524,0.07742656151064709,fixed_common_drops
-11.0,PERF-B,perfect_csi,baseline,perfect_csi,25,500,0.05,0.03409374524384944,0.07276816117154758,fixed_common_drops
-11.0,PERF-P2,perfect_csi,pol_cycling_prg2,perfect_csi,23,500,0.046,0.030845108370816207,0.06807779276827323,fixed_common_drops
-11.0,PERF-P6,perfect_csi,pol_cycling_prg6,perfect_csi,23,500,0.046,0.030845108370816207,0.06807779276827323,fixed_common_drops
-11.0,PERF-BC,perfect_csi,beam_cycling,perfect_csi,24,500,0.048,0.03246520694135317,0.07042719683589006,fixed_common_drops
-11.0,PERF-CDD,perfect_csi,beam_cdd,perfect_csi,25,500,0.05,0.03409374524384944,0.07276816117154758,fixed_common_drops
-10.5,PERF-B,perfect_csi,baseline,perfect_csi,23,500,0.046,0.030845108370816207,0.06807779276827323,fixed_common_drops
-10.5,PERF-P2,perfect_csi,pol_cycling_prg2,perfect_csi,22,500,0.044,0.029233955628607186,0.06571944287232845,fixed_common_drops
-10.5,PERF-P6,perfect_csi,pol_cycling_prg6,perfect_csi,22,500,0.044,0.029233955628607186,0.06571944287232845,fixed_common_drops
-10.5,PERF-BC,perfect_csi,beam_cycling,perfect_csi,18,500,0.036,0.022891060980292723,0.05618432696802775,fixed_common_drops
-10.5,PERF-CDD,perfect_csi,beam_cdd,perfect_csi,20,500,0.04,0.026040797389777263,0.0609735958348508,fixed_common_drops
