snr_db,curve_id,curve_type,scheme,covariance,block_errors,blocks,bler,wilson_low,wilson_high,stop_reason
-14.0,B-SSB,estimated_csi,baseline,ssb_pdp,39,500,0.078,0.05758139347616159,0.10485354987338852,fixed_common_drops
-14.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,41,500,0.082,0.06101908946846895,0.10935485915738874,fixed_common_drops
-14.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,40,500,0.08,0.0592981294098526,0.1071063165778513,fixed_common_drops
-14.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,36,500,0.072,0.0524580314181262,0.09806840401696253,fixed_common_drops
-14.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,34,500,0.068,0.04906650742490687,0.0935209227338743,fixed_common_drops
-13.0,B-SSB,estimated_csi,baseline,ssb_pdp,34,500,0.068,0.04906650742490687,0.0935209227338743,fixed_common_drops
-13.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,32,500,0.064,0.04569601604478943,0.08895240883768415,fixed_common_drops
-13.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,32,500,0.064,0.04569601604478943,0.08895240883768415,fixed_common_drops
-13.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,33,500,0.066,0.04737852635977388,0.0912394011608535,fixed_common_drops
-13.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,27,500,0.054,0.037374350181057524,0.07742656151064709,fixed_common_drops
-12.0,B-SSB,estimated_csi,baseline,ssb_pdp,28,500,0.056,0.03902562068315149,0.0797447936467069,fixed_common_drops
-12.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,25,500,0.05,0.03409374524384944,0.07276816117154758,fixed_common_drops
-12.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,25,500,0.05,0.03409374524384944,0.07276816117154758,fixed_common_drops
-12.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,27,500,0.054,0.037374350181057524,0.07742656151064709,fixed_common_drops
-12.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,20,500,0.04,0.026040797389777263,0.0609735958348508,fixed_common_drops
-6.0,B-SSB,estimated_csi,baseline,ssb_pdp,4,500,0.008,0.003115315180062238,0.020387035834105165,fixed_common_drops
-6.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,4,500,0.008,0.003115315180062238,0.020387035834105165,fixed_common_drops
-6.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,4,500,0.008,0.003115315180062238,0.020387035834105165,fixed_common_drops
-6.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,4,500,0.008,0.003115315180062238,0.020387035834105165,fixed_common_drops
-6.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,1,500,0.002,0.00035313639455927543,0.011240706705146753,fixed_common_drops
-5.0,B-SSB,estimated_csi,baseline,ssb_pdp,3,500,0.006,0.0020425962719602397,0.017490252104053375,fixed_common_drops
-5.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,3,500,0.006,0.0020425962719602397,0.017490252104053375,fixed_common_drops
-5.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,3,500,0.006,0.0020425962719602397,0.017490252104053375,fixed_common_drops
-5.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,1,500,0.002,0.00035313639455927543,0.011240706705146753,fixed_common_drops
-5.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,1,500,0.002,0.00035313639455927543,0.011240706705146753,fixed_common_drops
-4.0,B-SSB,estimated_csi,baseline,ssb_pdp,3,500,0.006,0.0020425962719602397,0.017490252104053375,fixed_common_drops
-4.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,3,500,0.006,0.0020425962719602397,0.017490252104053375,fixed_common_drops
-4.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,3,500,0.006,0.0020425962719602397,0.017490252104053375,fixed_common_drops
-4.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,1,500,0.002,0.00035313639455927543,0.011240706705146753,fixed_common_drops
-4.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,1,500,0.002,0.00035313639455927543,0.011240706705146753,fixed_common_drops
-2.0,B-SSB,estimated_csi,baseline,ssb_pdp,1,500,0.002,0.00035313639455927543,0.011240706705146753,fixed_common_drops
-2.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,1,500,0.002,0.00035313639455927543,0.011240706705146753,fixed_common_drops
-2.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,1,500,0.002,0.00035313639455927543,0.011240706705146753,fixed_common_drops
-2.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,1,500,0.002,0.00035313639455927543,0.011240706705146753,fixed_common_drops
-2.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,1,500,0.002,0.00035313639455927543,0.011240706705146753,fixed_common_drops
0.0,B-SSB,estimated_csi,baseline,ssb_pdp,1,500,0.002,0.00035313639455927543,0.011240706705146753,fixed_common_drops
0.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,1,500,0.002,0.00035313639455927543,0.011240706705146753,fixed_common_drops
0.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,1,500,0.002,0.00035313639455927543,0.011240706705146753,fixed_common_drops
0.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,1,500,0.002,0.00035313639455927543,0.011240706705146753,fixed_common_drops
0.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,1,500,0.002,0.00035313639455927543,0.011240706705146753,fixed_common_drops
2.0,B-SSB,estimated_csi,baseline,ssb_pdp,1,500,0.002,0.00035313639455927543,0.011240706705146753,fixed_common_drops
2.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,1,500,0.002,0.00035313639455927543,0.011240706705146753,fixed_common_drops
2.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,1,500,0.002,0.00035313639455927543,0.011240706705146753,fixed_common_drops
2.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,1,500,0.002,0.00035313639455927543,0.011240706705146753,fixed_common_drops
2.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,1,500,0.002,0.00035313639455927543,0.011240706705146753,fixed_common_drops
