snr_db,curve_id,scheme,covariance,blocks,mean_nmse
-14.0,B-SSB,baseline,ssb_pdp,500,0.09777881966261623
-14.0,P2-SSB,pol_cycling_prg2,ssb_pdp,500,0.09811390378466726
-14.0,P6-SSB,pol_cycling_prg6,ssb_pdp,500,0.09803060430485018
-14.0,BC-SSB,beam_cycling,ssb_pdp,500,0.09365831230749924
-14.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.02230932241715872
-13.0,B-SSB,baseline,ssb_pdp,500,0.0834679631871095
-13.0,P2-SSB,pol_cycling_prg2,ssb_pdp,500,0.08366396766065393
-13.0,P6-SSB,pol_cycling_prg6,ssb_pdp,500,0.0839082124953602
-13.0,BC-SSB,beam_cycling,ssb_pdp,500,0.07947405959113275
-13.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.01839651692196976
-12.0,B-SSB,baseline,ssb_pdp,500,0.07102414025683387
-12.0,P2-SSB,pol_cycling_prg2,ssb_pdp,500,0.07119935733587976
-12.0,P6-SSB,pol_cycling_prg6,ssb_pdp,500,0.07133406934281958
-12.0,BC-SSB,beam_cycling,ssb_pdp,500,0.0680342130043076
-12.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.015194069929298061
-6.0,B-SSB,baseline,ssb_pdp,500,0.025937221905233745
-6.0,P2-SSB,pol_cycling_prg2,ssb_pdp,500,0.026221951700046386
-6.0,P6-SSB,pol_cycling_prg6,ssb_pdp,500,0.02613803520185709
-6.0,BC-SSB,beam_cycling,ssb_pdp,500,0.024358821031497203
-6.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.005542871125134855
-5.0,B-SSB,baseline,ssb_pdp,500,0.02102669376209609
-5.0,P2-SSB,pol_cycling_prg2,ssb_pdp,500,0.021521688067437154
-5.0,P6-SSB,pol_cycling_prg6,ssb_pdp,500,0.021394928660883696
-5.0,BC-SSB,beam_cycling,ssb_pdp,500,0.019858745319080023
-5.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.004530322327506788
-4.0,B-SSB,baseline,ssb_pdp,500,0.017708851324692087
-4.0,P2-SSB,pol_cycling_prg2,ssb_pdp,500,0.017850650583310743
-4.0,P6-SSB,pol_cycling_prg6,ssb_pdp,500,0.017843476825774855
-4.0,BC-SSB,beam_cycling,ssb_pdp,500,0.016677607593337924
-4.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.00361490290343917
-2.0,B-SSB,baseline,ssb_pdp,500,0.012522356593915356
-2.0,P2-SSB,pol_cycling_prg2,ssb_pdp,500,0.012609421839539064
-2.0,P6-SSB,pol_cycling_prg6,ssb_pdp,500,0.012682994491339682
-2.0,BC-SSB,beam_cycling,ssb_pdp,500,0.011630277668809544
-2.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.0026244672816529203
0.0,B-SSB,baseline,ssb_pdp,500,0.008305404386981075
0.0,P2-SSB,pol_cycling_prg2,ssb_pdp,500,0.008685639172916393
0.0,P6-SSB,pol_cycling_prg6,ssb_pdp,500,0.008592430102518752
0.0,BC-SSB,beam_cycling,ssb_pdp,500,0.007740067144864529
0.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.001751114024088059
2.0,B-SSB,baseline,ssb_pdp,500,0.0055920370476553825
2.0,P2-SSB,pol_cycling_prg2,ssb_pdp,500,0.005729170718767832
2.0,P6-SSB,pol_cycling_prg6,ssb_pdp,500,0.0057080662608238065
2.0,BC-SSB,beam_cycling,ssb_pdp,500,0.005262732737105606
2.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.0011875270495445539
