snr_db,curve_a,curve_b,blocks,n00,n01,n10,n11
-14.0,B-SSB,P2-SSB,500,457,4,2,37
-14.0,B-SSB,P6-SSB,500,458,3,2,37
-14.0,B-SSB,BC-SSB,500,460,1,4,35
-14.0,B-SSB,CDD-SSB,500,460,1,6,33
-14.0,P2-SSB,P6-SSB,500,459,0,1,40
-14.0,P2-SSB,BC-SSB,500,459,0,5,36
-14.0,P2-SSB,CDD-SSB,500,459,0,7,34
-14.0,P6-SSB,BC-SSB,500,460,0,4,36
-14.0,P6-SSB,CDD-SSB,500,460,0,6,34
-14.0,BC-SSB,CDD-SSB,500,464,0,2,34
-13.0,B-SSB,P2-SSB,500,465,1,3,31
-13.0,B-SSB,P6-SSB,500,465,1,3,31
-13.0,B-SSB,BC-SSB,500,463,3,4,30
-13.0,B-SSB,CDD-SSB,500,466,0,7,27
-13.0,P2-SSB,P6-SSB,500,468,0,0,32
-13.0,P2-SSB,BC-SSB,500,465,3,2,30
-13.0,P2-SSB,CDD-SSB,500,467,1,6,26
-13.0,P6-SSB,BC-SSB,500,465,3,2,30
-13.0,P6-SSB,CDD-SSB,500,467,1,6,26
-13.0,BC-SSB,CDD-SSB,500,467,0,6,27
-12.0,B-SSB,P2-SSB,500,472,0,3,25
-12.0,B-SSB,P6-SSB,500,472,0,3,25
-12.0,B-SSB,BC-SSB,500,471,1,2,26
-12.0,B-SSB,CDD-SSB,500,472,0,8,20
-12.0,P2-SSB,P6-SSB,500,475,0,0,25
-12.0,P2-SSB,BC-SSB,500,472,3,1,24
-12.0,P2-SSB,CDD-SSB,500,475,0,5,20
-12.0,P6-SSB,BC-SSB,500,472,3,1,24
-12.0,P6-SSB,CDD-SSB,500,475,0,5,20
-12.0,BC-SSB,CDD-SSB,500,473,0,7,20
-6.0,B-SSB,P2-SSB,500,496,0,0,4
-6.0,B-SSB,P6-SSB,500,496,0,0,4
-6.0,B-SSB,BC-SSB,500,495,1,1,3
-6.0,B-SSB,CDD-SSB,500,496,0,3,1
-6.0,P2-SSB,P6-SSB,500,496,0,0,4
-6.0,P2-SSB,BC-SSB,500,495,1,1,3
-6.0,P2-SSB,CDD-SSB,500,496,0,3,1
-6.0,P6-SSB,BC-SSB,500,495,1,1,3
-6.0,P6-SSB,CDD-SSB,500,496,0,3,1
-6.0,BC-SSB,CDD-SSB,500,496,0,3,1
-5.0,B-SSB,P2-SSB,500,497,0,0,3
-5.0,B-SSB,P6-SSB,500,497,0,0,3
-5.0,B-SSB,BC-SSB,500,497,0,2,1
-5.0,B-SSB,CDD-SSB,500,497,0,2,1
-5.0,P2-SSB,P6-SSB,500,497,0,0,3
-5.0,P2-SSB,BC-SSB,500,497,0,2,1
-5.0,P2-SSB,CDD-SSB,500,497,0,2,1
-5.0,P6-SSB,BC-SSB,500,497,0,2,1
-5.0,P6-SSB,CDD-SSB,500,497,0,2,1
-5.0,BC-SSB,CDD-SSB,500,499,0,0,1
-4.0,B-SSB,P2-SSB,500,497,0,0,3
-4.0,B-SSB,P6-SSB,500,497,0,0,3
-4.0,B-SSB,BC-SSB,500,497,0,2,1
-4.0,B-SSB,CDD-SSB,500,497,0,2,1
-4.0,P2-SSB,P6-SSB,500,497,0,0,3
-4.0,P2-SSB,BC-SSB,500,497,0,2,1
-4.0,P2-SSB,CDD-SSB,500,497,0,2,1
-4.0,P6-SSB,BC-SSB,500,497,0,2,1
-4.0,P6-SSB,CDD-SSB,500,497,0,2,1
-4.0,BC-SSB,CDD-SSB,500,499,0,0,1
-2.0,B-SSB,P2-SSB,500,499,0,0,1
-2.0,B-SSB,P6-SSB,500,499,0,0,1
-2.0,B-SSB,BC-SSB,500,499,0,0,1
-2.0,B-SSB,CDD-SSB,500,499,0,0,1
-2.0,P2-SSB,P6-SSB,500,499,0,0,1
-2.0,P2-SSB,BC-SSB,500,499,0,0,1
-2.0,P2-SSB,CDD-SSB,500,499,0,0,1
-2.0,P6-SSB,BC-SSB,500,499,0,0,1
-2.0,P6-SSB,CDD-SSB,500,499,0,0,1
-2.0,BC-SSB,CDD-SSB,500,499,0,0,1
0.0,B-SSB,P2-SSB,500,499,0,0,1
0.0,B-SSB,P6-SSB,500,499,0,0,1
0.0,B-SSB,BC-SSB,500,499,0,0,1
0.0,B-SSB,CDD-SSB,500,499,0,0,1
0.0,P2-SSB,P6-SSB,500,499,0,0,1
0.0,P2-SSB,BC-SSB,500,499,0,0,1
0.0,P2-SSB,CDD-SSB,500,499,0,0,1
0.0,P6-SSB,BC-SSB,500,499,0,0,1
0.0,P6-SSB,CDD-SSB,500,499,0,0,1
0.0,BC-SSB,CDD-SSB,500,499,0,0,1
2.0,B-SSB,P2-SSB,500,499,0,0,1
2.0,B-SSB,P6-SSB,500,499,0,0,1
2.0,B-SSB,BC-SSB,500,499,0,0,1
2.0,B-SSB,CDD-SSB,500,499,0,0,1
2.0,P2-SSB,P6-SSB,500,499,0,0,1
2.0,P2-SSB,BC-SSB,500,499,0,0,1
2.0,P2-SSB,CDD-SSB,500,499,0,0,1
2.0,P6-SSB,BC-SSB,500,499,0,0,1
2.0,P6-SSB,CDD-SSB,500,499,0,0,1
2.0,BC-SSB,CDD-SSB,500,499,0,0,1
