snr_db,curve_id,curve_type,scheme,covariance,block_errors,blocks,bler,wilson_low,wilson_high,stop_reason
-14.0,B-SSB,estimated_csi,baseline,ssb_pdp,68,1000,0.068,0.05399245780853015,0.08531386152298948,fixed_common_drops
-14.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,70,1000,0.07,0.055776364146294055,0.08751464815128335,fixed_common_drops
-14.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,70,1000,0.07,0.055776364146294055,0.08751464815128335,fixed_common_drops
-14.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,70,1000,0.07,0.055776364146294055,0.08751464815128335,fixed_common_drops
-14.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,65,1000,0.065,0.05132377056906205,0.0820055093133709,fixed_common_drops
-13.0,B-SSB,estimated_csi,baseline,ssb_pdp,61,1000,0.061,0.04777977512603371,0.07758011882428367,fixed_common_drops
-13.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,63,1000,0.063,0.04954966321172909,0.0797949237046461,fixed_common_drops
-13.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,63,1000,0.063,0.04954966321172909,0.0797949237046461,fixed_common_drops
-13.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,63,1000,0.063,0.04954966321172909,0.0797949237046461,fixed_common_drops
-13.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,55,1000,0.055,0.04249742737476845,0.07090838767737563,fixed_common_drops
-12.0,B-SSB,estimated_csi,baseline,ssb_pdp,57,1000,0.057,0.04425344035871594,0.07313706765948591,fixed_common_drops
-12.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,58,1000,0.058,0.04513327823499825,0.0742495762662325,fixed_common_drops
-12.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,59,1000,0.059,0.046014298212800474,0.07536090277145915,fixed_common_drops
-12.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,54,1000,0.054,0.04162131372306273,0.06979215484605245,fixed_common_drops
-12.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,40,1000,0.04,0.029510973685452767,0.05400964412125795,fixed_common_drops
-11.0,B-SSB,estimated_csi,baseline,ssb_pdp,46,1000,0.046,0.03466249276326499,0.06081220394161906,fixed_common_drops
-11.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,45,1000,0.045,0.033799512285631717,0.05968283793622345,fixed_common_drops
-11.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,45,1000,0.045,0.033799512285631717,0.05968283793622345,fixed_common_drops
-11.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,41,1000,0.041,0.03036497108209832,0.0551479932076413,fixed_common_drops
-11.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,37,1000,0.037,0.026961180875554738,0.0505823974820693,fixed_common_drops
-10.0,B-SSB,estimated_csi,baseline,ssb_pdp,37,1000,0.037,0.026961180875554738,0.0505823974820693,fixed_common_drops
-10.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,39,1000,0.039,0.028658960904180485,0.052869310419501346,fixed_common_drops
-10.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,39,1000,0.039,0.028658960904180485,0.052869310419501346,fixed_common_drops
-10.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,37,1000,0.037,0.026961180875554738,0.0505823974820693,fixed_common_drops
-10.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,28,1000,0.028,0.01944227681277093,0.04017018319759311,fixed_common_drops
