snr_db,curve_id,scheme,covariance,blocks,mean_nmse
-14.0,B-SSB,baseline,ssb_pdp,1000,0.09969765478500557
-14.0,P2-SSB,pol_cycling_prg2,ssb_pdp,1000,0.0996381759622853
-14.0,P6-SSB,pol_cycling_prg6,ssb_pdp,1000,0.09958009804827
-14.0,BC-SSB,beam_cycling,ssb_pdp,1000,0.09732509144762239
-14.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,1000,0.023138694647958424
-13.0,B-SSB,baseline,ssb_pdp,1000,0.0858714419165865
-13.0,P2-SSB,pol_cycling_prg2,ssb_pdp,1000,0.08562796157473307
-13.0,P6-SSB,pol_cycling_prg6,ssb_pdp,1000,0.08542060864142975
-13.0,BC-SSB,beam_cycling,ssb_pdp,1000,0.08334190070861527
-13.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,1000,0.01981720750694695
-12.0,B-SSB,baseline,ssb_pdp,1000,0.07301370190739055
-12.0,P2-SSB,pol_cycling_prg2,ssb_pdp,1000,0.07271668578850479
-12.0,P6-SSB,pol_cycling_prg6,ssb_pdp,1000,0.07264765645578206
-12.0,BC-SSB,beam_cycling,ssb_pdp,1000,0.07086196509017849
-12.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,1000,0.015616183379231959
-11.0,B-SSB,baseline,ssb_pdp,1000,0.06225862269140602
-11.0,P2-SSB,pol_cycling_prg2,ssb_pdp,1000,0.06209798705483785
-11.0,P6-SSB,pol_cycling_prg6,ssb_pdp,1000,0.062133319007186306
-11.0,BC-SSB,beam_cycling,ssb_pdp,1000,0.06069123411786654
-11.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,1000,0.013507494107161712
-10.0,B-SSB,baseline,ssb_pdp,1000,0.05297050753752854
-10.0,P2-SSB,pol_cycling_prg2,ssb_pdp,1000,0.052425018978212196
-10.0,P6-SSB,pol_cycling_prg6,ssb_pdp,1000,0.05246754271811146
-10.0,BC-SSB,beam_cycling,ssb_pdp,1000,0.05109215072272774
-10.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,1000,0.011396745015629301
