snr_db,curve_a,curve_b,blocks,n00,n01,n10,n11
-14.0,B-SSB,P2-SSB,1000,929,3,1,67
-14.0,B-SSB,P6-SSB,1000,929,3,1,67
-14.0,B-SSB,BC-SSB,1000,929,3,1,67
-14.0,B-SSB,CDD-SSB,1000,931,1,4,64
-14.0,P2-SSB,P6-SSB,1000,930,0,0,70
-14.0,P2-SSB,BC-SSB,1000,927,3,3,67
-14.0,P2-SSB,CDD-SSB,1000,928,2,7,63
-14.0,P6-SSB,BC-SSB,1000,927,3,3,67
-14.0,P6-SSB,CDD-SSB,1000,928,2,7,63
-14.0,BC-SSB,CDD-SSB,1000,929,1,6,64
-13.0,B-SSB,P2-SSB,1000,936,3,1,60
-13.0,B-SSB,P6-SSB,1000,936,3,1,60
-13.0,B-SSB,BC-SSB,1000,935,4,2,59
-13.0,B-SSB,CDD-SSB,1000,937,2,8,53
-13.0,P2-SSB,P6-SSB,1000,937,0,0,63
-13.0,P2-SSB,BC-SSB,1000,934,3,3,60
-13.0,P2-SSB,CDD-SSB,1000,936,1,9,54
-13.0,P6-SSB,BC-SSB,1000,934,3,3,60
-13.0,P6-SSB,CDD-SSB,1000,936,1,9,54
-13.0,BC-SSB,CDD-SSB,1000,936,1,9,54
-12.0,B-SSB,P2-SSB,1000,938,5,4,53
-12.0,B-SSB,P6-SSB,1000,938,5,3,54
-12.0,B-SSB,BC-SSB,1000,942,1,4,53
-12.0,B-SSB,CDD-SSB,1000,943,0,17,40
-12.0,P2-SSB,P6-SSB,1000,941,1,0,58
-12.0,P2-SSB,BC-SSB,1000,940,2,6,52
-12.0,P2-SSB,CDD-SSB,1000,941,1,19,39
-12.0,P6-SSB,BC-SSB,1000,940,1,6,53
-12.0,P6-SSB,CDD-SSB,1000,941,0,19,40
-12.0,BC-SSB,CDD-SSB,1000,946,0,14,40
-11.0,B-SSB,P2-SSB,1000,953,1,2,44
-11.0,B-SSB,P6-SSB,1000,953,1,2,44
-11.0,B-SSB,BC-SSB,1000,954,0,5,41
-11.0,B-SSB,CDD-SSB,1000,953,1,10,36
-11.0,P2-SSB,P6-SSB,1000,955,0,0,45
-11.0,P2-SSB,BC-SSB,1000,954,1,5,40
-11.0,P2-SSB,CDD-SSB,1000,953,2,10,35
-11.0,P6-SSB,BC-SSB,1000,954,1,5,40
-11.0,P6-SSB,CDD-SSB,1000,953,2,10,35
-11.0,BC-SSB,CDD-SSB,1000,958,1,5,36
-10.0,B-SSB,P2-SSB,1000,959,4,2,35
-10.0,B-SSB,P6-SSB,1000,959,4,2,35
-10.0,B-SSB,BC-SSB,1000,959,4,4,33
-10.0,B-SSB,CDD-SSB,1000,963,0,9,28
-10.0,P2-SSB,P6-SSB,1000,961,0,0,39
-10.0,P2-SSB,BC-SSB,1000,958,3,5,34
-10.0,P2-SSB,CDD-SSB,1000,961,0,11,28
-10.0,P6-SSB,BC-SSB,1000,958,3,5,34
-10.0,P6-SSB,CDD-SSB,1000,961,0,11,28
-10.0,BC-SSB,CDD-SSB,1000,963,0,9,28
