snr_db,curve_id,curve_type,scheme,covariance,block_errors,blocks,bler,wilson_low,wilson_high,stop_reason
-18.0,B-SSB,estimated_csi,baseline,ssb_pdp,74,500,0.148,0.11956140538920541,0.18180613029572734,fixed_common_drops
-18.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,77,500,0.154,0.12501068027834014,0.188265363321054,fixed_common_drops
-18.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,76,500,0.152,0.12319239267380164,0.18611414828743875,fixed_common_drops
-18.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,78,500,0.156,0.126830791403845,0.19041475483370296,fixed_common_drops
-18.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,65,500,0.13,0.10332065036463456,0.16232136157691412,fixed_common_drops
-17.0,B-SSB,estimated_csi,baseline,ssb_pdp,68,500,0.136,0.10871544340723721,0.16883507644877283,fixed_common_drops
-17.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,69,500,0.138,0.1105180088988837,0.17100201359528014,fixed_common_drops
-17.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,70,500,0.14,0.11232266018786358,0.17316686494445405,fixed_common_drops
-17.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,64,500,0.128,0.10152682399523653,0.16014568530815834,fixed_common_drops
-17.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,49,500,0.098,0.07492391886460623,0.12720605086648182,fixed_common_drops
-16.0,B-SSB,estimated_csi,baseline,ssb_pdp,54,500,0.108,0.08372280963705038,0.13825467328480662,fixed_common_drops
-16.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,56,500,0.112,0.08726280019410228,0.1426536880040623,fixed_common_drops
-16.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,57,500,0.114,0.08903690099400287,0.1448490898423155,fixed_common_drops
-16.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,53,500,0.106,0.08195705027297036,0.13605093001073285,fixed_common_drops
-16.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,43,500,0.086,0.06447314240360773,0.11383981149855753,fixed_common_drops
-15.0,B-SSB,estimated_csi,baseline,ssb_pdp,44,500,0.088,0.06620598447492893,0.11607647206539012,fixed_common_drops
-15.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,42,500,0.084,0.06274413680383038,0.1115993144601811,fixed_common_drops
-15.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,42,500,0.084,0.06274413680383038,0.1115993144601811,fixed_common_drops
-15.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,41,500,0.082,0.06101908946846895,0.10935485915738874,fixed_common_drops
-15.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,37,500,0.074,0.054161184751011976,0.10033475332223055,fixed_common_drops
