snr_db,curve_id,scheme,covariance,blocks,mean_nmse
-18.0,B-SSB,baseline,ssb_pdp,500,0.18461178081120808
-18.0,P2-SSB,pol_cycling_prg2,ssb_pdp,500,0.18370370768138483
-18.0,P6-SSB,pol_cycling_prg6,ssb_pdp,500,0.18376395165913378
-18.0,BC-SSB,beam_cycling,ssb_pdp,500,0.17934402596807628
-18.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.047324435023718095
-17.0,B-SSB,baseline,ssb_pdp,500,0.1598554883992431
-17.0,P2-SSB,pol_cycling_prg2,ssb_pdp,500,0.15930924906073576
-17.0,P6-SSB,pol_cycling_prg6,ssb_pdp,500,0.15891687067134397
-17.0,BC-SSB,beam_cycling,ssb_pdp,500,0.1553074094994094
-17.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.04093467965002602
-16.0,B-SSB,baseline,ssb_pdp,500,0.13731844507547838
-16.0,P2-SSB,pol_cycling_prg2,ssb_pdp,500,0.13697698174680822
-16.0,P6-SSB,pol_cycling_prg6,ssb_pdp,500,0.136959768375985
-16.0,BC-SSB,beam_cycling,ssb_pdp,500,0.13483198387890702
-16.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.0336478462166756
-15.0,B-SSB,baseline,ssb_pdp,500,0.11925023165486202
-15.0,P2-SSB,pol_cycling_prg2,ssb_pdp,500,0.11822416786518639
-15.0,P6-SSB,pol_cycling_prg6,ssb_pdp,500,0.11839451749789158
-15.0,BC-SSB,beam_cycling,ssb_pdp,500,0.11647478334416334
-15.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.029181307567879487
