snr_db,curve_a,curve_b,blocks,n00,n01,n10,n11
-18.0,B-SSB,P2-SSB,500,421,5,2,72
-18.0,B-SSB,P6-SSB,500,422,4,2,72
-18.0,B-SSB,BC-SSB,500,420,6,2,72
-18.0,B-SSB,CDD-SSB,500,425,1,10,64
-18.0,P2-SSB,P6-SSB,500,423,0,1,76
-18.0,P2-SSB,BC-SSB,500,416,7,6,71
-18.0,P2-SSB,CDD-SSB,500,421,2,14,63
-18.0,P6-SSB,BC-SSB,500,417,7,5,71
-18.0,P6-SSB,CDD-SSB,500,422,2,13,63
-18.0,BC-SSB,CDD-SSB,500,422,0,13,65
-17.0,B-SSB,P2-SSB,500,425,7,6,62
-17.0,B-SSB,P6-SSB,500,424,8,6,62
-17.0,B-SSB,BC-SSB,500,430,2,6,62
-17.0,B-SSB,CDD-SSB,500,432,0,19,49
-17.0,P2-SSB,P6-SSB,500,429,2,1,68
-17.0,P2-SSB,BC-SSB,500,426,5,10,59
-17.0,P2-SSB,CDD-SSB,500,428,3,23,46
-17.0,P6-SSB,BC-SSB,500,426,4,10,60
-17.0,P6-SSB,CDD-SSB,500,428,2,23,47
-17.0,BC-SSB,CDD-SSB,500,436,0,15,49
-16.0,B-SSB,P2-SSB,500,438,8,6,48
-16.0,B-SSB,P6-SSB,500,437,9,6,48
-16.0,B-SSB,BC-SSB,500,440,6,7,47
-16.0,B-SSB,CDD-SSB,500,445,1,12,42
-16.0,P2-SSB,P6-SSB,500,442,2,1,55
-16.0,P2-SSB,BC-SSB,500,437,7,10,46
-16.0,P2-SSB,CDD-SSB,500,442,2,15,41
-16.0,P6-SSB,BC-SSB,500,435,8,12,45
-16.0,P6-SSB,CDD-SSB,500,441,2,16,41
-16.0,BC-SSB,CDD-SSB,500,446,1,11,42
-15.0,B-SSB,P2-SSB,500,453,3,5,39
-15.0,B-SSB,P6-SSB,500,453,3,5,39
-15.0,B-SSB,BC-SSB,500,454,2,5,39
-15.0,B-SSB,CDD-SSB,500,455,1,8,36
-15.0,P2-SSB,P6-SSB,500,457,1,1,41
-15.0,P2-SSB,BC-SSB,500,455,3,4,38
-15.0,P2-SSB,CDD-SSB,500,456,2,7,35
-15.0,P6-SSB,BC-SSB,500,454,4,5,37
-15.0,P6-SSB,CDD-SSB,500,456,2,7,35
-15.0,BC-SSB,CDD-SSB,500,458,1,5,36
