snr_db,curve_id,block_errors,blocks,raw_bler,wilson_low,wilson_high,monotone_bler,source_runs
-18.0,B-SSB,137,1000,0.137,0.11707313063299474,0.1597050960275183,0.137,outputs/plan-003/run-004/threshold+outputs/plan-004/run-001/threshold-integer-fill
-17.5,B-SSB,123,1000,0.123,0.10407414325107295,0.1448112326470356,0.123,outputs/plan-004/run-001/threshold-half-grid
-17.0,B-SSB,117,1000,0.117,0.09852838761922869,0.13840290938070654,0.117,outputs/plan-003/run-004/threshold+outputs/plan-004/run-001/threshold-integer-fill
-16.5,B-SSB,106,1000,0.106,0.08840506686305155,0.12661041882356588,0.106,outputs/plan-004/run-001/threshold-half-grid
-16.0,B-SSB,95,1000,0.095,0.07834523457904741,0.11475443979425223,0.095,outputs/plan-003/run-004/threshold+outputs/plan-004/run-001/threshold-integer-fill
-15.5,B-SSB,86,1000,0.086,0.07016852477576037,0.10500003125027925,0.086,outputs/plan-004/run-001/threshold-half-grid
-15.0,B-SSB,82,1000,0.082,0.06655195342021952,0.10064721667370458,0.082,outputs/plan-003/run-004/threshold+outputs/plan-004/run-001/threshold-integer-fill
-14.0,B-SSB,107,1500,0.07133333333333333,0.05937394629575595,0.08548271897501297,0.07133333333333333,outputs/plan-003/run-002/wide_2+outputs/plan-003/run-004/core
-13.0,B-SSB,95,1500,0.06333333333333334,0.05208839990254764,0.07680913625974421,0.06333333333333334,outputs/plan-003/run-002/wide_2+outputs/plan-003/run-004/core
-12.0,B-SSB,85,1500,0.056666666666666664,0.04605898663346571,0.06953927527176187,0.056666666666666664,outputs/plan-003/run-002/wide_2+outputs/plan-003/run-004/core
-11.0,B-SSB,81,1500,0.054,0.04365935933562644,0.06661919286677545,0.054,outputs/plan-003/run-001/estimated+outputs/plan-003/run-004/core
-10.5,B-SSB,72,1500,0.048,0.03828904363175826,0.06002016173928581,0.048,outputs/plan-003/run-001/estimated+outputs/plan-004/run-001/tail-balance
-10.0,B-SSB,64,1500,0.042666666666666665,0.03355366749284015,0.054116118472552516,0.042666666666666665,outputs/plan-003/run-001/estimated+outputs/plan-003/run-004/core
-9.5,B-SSB,57,1500,0.038,0.02944502930820716,0.048915264677240534,0.038,outputs/plan-003/run-001/estimated+outputs/plan-004/run-001/tail-balance
-9.0,B-SSB,50,1500,0.03333333333333333,0.02537496605978659,0.04367583594571614,0.03333333333333333,outputs/plan-003/run-001/estimated+outputs/plan-004/run-001/tail-balance
-8.5,B-SSB,41,1500,0.027333333333333334,0.02021183428351895,0.036869620890625954,0.027333333333333334,outputs/plan-003/run-001/estimated+outputs/plan-004/run-001/tail-balance
-8.0,B-SSB,115,5000,0.023,0.019196646091299507,0.027535741564284996,0.023,outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-7.5,B-SSB,106,5000,0.0212,0.017559414371953234,0.025575737010633474,0.0212,outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-7.0,B-SSB,92,5000,0.0184,0.01502773389063461,0.022511716622844416,0.0184,outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-6.5,B-SSB,80,5000,0.016,0.01287517502756183,0.01986796045525347,0.016,outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-6.0,B-SSB,75,5500,0.013636363636363636,0.010893119319389992,0.017058532262822855,0.013636363636363636,outputs/plan-003/run-002/wide_2+outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-18.0,P2-SSB,142,1000,0.142,0.12173404205455421,0.16500591702110326,0.142,outputs/plan-003/run-004/threshold+outputs/plan-004/run-001/threshold-integer-fill
-17.5,P2-SSB,128,1000,0.128,0.10870752216300937,0.15013958615024364,0.128,outputs/plan-004/run-001/threshold-half-grid
