snr_db,curve_id,blocks,mean_nmse,source_runs
-18.0,B-SSB,1000,0.17796419288331003,outputs/plan-003/run-004/threshold+outputs/plan-004/run-001/threshold-integer-fill
-17.5,B-SSB,1000,0.1659300181219117,outputs/plan-004/run-001/threshold-half-grid
-17.0,B-SSB,1000,0.15503793183113596,outputs/plan-003/run-004/threshold+outputs/plan-004/run-001/threshold-integer-fill
-16.5,B-SSB,1000,0.14358974338159794,outputs/plan-004/run-001/threshold-half-grid
-16.0,B-SSB,1000,0.13311673931003115,outputs/plan-003/run-004/threshold+outputs/plan-004/run-001/threshold-integer-fill
-15.5,B-SSB,1000,0.12468015077624335,outputs/plan-004/run-001/threshold-half-grid
-15.0,B-SSB,1000,0.11626348223580266,outputs/plan-003/run-004/threshold+outputs/plan-004/run-001/threshold-integer-fill
-14.0,B-SSB,1500,0.09905804307754246,outputs/plan-003/run-002/wide_2+outputs/plan-003/run-004/core
-13.0,B-SSB,1500,0.08507028234009416,outputs/plan-003/run-002/wide_2+outputs/plan-003/run-004/core
-12.0,B-SSB,1500,0.07235051469053833,outputs/plan-003/run-002/wide_2+outputs/plan-003/run-004/core
-11.0,B-SSB,1500,0.06472427710007586,outputs/plan-003/run-001/estimated+outputs/plan-003/run-004/core
-10.5,B-SSB,1500,0.06010473773682738,outputs/plan-003/run-001/estimated+outputs/plan-004/run-001/tail-balance
-10.0,B-SSB,1500,0.05538168665917881,outputs/plan-003/run-001/estimated+outputs/plan-003/run-004/core
-9.5,B-SSB,1500,0.05136525597509708,outputs/plan-003/run-001/estimated+outputs/plan-004/run-001/tail-balance
-9.0,B-SSB,1500,0.047269713306296667,outputs/plan-003/run-001/estimated+outputs/plan-004/run-001/tail-balance
-8.5,B-SSB,1500,0.04308922014185188,outputs/plan-003/run-001/estimated+outputs/plan-004/run-001/tail-balance
-8.0,B-SSB,5000,0.036865323086041686,outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-7.5,B-SSB,5000,0.033903676018878066,outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-7.0,B-SSB,5000,0.03096651087982108,outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-6.5,B-SSB,5000,0.02819304869936434,outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-6.0,B-SSB,5500,0.025956103178416626,outputs/plan-003/run-002/wide_2+outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-18.0,P2-SSB,1000,0.17803209049910346,outputs/plan-003/run-004/threshold+outputs/plan-004/run-001/threshold-integer-fill
-17.5,P2-SSB,1000,0.16605053089067,outputs/plan-004/run-001/threshold-half-grid
-17.0,P2-SSB,1000,0.15484094844130744,outputs/plan-003/run-004/threshold+outputs/plan-004/run-001/threshold-integer-fill
-16.5,P2-SSB,1000,0.14374354878801077,outputs/plan-004/run-001/threshold-half-grid
-16.0,P2-SSB,1000,0.133171063303308,outputs/plan-003/run-004/threshold+outputs/plan-004/run-001/threshold-integer-fill
-15.5,P2-SSB,1000,0.12450668413278866,outputs/plan-004/run-001/threshold-half-grid
-15.0,P2-SSB,1000,0.11583995454265306,outputs/plan-003/run-004/threshold+outputs/plan-004/run-001/threshold-integer-fill
-14.0,P2-SSB,1500,0.09913008523641262,outputs/plan-003/run-002/wide_2+outputs/plan-003/run-004/core
-13.0,P2-SSB,1500,0.08497329693670669,outputs/plan-003/run-002/wide_2+outputs/plan-003/run-004/core
-12.0,P2-SSB,1500,0.07221090963762977,outputs/plan-003/run-002/wide_2+outputs/plan-003/run-004/core
-11.0,P2-SSB,1500,0.06421709561133747,outputs/plan-003/run-001/estimated+outputs/plan-003/run-004/core
-10.5,P2-SSB,1500,0.05959846340192362,outputs/plan-003/run-001/estimated+outputs/plan-004/run-001/tail-balance
-10.0,P2-SSB,1500,0.054737485699651464,outputs/plan-003/run-001/estimated+outputs/plan-003/run-004/core
-9.5,P2-SSB,1500,0.050759643498637055,outputs/plan-003/run-001/estimated+outputs/plan-004/run-001/tail-balance
-9.0,P2-SSB,1500,0.046817502192418696,outputs/plan-003/run-001/estimated+outputs/plan-004/run-001/tail-balance
-8.5,P2-SSB,1500,0.042718427001334255,outputs/plan-003/run-001/estimated+outputs/plan-004/run-001/tail-balance
-8.0,P2-SSB,5000,0.03671874855036355,outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-7.5,P2-SSB,5000,0.03370507398501677,outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-7.0,P2-SSB,5000,0.0308339789585767,outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-6.5,P2-SSB,5000,0.028078991081152357,outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-6.0,P2-SSB,5500,0.02585842648382118,outputs/plan-003/run-002/wide_2+outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-18.0,P6-SSB,1000,0.17810416504869328,outputs/plan-003/run-004/threshold+outputs/plan-004/run-001/threshold-integer-fill
-17.5,P6-SSB,1000,0.16574443015381196,outputs/plan-004/run-001/threshold-half-grid
-17.0,P6-SSB,1000,0.15451919217808316,outputs/plan-003/run-004/threshold+outputs/plan-004/run-001/threshold-integer-fill
-16.5,P6-SSB,1000,0.14383934302958867,outputs/plan-004/run-001/threshold-half-grid
-16.0,P6-SSB,1000,0.13340751989681315,outputs/plan-003/run-004/threshold+outputs/plan-004/run-001/threshold-integer-fill
-15.5,P6-SSB,1000,0.12488392003088587,outputs/plan-004/run-001/threshold-half-grid
-15.0,P6-SSB,1000,0.11618220500865108,outputs/plan-003/run-004/threshold+outputs/plan-004/run-001/threshold-integer-fill
-14.0,P6-SSB,1500,0.09906360013379674,outputs/plan-003/run-002/wide_2+outputs/plan-003/run-004/core
-13.0,P6-SSB,1500,0.08491647659273989,outputs/plan-003/run-002/wide_2+outputs/plan-003/run-004/core
-12.0,P6-SSB,1500,0.07220979408479457,outputs/plan-003/run-002/wide_2+outputs/plan-003/run-004/core
-11.0,P6-SSB,1500,0.06429512234345831,outputs/plan-003/run-001/estimated+outputs/plan-003/run-004/core
-10.5,P6-SSB,1500,0.0598108584306702,outputs/plan-003/run-001/estimated+outputs/plan-004/run-001/tail-balance
-10.0,P6-SSB,1500,0.054828264000702176,outputs/plan-003/run-001/estimated+outputs/plan-003/run-004/core
-9.5,P6-SSB,1500,0.05081992901794629,outputs/plan-003/run-001/estimated+outputs/plan-004/run-001/tail-balance
-9.0,P6-SSB,1500,0.046784522261806065,outputs/plan-003/run-001/estimated+outputs/plan-004/run-001/tail-balance
-8.5,P6-SSB,1500,0.04271869173561085,outputs/plan-003/run-001/estimated+outputs/plan-004/run-001/tail-balance
-8.0,P6-SSB,5000,0.03665902099243334,outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-7.5,P6-SSB,5000,0.03370986419136601,outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-7.0,P6-SSB,5000,0.030827067438744245,outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-6.5,P6-SSB,5000,0.028039449539873664,outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-6.0,P6-SSB,5500,0.025882932722673828,outputs/plan-003/run-002/wide_2+outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-18.0,BC-SSB,1000,0.17375254785859112,outputs/plan-003/run-004/threshold+outputs/plan-004/run-001/threshold-integer-fill
-17.5,BC-SSB,1000,0.16175133548642476,outputs/plan-004/run-001/threshold-half-grid
-17.0,BC-SSB,1000,0.1502682208387614,outputs/plan-003/run-004/threshold+outputs/plan-004/run-001/threshold-integer-fill
-16.5,BC-SSB,1000,0.14035235655046352,outputs/plan-004/run-001/threshold-half-grid
-16.0,BC-SSB,1000,0.1300993170803548,outputs/plan-003/run-004/threshold+outputs/plan-004/run-001/threshold-integer-fill
-15.5,BC-SSB,1000,0.12156775809897098,outputs/plan-004/run-001/threshold-half-grid
-15.0,BC-SSB,1000,0.11356665871452622,outputs/plan-003/run-004/threshold+outputs/plan-004/run-001/threshold-integer-fill
-14.0,BC-SSB,1500,0.096102831734248,outputs/plan-003/run-002/wide_2+outputs/plan-003/run-004/core
-13.0,BC-SSB,1500,0.0820526203361211,outputs/plan-003/run-002/wide_2+outputs/plan-003/run-004/core
-12.0,BC-SSB,1500,0.06991938106155485,outputs/plan-003/run-002/wide_2+outputs/plan-003/run-004/core
-11.0,BC-SSB,1500,0.06272489702768087,outputs/plan-003/run-001/estimated+outputs/plan-003/run-004/core
-10.5,BC-SSB,1500,0.058180473045259876,outputs/plan-003/run-001/estimated+outputs/plan-004/run-001/tail-balance
