snr_db,curve_id,curve_type,scheme,covariance,block_errors,blocks,bler,wilson_low,wilson_high,stop_reason
-8.0,B-SSB,estimated_csi,baseline,ssb_pdp,92,4000,0.023,0.01879191787735425,0.028123391021020967,fixed_common_drops
-8.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,91,4000,0.02275,0.018566727412319083,0.027849061207700986,fixed_common_drops
-8.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,90,4000,0.0225,0.01834168068667859,0.02757458765498633,fixed_common_drops
-8.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,85,4000,0.02125,0.01721868669114435,0.026199980258744825,fixed_common_drops
-8.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,63,4000,0.01575,0.012330142270852953,0.020099078555222936,fixed_common_drops
-7.5,B-SSB,estimated_csi,baseline,ssb_pdp,84,4000,0.021,0.016994553487667693,0.025924593183866335,fixed_common_drops
-7.5,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,84,4000,0.021,0.016994553487667693,0.025924593183866335,fixed_common_drops
-7.5,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,83,4000,0.02075,0.01677058171629451,0.02564904467688437,fixed_common_drops
-7.5,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,76,4000,0.019,0.015207548340719364,0.023715436103973468,fixed_common_drops
-7.5,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,55,4000,0.01375,0.010579415048753388,0.01785364355048131,fixed_common_drops
-7.0,B-SSB,estimated_csi,baseline,ssb_pdp,73,4000,0.01825,0.014540410610019643,0.02288401299960774,fixed_common_drops
-7.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,78,4000,0.0195,0.0156532464480853,0.024268778553317827,fixed_common_drops
-7.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,77,4000,0.01925,0.015430305811551068,0.023992198911496912,fixed_common_drops
-7.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,69,4000,0.01725,0.013653684826334198,0.021772657669872592,fixed_common_drops
-7.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,47,4000,0.01175,0.008847923120578775,0.01558897325181473,fixed_common_drops
-6.5,B-SSB,estimated_csi,baseline,ssb_pdp,61,4000,0.01525,0.01189086623024601,0.019539314039119578,fixed_common_drops
-6.5,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,64,4000,0.016,0.012550150941255354,0.020378590163175683,fixed_common_drops
-6.5,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,62,4000,0.0155,0.012110378777386396,0.019819321770334346,fixed_common_drops
-6.5,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,60,4000,0.015,0.01167161063186532,0.019259049359145124,fixed_common_drops
-6.5,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,38,4000,0.0095,0.0069292926813024425,0.013011921185894719,fixed_common_drops
-6.0,B-SSB,estimated_csi,baseline,ssb_pdp,53,4000,0.01325,0.010144575851567243,0.017289442190957155,fixed_common_drops
-6.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,54,4000,0.0135,0.010361842070946894,0.017571696249932656,fixed_common_drops
-6.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,54,4000,0.0135,0.010361842070946894,0.017571696249932656,fixed_common_drops
-6.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,51,4000,0.01275,0.009710997880426918,0.01672397960538718,fixed_common_drops
-6.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,27,4000,0.00675,0.004643228196942382,0.009803262608348134,fixed_common_drops
