snr_db,curve_id,scheme,covariance,blocks,mean_nmse
-8.0,B-SSB,baseline,ssb_pdp,4000,0.03647335185659618
-8.0,P2-SSB,pol_cycling_prg2,ssb_pdp,4000,0.036371310875076765
-8.0,P6-SSB,pol_cycling_prg6,ssb_pdp,4000,0.03630831549768824
-8.0,BC-SSB,beam_cycling,ssb_pdp,4000,0.03421659266582135
-8.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,4000,0.007103190111052891
-7.5,B-SSB,baseline,ssb_pdp,4000,0.033671521650840634
-7.5,P2-SSB,pol_cycling_prg2,ssb_pdp,4000,0.033546384218335175
-7.5,P6-SSB,pol_cycling_prg6,ssb_pdp,4000,0.03353045665527368
-7.5,BC-SSB,beam_cycling,ssb_pdp,4000,0.03140506344789981
-7.5,CDD-SSB,beam_cdd,cdd_ssb_pdp,4000,0.006459538004625252
-7.0,B-SSB,baseline,ssb_pdp,4000,0.030671069516539154
-7.0,P2-SSB,pol_cycling_prg2,ssb_pdp,4000,0.030606715417694254
-7.0,P6-SSB,pol_cycling_prg6,ssb_pdp,4000,0.030600766417435598
-7.0,BC-SSB,beam_cycling,ssb_pdp,4000,0.028633613846683854
-7.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,4000,0.005922925728194294
-6.5,B-SSB,baseline,ssb_pdp,4000,0.027984496889438784
-6.5,P2-SSB,pol_cycling_prg2,ssb_pdp,4000,0.027907817875625303
-6.5,P6-SSB,pol_cycling_prg6,ssb_pdp,4000,0.027874214932383533
-6.5,BC-SSB,beam_cycling,ssb_pdp,4000,0.02611377711644396
-6.5,CDD-SSB,beam_cdd,cdd_ssb_pdp,4000,0.005368152614859076
-6.0,B-SSB,baseline,ssb_pdp,4000,0.025747218983119217
-6.0,P2-SSB,pol_cycling_prg2,ssb_pdp,4000,0.025675861816885834
-6.0,P6-SSB,pol_cycling_prg6,ssb_pdp,4000,0.025713682063649643
-6.0,BC-SSB,beam_cycling,ssb_pdp,4000,0.023889541878862743
-6.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,4000,0.004843963606508625
