snr_db,curve_a,curve_b,blocks,n00,n01,n10,n11
-8.0,B-SSB,P2-SSB,4000,3901,7,8,84
-8.0,B-SSB,P6-SSB,4000,3901,7,9,83
-8.0,B-SSB,BC-SSB,4000,3902,6,13,79
-8.0,B-SSB,CDD-SSB,4000,3906,2,31,61
-8.0,P2-SSB,P6-SSB,4000,3908,1,2,89
-8.0,P2-SSB,BC-SSB,4000,3904,5,11,80
-8.0,P2-SSB,CDD-SSB,4000,3908,1,29,62
-8.0,P6-SSB,BC-SSB,4000,3905,5,10,80
-8.0,P6-SSB,CDD-SSB,4000,3909,1,28,62
-8.0,BC-SSB,CDD-SSB,4000,3915,0,22,63
-7.5,B-SSB,P2-SSB,4000,3909,7,7,77
-7.5,B-SSB,P6-SSB,4000,3910,6,7,77
-7.5,B-SSB,BC-SSB,4000,3910,6,14,70
-7.5,B-SSB,CDD-SSB,4000,3915,1,30,54
-7.5,P2-SSB,P6-SSB,4000,3916,0,1,83
-7.5,P2-SSB,BC-SSB,4000,3910,6,14,70
-7.5,P2-SSB,CDD-SSB,4000,3916,0,29,55
-7.5,P6-SSB,BC-SSB,4000,3911,6,13,70
-7.5,P6-SSB,CDD-SSB,4000,3917,0,28,55
-7.5,BC-SSB,CDD-SSB,4000,3924,0,21,55
-7.0,B-SSB,P2-SSB,4000,3918,9,4,69
-7.0,B-SSB,P6-SSB,4000,3919,8,4,69
-7.0,B-SSB,BC-SSB,4000,3918,9,13,60
-7.0,B-SSB,CDD-SSB,4000,3926,1,27,46
-7.0,P2-SSB,P6-SSB,4000,3921,1,2,76
-7.0,P2-SSB,BC-SSB,4000,3915,7,16,62
-7.0,P2-SSB,CDD-SSB,4000,3921,1,32,46
-7.0,P6-SSB,BC-SSB,4000,3916,7,15,62
-7.0,P6-SSB,CDD-SSB,4000,3922,1,31,46
-7.0,BC-SSB,CDD-SSB,4000,3931,0,22,47
-6.5,B-SSB,P2-SSB,4000,3929,10,7,54
-6.5,B-SSB,P6-SSB,4000,3931,8,7,54
-6.5,B-SSB,BC-SSB,4000,3932,7,8,53
-6.5,B-SSB,CDD-SSB,4000,3938,1,24,37
-6.5,P2-SSB,P6-SSB,4000,3935,1,3,61
-6.5,P2-SSB,BC-SSB,4000,3930,6,10,54
-6.5,P2-SSB,CDD-SSB,4000,3934,2,28,36
-6.5,P6-SSB,BC-SSB,4000,3932,6,8,54
-6.5,P6-SSB,CDD-SSB,4000,3936,2,26,36
-6.5,BC-SSB,CDD-SSB,4000,3940,0,22,38
-6.0,B-SSB,P2-SSB,4000,3939,8,7,46
-6.0,B-SSB,P6-SSB,4000,3940,7,6,47
-6.0,B-SSB,BC-SSB,4000,3942,5,7,46
-6.0,B-SSB,CDD-SSB,4000,3946,1,27,26
-6.0,P2-SSB,P6-SSB,4000,3944,2,2,52
-6.0,P2-SSB,BC-SSB,4000,3939,7,10,44
-6.0,P2-SSB,CDD-SSB,4000,3943,3,30,24
-6.0,P6-SSB,BC-SSB,4000,3940,6,9,45
-6.0,P6-SSB,CDD-SSB,4000,3943,3,30,24
-6.0,BC-SSB,CDD-SSB,4000,3949,0,24,27
