snr_db,curve_id,curve_type,scheme,covariance,block_errors,blocks,bler,wilson_low,wilson_high,stop_reason
-10.5,B-SSB,estimated_csi,baseline,ssb_pdp,42,1000,0.042,0.03122088554616545,0.056284425226603055,fixed_common_drops
-10.5,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,45,1000,0.045,0.033799512285631717,0.05968283793622345,fixed_common_drops
-10.5,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,45,1000,0.045,0.033799512285631717,0.05968283793622345,fixed_common_drops
-10.5,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,39,1000,0.039,0.028658960904180485,0.052869310419501346,fixed_common_drops
-10.5,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,29,1000,0.029,0.020266448156698758,0.04133835833669417,fixed_common_drops
-9.5,B-SSB,estimated_csi,baseline,ssb_pdp,33,1000,0.033,0.023592927958426907,0.04598126446708159,fixed_common_drops
-9.5,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,34,1000,0.034,0.024431348663226316,0.04713519024531107,fixed_common_drops
-9.5,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,35,1000,0.035,0.025272263017112953,0.04828662237445333,fixed_common_drops
-9.5,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,34,1000,0.034,0.024431348663226316,0.04713519024531107,fixed_common_drops
-9.5,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,26,1000,0.026,0.01780393820161633,0.03782382884268992,fixed_common_drops
-9.0,B-SSB,estimated_csi,baseline,ssb_pdp,29,1000,0.029,0.020266448156698758,0.04133835833669417,fixed_common_drops
-9.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,29,1000,0.029,0.020266448156698758,0.04133835833669417,fixed_common_drops
-9.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,28,1000,0.028,0.01944227681277093,0.04017018319759311,fixed_common_drops
-9.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,30,1000,0.03,0.021093738828834703,0.04250341414758712,fixed_common_drops
-9.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,24,1000,0.024,0.016180168466636998,0.03546290561161149,fixed_common_drops
-8.5,B-SSB,estimated_csi,baseline,ssb_pdp,25,1000,0.025,0.01699013129343407,0.0366452892678433,fixed_common_drops
-8.5,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,28,1000,0.028,0.01944227681277093,0.04017018319759311,fixed_common_drops
-8.5,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,26,1000,0.026,0.01780393820161633,0.03782382884268992,fixed_common_drops
-8.5,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,26,1000,0.026,0.01780393820161633,0.03782382884268992,fixed_common_drops
-8.5,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,21,1000,0.021,0.013775739567924288,0.03189029506123752,fixed_common_drops
-8.0,B-SSB,estimated_csi,baseline,ssb_pdp,23,1000,0.023,0.015374276932992922,0.03427645066222666,fixed_common_drops
-8.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,25,1000,0.025,0.01699013129343407,0.0366452892678433,fixed_common_drops
-8.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,25,1000,0.025,0.01699013129343407,0.0366452892678433,fixed_common_drops
-8.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,24,1000,0.024,0.016180168466636998,0.03546290561161149,fixed_common_drops
-8.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,19,1000,0.019,0.012196885750790906,0.02948445591231312,fixed_common_drops
-7.5,B-SSB,estimated_csi,baseline,ssb_pdp,22,1000,0.022,0.01457270776479106,0.03308567334739963,fixed_common_drops
-7.5,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,21,1000,0.021,0.013775739567924288,0.03189029506123752,fixed_common_drops
-7.5,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,23,1000,0.023,0.015374276932992922,0.03427645066222666,fixed_common_drops
-7.5,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,22,1000,0.022,0.01457270776479106,0.03308567334739963,fixed_common_drops
-7.5,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,17,1000,0.017,0.01064068985681633,0.027055958840229925,fixed_common_drops
-7.0,B-SSB,estimated_csi,baseline,ssb_pdp,19,1000,0.019,0.012196885750790906,0.02948445591231312,fixed_common_drops
-7.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,20,1000,0.02,0.01298368291641514,0.03069000522971778,fixed_common_drops
-7.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,20,1000,0.02,0.01298368291641514,0.03069000522971778,fixed_common_drops
-7.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,21,1000,0.021,0.013775739567924288,0.03189029506123752,fixed_common_drops
-7.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,16,1000,0.016,0.00987224200227739,0.02583206021173997,fixed_common_drops
-6.5,B-SSB,estimated_csi,baseline,ssb_pdp,19,1000,0.019,0.012196885750790906,0.02948445591231312,fixed_common_drops
-6.5,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,18,1000,0.018,0.01141574000956779,0.02827325517050734,fixed_common_drops
-6.5,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,18,1000,0.018,0.01141574000956779,0.02827325517050734,fixed_common_drops
-6.5,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,18,1000,0.018,0.01141574000956779,0.02827325517050734,fixed_common_drops
-6.5,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,14,1000,0.014,0.008357575130423924,0.023362034117535655,fixed_common_drops
-6.0,B-SSB,estimated_csi,baseline,ssb_pdp,18,1000,0.018,0.01141574000956779,0.02827325517050734,fixed_common_drops
-6.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,14,1000,0.014,0.008357575130423924,0.023362034117535655,fixed_common_drops
-6.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,14,1000,0.014,0.008357575130423924,0.023362034117535655,fixed_common_drops
-6.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,17,1000,0.017,0.01064068985681633,0.027055958840229925,fixed_common_drops
-6.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,13,1000,0.013,0.0076128203893510256,0.022114442375579663,fixed_common_drops
