snr_db,curve_id,scheme,covariance,blocks,mean_nmse
-10.5,B-SSB,baseline,ssb_pdp,1000,0.05751549069562512
-10.5,P2-SSB,pol_cycling_prg2,ssb_pdp,1000,0.057127480134178066
-10.5,P6-SSB,pol_cycling_prg6,ssb_pdp,1000,0.05733971277846981
-10.5,BC-SSB,beam_cycling,ssb_pdp,1000,0.05606993772685497
-10.5,CDD-SSB,beam_cdd,cdd_ssb_pdp,1000,0.012154190832420721
-9.5,B-SSB,baseline,ssb_pdp,1000,0.049238234912798565
-9.5,P2-SSB,pol_cycling_prg2,ssb_pdp,1000,0.04877594516955403
-9.5,P6-SSB,pol_cycling_prg6,ssb_pdp,1000,0.04886545785902481
-9.5,BC-SSB,beam_cycling,ssb_pdp,1000,0.047433999853026015
-9.5,CDD-SSB,beam_cdd,cdd_ssb_pdp,1000,0.009948441016040328
-9.0,B-SSB,baseline,ssb_pdp,1000,0.04532100335834489
-9.0,P2-SSB,pol_cycling_prg2,ssb_pdp,1000,0.04488684531340112
-9.0,P6-SSB,pol_cycling_prg6,ssb_pdp,1000,0.044908361218414114
-9.0,BC-SSB,beam_cycling,ssb_pdp,1000,0.04417841555295827
-9.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,1000,0.009137296613824968
-8.5,B-SSB,baseline,ssb_pdp,1000,0.041283740205043135
-8.5,P2-SSB,pol_cycling_prg2,ssb_pdp,1000,0.04091727770805178
-8.5,P6-SSB,pol_cycling_prg6,ssb_pdp,1000,0.04088812731056825
-8.5,BC-SSB,beam_cycling,ssb_pdp,1000,0.03995596135823736
-8.5,CDD-SSB,beam_cdd,cdd_ssb_pdp,1000,0.008408076537979967
-8.0,B-SSB,baseline,ssb_pdp,1000,0.03843320800382372
-8.0,P2-SSB,pol_cycling_prg2,ssb_pdp,1000,0.03810849925151066
-8.0,P6-SSB,pol_cycling_prg6,ssb_pdp,1000,0.03806184297141373
-8.0,BC-SSB,beam_cycling,ssb_pdp,1000,0.036849010478566785
-8.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,1000,0.007615739154398628
-7.5,B-SSB,baseline,ssb_pdp,1000,0.0348322934910278
-7.5,P2-SSB,pol_cycling_prg2,ssb_pdp,1000,0.03433983305174314
-7.5,P6-SSB,pol_cycling_prg6,ssb_pdp,1000,0.03442749433573532
-7.5,BC-SSB,beam_cycling,ssb_pdp,1000,0.03360114878287277
-7.5,CDD-SSB,beam_cdd,cdd_ssb_pdp,1000,0.006964520188153031
-7.0,B-SSB,baseline,ssb_pdp,1000,0.032148276332948755
-7.0,P2-SSB,pol_cycling_prg2,ssb_pdp,1000,0.03174303312210648
-7.0,P6-SSB,pol_cycling_prg6,ssb_pdp,1000,0.03173227152397885
-7.0,BC-SSB,beam_cycling,ssb_pdp,1000,0.03115703645619503
-7.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,1000,0.006547504413934862
-6.5,B-SSB,baseline,ssb_pdp,1000,0.029027255939066576
-6.5,P2-SSB,pol_cycling_prg2,ssb_pdp,1000,0.028763683903260572
-6.5,P6-SSB,pol_cycling_prg6,ssb_pdp,1000,0.028700387969834193
-6.5,BC-SSB,beam_cycling,ssb_pdp,1000,0.028039981733141494
-6.5,CDD-SSB,beam_cdd,cdd_ssb_pdp,1000,0.0056836376293227546
-6.0,B-SSB,baseline,ssb_pdp,1000,0.026801080596197676
-6.0,P2-SSB,pol_cycling_prg2,ssb_pdp,1000,0.026406922543449958
-6.0,P6-SSB,pol_cycling_prg6,ssb_pdp,1000,0.02643238411917892
-6.0,BC-SSB,beam_cycling,ssb_pdp,1000,0.025819890374842277
-6.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,1000,0.005225858589535933
