snr_db,curve_a,curve_b,blocks,n00,n01,n10,n11
-10.5,B-SSB,P2-SSB,1000,955,3,0,42
-10.5,B-SSB,P6-SSB,1000,955,3,0,42
-10.5,B-SSB,BC-SSB,1000,956,2,5,37
-10.5,B-SSB,CDD-SSB,1000,958,0,13,29
-10.5,P2-SSB,P6-SSB,1000,955,0,0,45
-10.5,P2-SSB,BC-SSB,1000,955,0,6,39
-10.5,P2-SSB,CDD-SSB,1000,955,0,16,29
-10.5,P6-SSB,BC-SSB,1000,955,0,6,39
-10.5,P6-SSB,CDD-SSB,1000,955,0,16,29
-10.5,BC-SSB,CDD-SSB,1000,961,0,10,29
-9.5,B-SSB,P2-SSB,1000,964,3,2,31
-9.5,B-SSB,P6-SSB,1000,962,5,3,30
-9.5,B-SSB,BC-SSB,1000,965,2,1,32
-9.5,B-SSB,CDD-SSB,1000,967,0,7,26
-9.5,P2-SSB,P6-SSB,1000,964,2,1,33
-9.5,P2-SSB,BC-SSB,1000,962,4,4,30
-9.5,P2-SSB,CDD-SSB,1000,966,0,8,26
-9.5,P6-SSB,BC-SSB,1000,960,5,6,29
-9.5,P6-SSB,CDD-SSB,1000,965,0,9,26
-9.5,BC-SSB,CDD-SSB,1000,966,0,8,26
-9.0,B-SSB,P2-SSB,1000,970,1,1,28
-9.0,B-SSB,P6-SSB,1000,971,0,1,28
-9.0,B-SSB,BC-SSB,1000,969,2,1,28
-9.0,B-SSB,CDD-SSB,1000,971,0,5,24
-9.0,P2-SSB,P6-SSB,1000,971,0,1,28
-9.0,P2-SSB,BC-SSB,1000,968,3,2,27
-9.0,P2-SSB,CDD-SSB,1000,971,0,5,24
-9.0,P6-SSB,BC-SSB,1000,969,3,1,27
-9.0,P6-SSB,CDD-SSB,1000,972,0,4,24
-9.0,BC-SSB,CDD-SSB,1000,970,0,6,24
-8.5,B-SSB,P2-SSB,1000,972,3,0,25
-8.5,B-SSB,P6-SSB,1000,974,1,0,25
-8.5,B-SSB,BC-SSB,1000,973,2,1,24
-8.5,B-SSB,CDD-SSB,1000,975,0,4,21
-8.5,P2-SSB,P6-SSB,1000,972,0,2,26
-8.5,P2-SSB,BC-SSB,1000,971,1,3,25
-8.5,P2-SSB,CDD-SSB,1000,972,0,7,21
-8.5,P6-SSB,BC-SSB,1000,973,1,1,25
-8.5,P6-SSB,CDD-SSB,1000,974,0,5,21
-8.5,BC-SSB,CDD-SSB,1000,974,0,5,21
-8.0,B-SSB,P2-SSB,1000,975,2,0,23
-8.0,B-SSB,P6-SSB,1000,975,2,0,23
-8.0,B-SSB,BC-SSB,1000,976,1,0,23
-8.0,B-SSB,CDD-SSB,1000,977,0,4,19
-8.0,P2-SSB,P6-SSB,1000,975,0,0,25
-8.0,P2-SSB,BC-SSB,1000,975,0,1,24
-8.0,P2-SSB,CDD-SSB,1000,975,0,6,19
-8.0,P6-SSB,BC-SSB,1000,975,0,1,24
-8.0,P6-SSB,CDD-SSB,1000,975,0,6,19
-8.0,BC-SSB,CDD-SSB,1000,976,0,5,19
-7.5,B-SSB,P2-SSB,1000,976,2,3,19
-7.5,B-SSB,P6-SSB,1000,975,3,2,20
-7.5,B-SSB,BC-SSB,1000,976,2,2,20
-7.5,B-SSB,CDD-SSB,1000,978,0,5,17
-7.5,P2-SSB,P6-SSB,1000,977,2,0,21
-7.5,P2-SSB,BC-SSB,1000,977,2,1,20
-7.5,P2-SSB,CDD-SSB,1000,979,0,4,17
-7.5,P6-SSB,BC-SSB,1000,976,1,2,21
-7.5,P6-SSB,CDD-SSB,1000,977,0,6,17
-7.5,BC-SSB,CDD-SSB,1000,978,0,5,17
-7.0,B-SSB,P2-SSB,1000,978,3,2,17
-7.0,B-SSB,P6-SSB,1000,978,3,2,17
-7.0,B-SSB,BC-SSB,1000,979,2,0,19
-7.0,B-SSB,CDD-SSB,1000,981,0,3,16
-7.0,P2-SSB,P6-SSB,1000,980,0,0,20
-7.0,P2-SSB,BC-SSB,1000,977,3,2,18
-7.0,P2-SSB,CDD-SSB,1000,979,1,5,15
-7.0,P6-SSB,BC-SSB,1000,977,3,2,18
-7.0,P6-SSB,CDD-SSB,1000,979,1,5,15
-7.0,BC-SSB,CDD-SSB,1000,979,0,5,16
-6.5,B-SSB,P2-SSB,1000,979,2,3,16
-6.5,B-SSB,P6-SSB,1000,979,2,3,16
-6.5,B-SSB,BC-SSB,1000,981,0,1,18
-6.5,B-SSB,CDD-SSB,1000,981,0,5,14
-6.5,P2-SSB,P6-SSB,1000,982,0,0,18
-6.5,P2-SSB,BC-SSB,1000,980,2,2,16
-6.5,P2-SSB,CDD-SSB,1000,981,1,5,13
-6.5,P6-SSB,BC-SSB,1000,980,2,2,16
-6.5,P6-SSB,CDD-SSB,1000,981,1,5,13
-6.5,BC-SSB,CDD-SSB,1000,982,0,4,14
-6.0,B-SSB,P2-SSB,1000,982,0,4,14
-6.0,B-SSB,P6-SSB,1000,982,0,4,14
-6.0,B-SSB,BC-SSB,1000,981,1,2,16
-6.0,B-SSB,CDD-SSB,1000,982,0,5,13
-6.0,P2-SSB,P6-SSB,1000,986,0,0,14
-6.0,P2-SSB,BC-SSB,1000,982,4,1,13
-6.0,P2-SSB,CDD-SSB,1000,985,1,2,12
-6.0,P6-SSB,BC-SSB,1000,982,4,1,13
-6.0,P6-SSB,CDD-SSB,1000,985,1,2,12
-6.0,BC-SSB,CDD-SSB,1000,983,0,4,13
