snr_db,curve_a,curve_b,blocks,n00,n01,n10,n11
-17.5,B-SSB,P2-SSB,1000,863,14,9,114
-17.5,B-SSB,P6-SSB,1000,864,13,8,115
-17.5,B-SSB,BC-SSB,1000,861,16,7,116
-17.5,B-SSB,CDD-SSB,1000,873,4,24,99
-17.5,P2-SSB,P6-SSB,1000,871,1,1,127
-17.5,P2-SSB,BC-SSB,1000,857,15,11,117
-17.5,P2-SSB,CDD-SSB,1000,866,6,31,97
-17.5,P6-SSB,BC-SSB,1000,857,15,11,117
-17.5,P6-SSB,CDD-SSB,1000,867,5,30,98
-17.5,BC-SSB,CDD-SSB,1000,868,0,29,103
-16.5,B-SSB,P2-SSB,1000,882,12,9,97
-16.5,B-SSB,P6-SSB,1000,881,13,9,97
-16.5,B-SSB,BC-SSB,1000,886,8,7,99
-16.5,B-SSB,CDD-SSB,1000,894,0,23,83
-16.5,P2-SSB,P6-SSB,1000,890,1,0,109
-16.5,P2-SSB,BC-SSB,1000,878,13,15,94
-16.5,P2-SSB,CDD-SSB,1000,887,4,30,79
-16.5,P6-SSB,BC-SSB,1000,877,13,16,94
-16.5,P6-SSB,CDD-SSB,1000,886,4,31,79
-16.5,BC-SSB,CDD-SSB,1000,893,0,24,83
-15.5,B-SSB,P2-SSB,1000,905,9,8,78
-15.5,B-SSB,P6-SSB,1000,905,9,8,78
-15.5,B-SSB,BC-SSB,1000,911,3,6,80
-15.5,B-SSB,CDD-SSB,1000,914,0,11,75
-15.5,P2-SSB,P6-SSB,1000,911,2,2,85
-15.5,P2-SSB,BC-SSB,1000,905,8,12,75
-15.5,P2-SSB,CDD-SSB,1000,910,3,15,72
-15.5,P6-SSB,BC-SSB,1000,906,7,11,76
-15.5,P6-SSB,CDD-SSB,1000,911,2,14,73
-15.5,BC-SSB,CDD-SSB,1000,917,0,8,75
