snr_db,curve_id,curve_type,scheme,covariance,block_errors,blocks,bler,wilson_low,wilson_high,stop_reason
-18.0,B-SSB,estimated_csi,baseline,ssb_pdp,63,500,0.126,0.09973528894537706,0.15796771771986404,fixed_common_drops
-18.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,65,500,0.13,0.10332065036463456,0.16232136157691412,fixed_common_drops
-18.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,66,500,0.132,0.10511672384831995,0.1644947907313825,fixed_common_drops
-18.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,64,500,0.128,0.10152682399523653,0.16014568530815834,fixed_common_drops
-18.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,52,500,0.104,0.08019420676989109,0.1338442708756583,fixed_common_drops
-17.0,B-SSB,estimated_csi,baseline,ssb_pdp,49,500,0.098,0.07492391886460623,0.12720605086648182,fixed_common_drops
-17.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,50,500,0.1,0.07667756273730172,0.1294219096319401,fixed_common_drops
-17.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,50,500,0.1,0.07667756273730172,0.1294219096319401,fixed_common_drops
-17.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,51,500,0.102,0.07843435210316954,0.13163462290422606,fixed_common_drops
-17.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,40,500,0.08,0.0592981294098526,0.1071063165778513,fixed_common_drops
-16.0,B-SSB,estimated_csi,baseline,ssb_pdp,41,500,0.082,0.06101908946846895,0.10935485915738874,fixed_common_drops
-16.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,40,500,0.08,0.0592981294098526,0.1071063165778513,fixed_common_drops
-16.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,42,500,0.084,0.06274413680383038,0.1115993144601811,fixed_common_drops
-16.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,41,500,0.082,0.06101908946846895,0.10935485915738874,fixed_common_drops
-16.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,36,500,0.072,0.0524580314181262,0.09806840401696253,fixed_common_drops
-15.0,B-SSB,estimated_csi,baseline,ssb_pdp,38,500,0.076,0.055869027037427826,0.10259641367396849,fixed_common_drops
-15.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,37,500,0.074,0.054161184751011976,0.10033475332223055,fixed_common_drops
-15.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,37,500,0.074,0.054161184751011976,0.10033475332223055,fixed_common_drops
-15.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,37,500,0.074,0.054161184751011976,0.10033475332223055,fixed_common_drops
-15.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,33,500,0.066,0.04737852635977388,0.0912394011608535,fixed_common_drops
