snr_db,curve_id,scheme,covariance,blocks,mean_nmse
-18.0,B-SSB,baseline,ssb_pdp,500,0.171316604955412
-18.0,P2-SSB,pol_cycling_prg2,ssb_pdp,500,0.17236047331682208
-18.0,P6-SSB,pol_cycling_prg6,ssb_pdp,500,0.1724443784382528
-18.0,BC-SSB,beam_cycling,ssb_pdp,500,0.16816106974910597
-18.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.04443288058587712
-17.0,B-SSB,baseline,ssb_pdp,500,0.15022037526302875
-17.0,P2-SSB,pol_cycling_prg2,ssb_pdp,500,0.15037264782187906
-17.0,P6-SSB,pol_cycling_prg6,ssb_pdp,500,0.15012151368482235
-17.0,BC-SSB,beam_cycling,ssb_pdp,500,0.14522903217811342
-17.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.03636673082239544
-16.0,B-SSB,baseline,ssb_pdp,500,0.12891503354458395
-16.0,P2-SSB,pol_cycling_prg2,ssb_pdp,500,0.12936514485980774
-16.0,P6-SSB,pol_cycling_prg6,ssb_pdp,500,0.12985527141764128
-16.0,BC-SSB,beam_cycling,ssb_pdp,500,0.1253666502818026
-16.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.03312615473670087
-15.0,B-SSB,baseline,ssb_pdp,500,0.11327673281674328
-15.0,P2-SSB,pol_cycling_prg2,ssb_pdp,500,0.11345574122011973
-15.0,P6-SSB,pol_cycling_prg6,ssb_pdp,500,0.11396989251941057
-15.0,BC-SSB,beam_cycling,ssb_pdp,500,0.11065853408488908
-15.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,500,0.027664519552773964
