snr_db,curve_a,curve_b,blocks,n00,n01,n10,n11
-18.0,B-SSB,P2-SSB,500,431,6,4,59
-18.0,B-SSB,P6-SSB,500,431,6,3,60
-18.0,B-SSB,BC-SSB,500,431,6,5,58
-18.0,B-SSB,CDD-SSB,500,436,1,12,51
-18.0,P2-SSB,P6-SSB,500,434,1,0,65
-18.0,P2-SSB,BC-SSB,500,427,8,9,56
-18.0,P2-SSB,CDD-SSB,500,434,1,14,51
-18.0,P6-SSB,BC-SSB,500,427,7,9,57
-18.0,P6-SSB,CDD-SSB,500,433,1,15,51
-18.0,BC-SSB,CDD-SSB,500,436,0,12,52
-17.0,B-SSB,P2-SSB,500,447,4,3,46
-17.0,B-SSB,P6-SSB,500,447,4,3,46
-17.0,B-SSB,BC-SSB,500,445,6,4,45
-17.0,B-SSB,CDD-SSB,500,450,1,10,39
-17.0,P2-SSB,P6-SSB,500,450,0,0,50
-17.0,P2-SSB,BC-SSB,500,445,5,4,46
-17.0,P2-SSB,CDD-SSB,500,448,2,12,38
-17.0,P6-SSB,BC-SSB,500,445,5,4,46
-17.0,P6-SSB,CDD-SSB,500,448,2,12,38
-17.0,BC-SSB,CDD-SSB,500,449,0,11,40
-16.0,B-SSB,P2-SSB,500,456,3,4,37
-16.0,B-SSB,P6-SSB,500,455,4,3,38
-16.0,B-SSB,BC-SSB,500,457,2,2,39
-16.0,B-SSB,CDD-SSB,500,459,0,5,36
-16.0,P2-SSB,P6-SSB,500,458,2,0,40
-16.0,P2-SSB,BC-SSB,500,456,4,3,37
-16.0,P2-SSB,CDD-SSB,500,458,2,6,34
-16.0,P6-SSB,BC-SSB,500,455,3,4,38
-16.0,P6-SSB,CDD-SSB,500,457,1,7,35
-16.0,BC-SSB,CDD-SSB,500,459,0,5,36
-15.0,B-SSB,P2-SSB,500,460,2,3,35
-15.0,B-SSB,P6-SSB,500,460,2,3,35
-15.0,B-SSB,BC-SSB,500,461,1,2,36
-15.0,B-SSB,CDD-SSB,500,462,0,5,33
-15.0,P2-SSB,P6-SSB,500,463,0,0,37
-15.0,P2-SSB,BC-SSB,500,460,3,3,34
-15.0,P2-SSB,CDD-SSB,500,463,0,4,33
-15.0,P6-SSB,BC-SSB,500,460,3,3,34
-15.0,P6-SSB,CDD-SSB,500,463,0,4,33
-15.0,BC-SSB,CDD-SSB,500,463,0,4,33
