family,beam_index,parent_ssb,power_linear,power_db,relative_to_family_peak_db,rank_within_family,selected_parent_ssb
ssb,0,,8.282203163651655,9.181458796040127,-17.22202608918405,7,0
ssb,1,,30.030779666413835,14.775666076044338,-11.62781880917984,4,0
ssb,2,,34.77303780219045,15.41242632676331,-10.991058558460868,3,0
ssb,3,,436.86624379906937,26.403484885224174,0.0,1,1
ssb,4,,143.6468440031094,21.57296088754063,-4.8305239976835415,2,0
ssb,5,,22.418433243093578,13.506052577837034,-12.897432307387145,5,0
ssb,6,,11.562069838400804,10.630355883171188,-15.77312900205299,6,0
ssb,7,,6.519501633400836,8.14214398471753,-18.261340900506646,8,0
secondary,0,0,2.912095798441235,4.642056577461045,-22.704737448268627,15,0
secondary,1,0,8.726143230995548,9.408223372229408,-17.938570653500264,11,0
secondary,2,1,21.20338972815573,13.264052959548547,-14.082741066181125,9,0
secondary,3,1,27.045179266931953,14.320898644758575,-13.025895380971097,8,0
secondary,4,2,35.28175552725586,15.475501863473058,-11.871292162256617,6,0
secondary,5,2,51.26242903486292,17.097991810804466,-10.248802214925206,4,0
secondary,6,3,542.8494505299598,27.34679402572967,0.0,1,0
secondary,7,3,422.7295475584666,26.26062604803501,-1.0861679776946607,2,0
secondary,8,4,228.96043031255866,23.59760432637723,-3.7491896993524447,3,0
secondary,9,4,45.15776906781383,16.547324783045156,-10.79946924268452,5,0
secondary,10,5,32.75405886786957,15.152651252345136,-12.194142773384538,7,0
secondary,11,5,9.577243760063714,9.812405412263438,-17.534388613466238,10,0
secondary,12,6,8.470917105567041,9.279304318567549,-18.067489707162125,12,0
secondary,13,6,7.989277970213486,9.025075317894348,-18.321718707835327,13,0
secondary,14,7,6.440761449406495,8.08937214211809,-19.257421883611585,14,0
secondary,15,7,2.4747970571122284,3.9353959090999657,-23.411398116629705,16,0
