family,beam_index,parent_ssb,power_linear,power_db,relative_to_family_peak_db,rank_within_family,selected_parent_ssb
ssb,0,,6.832064500674883,8.345519578207247,-18.127588778765237,8,0
ssb,1,,6.901294565270052,8.389305646239603,-18.083802710732883,7,0
ssb,2,,34.295988225222956,15.352433213970953,-11.120675143001531,4,0
ssb,3,,111.43752005181754,20.470314386654124,-6.0027939703183595,2,0
ssb,4,,443.92625966258925,26.47310835697248,0.0,1,1
ssb,5,,97.01163276336045,19.86823814080953,-6.604870216162952,3,0
ssb,6,,22.809602606344466,13.581177189734856,-12.891931167237626,5,0
ssb,7,,12.438937599070147,10.947832891518619,-15.525275465453864,6,0
secondary,0,0,2.666225133632551,4.258968180584125,-23.393304092877084,16,0
secondary,1,0,7.7026312151414364,8.866391053046529,-18.785881220414684,12,0
secondary,2,1,4.166506492095791,6.197720628637446,-21.454551644823766,14,0
secondary,3,1,5.315136676520589,7.255144367041904,-20.397127906419307,13,0
secondary,4,2,20.59280624323648,13.137155332575805,-14.51511694088541,8,0
secondary,5,2,42.172152994904195,16.250257734108352,-11.40201453935286,6,0
secondary,6,3,28.253300787817132,14.510691930472834,-13.14158034298838,7,0
secondary,7,3,163.14244984836782,22.12566979655826,-5.526602476902951,3,0
secondary,8,4,582.4078598590032,27.652272273461215,0.0,1,0
secondary,9,4,395.3567755705901,25.969891860769984,-1.6823804126912287,2,0
secondary,10,5,160.6785030080743,22.059577768910916,-5.592694504550294,4,0
secondary,11,5,44.14209766208843,16.44852967281092,-11.20374260065029,5,0
secondary,12,6,18.394914583400727,12.646977755298066,-15.005294518163145,9,0
secondary,13,6,14.12473220234174,11.499802225695104,-16.15247004776611,11,0
secondary,14,7,15.887444515214574,12.010540468490376,-15.641731804970838,10,0
secondary,15,7,3.5667580186239394,5.522736462766375,-22.12953581069484,15,0
