Fixed curve run: SNR=[-2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5], 1000 common drops/SNR; 5 estimated-CSI curves + 0 Perfect-CSI diagnostics
SNR -2.5 dB starting/resuming at 0 common drops
  SNR -2.5 dB, common drops=10, overall=10/7000 (0.1%), rate=0.298 drops/s, elapsed=00:00:34, remaining=06:30:38, finish_utc=2026-09-21T22:15:49+00:00, errors=[B-SSB:2, P2-SSB:3, P6-SSB:3, BC-SSB:2, CDD-SSB:2]
  SNR -2.5 dB, common drops=20, overall=20/7000 (0.3%), rate=0.314 drops/s, elapsed=00:01:04, remaining=06:10:44, finish_utc=2026-09-21T21:56:25+00:00, errors=[B-SSB:5, P2-SSB:6, P6-SSB:6, BC-SSB:3, CDD-SSB:4]
  SNR -2.5 dB, common drops=30, overall=30/7000 (0.4%), rate=0.320 drops/s, elapsed=00:01:34, remaining=06:02:36, finish_utc=2026-09-21T21:48:47+00:00, errors=[B-SSB:8, P2-SSB:7, P6-SSB:7, BC-SSB:6, CDD-SSB:4]
  SNR -2.5 dB, common drops=40, overall=40/7000 (0.6%), rate=0.323 drops/s, elapsed=00:02:04, remaining=05:59:09, finish_utc=2026-09-21T21:45:50+00:00, errors=[B-SSB:11, P2-SSB:9, P6-SSB:9, BC-SSB:8, CDD-SSB:5]
  SNR -2.5 dB, common drops=50, overall=50/7000 (0.7%), rate=0.319 drops/s, elapsed=00:02:37, remaining=06:03:26, finish_utc=2026-09-21T21:50:40+00:00, errors=[B-SSB:12, P2-SSB:10, P6-SSB:10, BC-SSB:10, CDD-SSB:7]
  SNR -2.5 dB, common drops=60, overall=60/7000 (0.9%), rate=0.314 drops/s, elapsed=00:03:11, remaining=06:07:52, finish_utc=2026-09-21T21:55:41+00:00, errors=[B-SSB:16, P2-SSB:14, P6-SSB:13, BC-SSB:14, CDD-SSB:11]
  SNR -2.5 dB, common drops=70, overall=70/7000 (1.0%), rate=0.314 drops/s, elapsed=00:03:43, remaining=06:08:25, finish_utc=2026-09-21T21:56:46+00:00, errors=[B-SSB:19, P2-SSB:16, P6-SSB:16, BC-SSB:17, CDD-SSB:13]
  SNR -2.5 dB, common drops=80, overall=80/7000 (1.1%), rate=0.316 drops/s, elapsed=00:04:13, remaining=06:05:12, finish_utc=2026-09-21T21:54:02+00:00, errors=[B-SSB:22, P2-SSB:19, P6-SSB:19, BC-SSB:20, CDD-SSB:13]
  SNR -2.5 dB, common drops=90, overall=90/7000 (1.3%), rate=0.318 drops/s, elapsed=00:04:43, remaining=06:02:23, finish_utc=2026-09-21T21:51:43+00:00, errors=[B-SSB:25, P2-SSB:22, P6-SSB:23, BC-SSB:23, CDD-SSB:15]
  SNR -2.5 dB, common drops=100, overall=100/7000 (1.4%), rate=0.318 drops/s, elapsed=00:05:14, remaining=06:01:18, finish_utc=2026-09-21T21:51:10+00:00, errors=[B-SSB:30, P2-SSB:25, P6-SSB:25, BC-SSB:25, CDD-SSB:17]
  SNR -2.5 dB, common drops=110, overall=110/7000 (1.6%), rate=0.315 drops/s, elapsed=00:05:49, remaining=06:04:13, finish_utc=2026-09-21T21:54:40+00:00, errors=[B-SSB:33, P2-SSB:29, P6-SSB:28, BC-SSB:26, CDD-SSB:19]
  SNR -2.5 dB, common drops=120, overall=120/7000 (1.7%), rate=0.315 drops/s, elapsed=00:06:21, remaining=06:04:15, finish_utc=2026-09-21T21:55:13+00:00, errors=[B-SSB:37, P2-SSB:34, P6-SSB:33, BC-SSB:28, CDD-SSB:22]
  SNR -2.5 dB, common drops=130, overall=130/7000 (1.9%), rate=0.316 drops/s, elapsed=00:06:51, remaining=06:02:12, finish_utc=2026-09-21T21:53:41+00:00, errors=[B-SSB:43, P2-SSB:38, P6-SSB:37, BC-SSB:33, CDD-SSB:24]
  SNR -2.5 dB, common drops=140, overall=140/7000 (2.0%), rate=0.317 drops/s, elapsed=00:07:21, remaining=06:00:15, finish_utc=2026-09-21T21:52:14+00:00, errors=[B-SSB:45, P2-SSB:40, P6-SSB:40, BC-SSB:35, CDD-SSB:25]
  SNR -2.5 dB, common drops=150, overall=150/7000 (2.1%), rate=0.318 drops/s, elapsed=00:07:52, remaining=05:59:09, finish_utc=2026-09-21T21:51:38+00:00, errors=[B-SSB:51, P2-SSB:45, P6-SSB:45, BC-SSB:39, CDD-SSB:28]
  SNR -2.5 dB, common drops=160, overall=160/7000 (2.3%), rate=0.316 drops/s, elapsed=00:08:26, remaining=06:00:12, finish_utc=2026-09-21T21:53:15+00:00, errors=[B-SSB:56, P2-SSB:49, P6-SSB:49, BC-SSB:42, CDD-SSB:29]
  SNR -2.5 dB, common drops=170, overall=170/7000 (2.4%), rate=0.316 drops/s, elapsed=00:08:57, remaining=05:59:50, finish_utc=2026-09-21T21:53:25+00:00, errors=[B-SSB:59, P2-SSB:50, P6-SSB:51, BC-SSB:45, CDD-SSB:31]
  SNR -2.5 dB, common drops=180, overall=180/7000 (2.6%), rate=0.317 drops/s, elapsed=00:09:28, remaining=05:58:27, finish_utc=2026-09-21T21:52:32+00:00, errors=[B-SSB:62, P2-SSB:53, P6-SSB:54, BC-SSB:48, CDD-SSB:34]
  SNR -2.5 dB, common drops=190, overall=190/7000 (2.7%), rate=0.317 drops/s, elapsed=00:09:59, remaining=05:57:46, finish_utc=2026-09-21T21:52:22+00:00, errors=[B-SSB:67, P2-SSB:56, P6-SSB:58, BC-SSB:53, CDD-SSB:39]
  SNR -2.5 dB, common drops=200, overall=200/7000 (2.9%), rate=0.315 drops/s, elapsed=00:10:35, remaining=05:59:37, finish_utc=2026-09-21T21:54:49+00:00, errors=[B-SSB:71, P2-SSB:59, P6-SSB:61, BC-SSB:55, CDD-SSB:41]
  SNR -2.5 dB, common drops=210, overall=210/7000 (3.0%), rate=0.315 drops/s, elapsed=00:11:07, remaining=05:59:17, finish_utc=2026-09-21T21:55:01+00:00, errors=[B-SSB:76, P2-SSB:64, P6-SSB:66, BC-SSB:58, CDD-SSB:44]
  SNR -2.5 dB, common drops=220, overall=220/7000 (3.1%), rate=0.316 drops/s, elapsed=00:11:37, remaining=05:57:51, finish_utc=2026-09-21T21:54:05+00:00, errors=[B-SSB:80, P2-SSB:68, P6-SSB:70, BC-SSB:61, CDD-SSB:47]
  SNR -2.5 dB, common drops=230, overall=230/7000 (3.3%), rate=0.317 drops/s, elapsed=00:12:06, remaining=05:56:20, finish_utc=2026-09-21T21:53:04+00:00, errors=[B-SSB:81, P2-SSB:68, P6-SSB:71, BC-SSB:62, CDD-SSB:48]
  SNR -2.5 dB, common drops=240, overall=240/7000 (3.4%), rate=0.317 drops/s, elapsed=00:12:37, remaining=05:55:20, finish_utc=2026-09-21T21:52:34+00:00, errors=[B-SSB:85, P2-SSB:72, P6-SSB:75, BC-SSB:66, CDD-SSB:50]
  SNR -2.5 dB, common drops=250, overall=250/7000 (3.6%), rate=0.316 drops/s, elapsed=00:13:10, remaining=05:55:43, finish_utc=2026-09-21T21:53:31+00:00, errors=[B-SSB:90, P2-SSB:77, P6-SSB:80, BC-SSB:69, CDD-SSB:53]
