snr_db,curve_id,curve_type,scheme,covariance,block_errors,blocks,bler,wilson_low,wilson_high,stop_reason
-2.5,B-SSB,estimated_csi,baseline,ssb_pdp,406,1000,0.406,0.37597870513494724,0.43674072546033715,fixed_common_drops
-2.5,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,337,1000,0.337,0.3083764445978848,0.3668710786684062,fixed_common_drops
-2.5,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,345,1000,0.345,0.31618050448770857,0.3750057906428134,fixed_common_drops
-2.5,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,312,1000,0.312,0.2840496860924683,0.3413891750981004,fixed_common_drops
-2.5,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,207,1000,0.207,0.18303292798076143,0.23320955249177389,fixed_common_drops
-2.0,B-SSB,estimated_csi,baseline,ssb_pdp,318,1000,0.318,0.2898795107350345,0.34751342935370755,fixed_common_drops
-2.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,264,1000,0.264,0.23761996823603918,0.2921862617691428,fixed_common_drops
-2.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,261,1000,0.261,0.23473118426217232,0.289098006293923,fixed_common_drops
-2.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,233,1000,0.233,0.20785061925196213,0.2601928697793244,fixed_common_drops
-2.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,146,1000,0.146,0.12546927343040054,0.16924007157737248,fixed_common_drops
-1.5,B-SSB,estimated_csi,baseline,ssb_pdp,251,1000,0.251,0.22511381079019807,0.27879191493560834,fixed_common_drops
-1.5,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,180,1000,0.18,0.15742689252874323,0.20502223290201207,fixed_common_drops
-1.5,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,183,1000,0.183,0.16026284116890502,0.20816332371093696,fixed_common_drops
-1.5,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,179,1000,0.179,0.15648211521918923,0.2039746637285372,fixed_common_drops
-1.5,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,111,1000,0.111,0.09299921045824965,0.13197800764351222,fixed_common_drops
-1.0,B-SSB,estimated_csi,baseline,ssb_pdp,188,1000,0.188,0.16499470988376858,0.21339318741121788,fixed_common_drops
-1.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,121,1000,0.121,0.10222378228920963,0.14267690064284116,fixed_common_drops
-1.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,120,1000,0.12,0.10129926060130913,0.14160907584771273,fixed_common_drops
-1.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,126,1000,0.126,0.10685291068700915,0.14800950466018614,fixed_common_drops
-1.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,79,1000,0.079,0.06384721576082919,0.09737491488400823,fixed_common_drops
-0.5,B-SSB,estimated_csi,baseline,ssb_pdp,137,1000,0.137,0.11707313063299474,0.1597050960275183,fixed_common_drops
-0.5,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,74,1000,0.074,0.05935499258410698,0.09190540564558597,fixed_common_drops
-0.5,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,82,1000,0.082,0.06655195342021952,0.10064721667370458,fixed_common_drops
-0.5,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,96,1000,0.096,0.07925690009839677,0.11583512075793177,fixed_common_drops
-0.5,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,61,1000,0.061,0.04777977512603371,0.07758011882428367,fixed_common_drops
0.0,B-SSB,estimated_csi,baseline,ssb_pdp,100,1000,0.1,0.08290944359309571,0.1201519631953484,fixed_common_drops
0.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,44,1000,0.044,0.0329382145884185,0.058551789150407776,fixed_common_drops
0.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,42,1000,0.042,0.03122088554616545,0.056284425226603055,fixed_common_drops
0.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,60,1000,0.06,0.04689647267593196,0.07647107479135655,fixed_common_drops
0.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,36,1000,0.036,0.026115571407387322,0.049435660467207834,fixed_common_drops
0.5,B-SSB,estimated_csi,baseline,ssb_pdp,76,1000,0.076,0.061149448071702354,0.09409564312404839,fixed_common_drops
0.5,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,28,1000,0.028,0.01944227681277093,0.04017018319759311,fixed_common_drops
0.5,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,30,1000,0.03,0.021093738828834703,0.04250341414758712,fixed_common_drops
0.5,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,38,1000,0.038,0.027809004509302633,0.05172692033135031,fixed_common_drops
0.5,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,26,1000,0.026,0.01780393820161633,0.03782382884268992,fixed_common_drops
