snr_db,curve_id,scheme,covariance,blocks,mean_nmse
-2.5,B-SSB,baseline,ssb_pdp,1000,0.27926359506466003
-2.5,P2-SSB,pol_cycling_prg2,ssb_pdp,1000,0.2576458694859338
-2.5,P6-SSB,pol_cycling_prg6,ssb_pdp,1000,0.25797932886484903
-2.5,BC-SSB,beam_cycling,ssb_pdp,1000,0.252076324360153
-2.5,CDD-SSB,beam_cdd,cdd_ssb_pdp,1000,0.051820276084570537
-2.0,B-SSB,baseline,ssb_pdp,1000,0.25587386373268084
-2.0,P2-SSB,pol_cycling_prg2,ssb_pdp,1000,0.23574715369346977
-2.0,P6-SSB,pol_cycling_prg6,ssb_pdp,1000,0.2356223680353061
-2.0,BC-SSB,beam_cycling,ssb_pdp,1000,0.2298202346266622
-2.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,1000,0.04671735039705093
-1.5,B-SSB,baseline,ssb_pdp,1000,0.23416953496874438
-1.5,P2-SSB,pol_cycling_prg2,ssb_pdp,1000,0.215392689745947
-1.5,P6-SSB,pol_cycling_prg6,ssb_pdp,1000,0.21543937685052397
-1.5,BC-SSB,beam_cycling,ssb_pdp,1000,0.21026219914421515
-1.5,CDD-SSB,beam_cdd,cdd_ssb_pdp,1000,0.043046035000575085
-1.0,B-SSB,baseline,ssb_pdp,1000,0.2151831847670207
-1.0,P2-SSB,pol_cycling_prg2,ssb_pdp,1000,0.1975641628764402
-1.0,P6-SSB,pol_cycling_prg6,ssb_pdp,1000,0.19769372213741912
-1.0,BC-SSB,beam_cycling,ssb_pdp,1000,0.19298965251665562
-1.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,1000,0.04006470853638419
-0.5,B-SSB,baseline,ssb_pdp,1000,0.19663862671789273
-0.5,P2-SSB,pol_cycling_prg2,ssb_pdp,1000,0.1804062804563639
-0.5,P6-SSB,pol_cycling_prg6,ssb_pdp,1000,0.18071869291703724
-0.5,BC-SSB,beam_cycling,ssb_pdp,1000,0.17606029211757462
-0.5,CDD-SSB,beam_cdd,cdd_ssb_pdp,1000,0.0354706956197781
0.0,B-SSB,baseline,ssb_pdp,1000,0.17840179793480138
0.0,P2-SSB,pol_cycling_prg2,ssb_pdp,1000,0.1637027632888208
0.0,P6-SSB,pol_cycling_prg6,ssb_pdp,1000,0.16391783668837487
0.0,BC-SSB,beam_cycling,ssb_pdp,1000,0.1601129277604564
0.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,1000,0.03296124949296228
0.5,B-SSB,baseline,ssb_pdp,1000,0.16242054304069628
0.5,P2-SSB,pol_cycling_prg2,ssb_pdp,1000,0.14843750187456783
0.5,P6-SSB,pol_cycling_prg6,ssb_pdp,1000,0.14857438508374451
0.5,BC-SSB,beam_cycling,ssb_pdp,1000,0.1451561239368109
0.5,CDD-SSB,beam_cdd,cdd_ssb_pdp,1000,0.030130463348962865
