snr_db,curve_a,curve_b,blocks,n00,n01,n10,n11
-2.5,B-SSB,P2-SSB,1000,557,37,106,300
-2.5,B-SSB,P6-SSB,1000,553,41,102,304
-2.5,B-SSB,BC-SSB,1000,570,24,118,288
-2.5,B-SSB,CDD-SSB,1000,558,36,235,171
-2.5,P2-SSB,P6-SSB,1000,645,18,10,327
-2.5,P2-SSB,BC-SSB,1000,583,80,105,232
-2.5,P2-SSB,CDD-SSB,1000,607,56,186,151
-2.5,P6-SSB,BC-SSB,1000,580,75,108,237
-2.5,P6-SSB,CDD-SSB,1000,602,53,191,154
-2.5,BC-SSB,CDD-SSB,1000,658,30,135,177
-2.0,B-SSB,P2-SSB,1000,641,41,95,223
-2.0,B-SSB,P6-SSB,1000,644,38,95,223
-2.0,B-SSB,BC-SSB,1000,665,17,102,216
-2.0,B-SSB,CDD-SSB,1000,651,31,203,115
-2.0,P2-SSB,P6-SSB,1000,725,11,14,250
-2.0,P2-SSB,BC-SSB,1000,670,66,97,167
-2.0,P2-SSB,CDD-SSB,1000,686,50,168,96
-2.0,P6-SSB,BC-SSB,1000,672,67,95,166
-2.0,P6-SSB,CDD-SSB,1000,691,48,163,98
-2.0,BC-SSB,CDD-SSB,1000,738,29,116,117
-1.5,B-SSB,P2-SSB,1000,721,28,99,152
-1.5,B-SSB,P6-SSB,1000,721,28,96,155
-1.5,B-SSB,BC-SSB,1000,734,15,87,164
-1.5,B-SSB,CDD-SSB,1000,721,28,168,83
-1.5,P2-SSB,P6-SSB,1000,808,12,9,171
-1.5,P2-SSB,BC-SSB,1000,750,70,71,109
-1.5,P2-SSB,CDD-SSB,1000,771,49,118,62
-1.5,P6-SSB,BC-SSB,1000,747,70,74,109
-1.5,P6-SSB,CDD-SSB,1000,769,48,120,63
-1.5,BC-SSB,CDD-SSB,1000,795,26,94,85
-1.0,B-SSB,P2-SSB,1000,794,18,85,103
-1.0,B-SSB,P6-SSB,1000,795,17,85,103
-1.0,B-SSB,BC-SSB,1000,801,11,73,115
-1.0,B-SSB,CDD-SSB,1000,792,20,129,59
-1.0,P2-SSB,P6-SSB,1000,872,7,8,113
-1.0,P2-SSB,BC-SSB,1000,817,62,57,64
-1.0,P2-SSB,CDD-SSB,1000,837,42,84,37
-1.0,P6-SSB,BC-SSB,1000,818,62,56,64
-1.0,P6-SSB,CDD-SSB,1000,837,43,84,36
-1.0,BC-SSB,CDD-SSB,1000,855,19,66,60
-0.5,B-SSB,P2-SSB,1000,846,17,80,57
-0.5,B-SSB,P6-SSB,1000,844,19,74,63
-0.5,B-SSB,BC-SSB,1000,851,12,53,84
-0.5,B-SSB,CDD-SSB,1000,844,19,95,42
-0.5,P2-SSB,P6-SSB,1000,917,9,1,73
-0.5,P2-SSB,BC-SSB,1000,864,62,40,34
-0.5,P2-SSB,CDD-SSB,1000,882,44,57,17
-0.5,P6-SSB,BC-SSB,1000,862,56,42,40
-0.5,P6-SSB,CDD-SSB,1000,877,41,62,20
-0.5,BC-SSB,CDD-SSB,1000,884,20,55,41
0.0,B-SSB,P2-SSB,1000,890,10,66,34
0.0,B-SSB,P6-SSB,1000,889,11,69,31
0.0,B-SSB,BC-SSB,1000,892,8,48,52
0.0,B-SSB,CDD-SSB,1000,891,9,73,27
0.0,P2-SSB,P6-SSB,1000,953,3,5,39
0.0,P2-SSB,BC-SSB,1000,917,39,23,21
0.0,P2-SSB,CDD-SSB,1000,929,27,35,9
0.0,P6-SSB,BC-SSB,1000,920,38,20,22
0.0,P6-SSB,CDD-SSB,1000,932,26,32,10
0.0,BC-SSB,CDD-SSB,1000,930,10,34,26
0.5,B-SSB,P2-SSB,1000,918,6,54,22
0.5,B-SSB,P6-SSB,1000,916,8,54,22
0.5,B-SSB,BC-SSB,1000,922,2,40,36
0.5,B-SSB,CDD-SSB,1000,917,7,57,19
0.5,P2-SSB,P6-SSB,1000,969,3,1,27
0.5,P2-SSB,BC-SSB,1000,945,27,17,11
0.5,P2-SSB,CDD-SSB,1000,950,22,24,4
0.5,P6-SSB,BC-SSB,1000,943,27,19,11
0.5,P6-SSB,CDD-SSB,1000,948,22,26,4
0.5,BC-SSB,CDD-SSB,1000,953,9,21,17
