snr_db,curve_id,curve_type,scheme,covariance,block_errors,blocks,bler,wilson_low,wilson_high,stop_reason
-8.0,B-SSB,estimated_csi,baseline,ssb_pdp,99,100,0.99,0.9455138038212947,0.9982325679358592,fixed_common_drops
-8.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,100,100,1.0,0.9630065017930143,1.0,fixed_common_drops
-8.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,100,100,1.0,0.9630065017930143,1.0,fixed_common_drops
-8.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,98,100,0.98,0.929988209271456,0.9944980324498376,fixed_common_drops
-8.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,91,100,0.91,0.837737871472837,0.9519274599974348,fixed_common_drops
-6.0,B-SSB,estimated_csi,baseline,ssb_pdp,92,100,0.92,0.8500189229905127,0.9589065385156194,fixed_common_drops
-6.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,93,100,0.93,0.8625048526092651,0.9656807389327273,fixed_common_drops
-6.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,93,100,0.93,0.8625048526092651,0.9656807389327273,fixed_common_drops
-6.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,91,100,0.91,0.837737871472837,0.9519274599974348,fixed_common_drops
-6.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,71,100,0.71,0.6146110882442888,0.7898516425087772,fixed_common_drops
-4.0,B-SSB,estimated_csi,baseline,ssb_pdp,63,100,0.63,0.5322052958094291,0.7181763946567546,fixed_common_drops
-4.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,66,100,0.66,0.5627772885472463,0.7453847920265183,fixed_common_drops
-4.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,66,100,0.66,0.5627772885472463,0.7453847920265183,fixed_common_drops
-4.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,58,100,0.58,0.4820648670304296,0.6720161732564526,fixed_common_drops
-4.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,42,100,0.42,0.3279838267435473,0.5179351329695703,fixed_common_drops
-2.0,B-SSB,estimated_csi,baseline,ssb_pdp,34,100,0.34,0.25461520797348164,0.43722271145275377,fixed_common_drops
-2.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,27,100,0.27,0.1926958414957634,0.36432116767944994,fixed_common_drops
-2.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,26,100,0.26,0.18404698464748132,0.3537098944918718,fixed_common_drops
-2.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,25,100,0.25,0.17545211362287674,0.34304463548061603,fixed_common_drops
-2.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,17,100,0.17,0.1089356611405993,0.2554800476760112,fixed_common_drops
0.0,B-SSB,estimated_csi,baseline,ssb_pdp,10,100,0.1,0.0552291370606751,0.17436566150491345,fixed_common_drops
0.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,3,100,0.03,0.010254524024038925,0.08451936429052759,fixed_common_drops
0.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,3,100,0.03,0.010254524024038925,0.08451936429052759,fixed_common_drops
0.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,7,100,0.07,0.03431926106727268,0.13749514739073498,fixed_common_drops
0.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,8,100,0.08,0.04109346148438063,0.14998107700948732,fixed_common_drops
2.0,B-SSB,estimated_csi,baseline,ssb_pdp,5,100,0.05,0.02154367915436798,0.11175046923191911,fixed_common_drops
2.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,1,100,0.01,0.0017674320641406435,0.054486196178705294,fixed_common_drops
2.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,1,100,0.01,0.0017674320641406435,0.054486196178705294,fixed_common_drops
2.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,4,100,0.04,0.01566330399154762,0.09837071435887917,fixed_common_drops
2.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,2,100,0.02,0.005501967550162357,0.07001179072854387,fixed_common_drops
4.0,B-SSB,estimated_csi,baseline,ssb_pdp,1,100,0.01,0.0017674320641406435,0.054486196178705294,fixed_common_drops
4.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,0,100,0.0,0.0,0.03699349820698566,fixed_common_drops
4.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,1,100,0.01,0.0017674320641406435,0.054486196178705294,fixed_common_drops
4.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,0,100,0.0,0.0,0.03699349820698566,fixed_common_drops
4.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,0,100,0.0,0.0,0.03699349820698566,fixed_common_drops
