snr_db,curve_id,scheme,covariance,blocks,mean_nmse
-8.0,B-SSB,baseline,ssb_pdp,100,0.5972951047064404
-8.0,P2-SSB,pol_cycling_prg2,ssb_pdp,100,0.5567064508405672
-8.0,P6-SSB,pol_cycling_prg6,ssb_pdp,100,0.5619869815101345
-8.0,BC-SSB,beam_cycling,ssb_pdp,100,0.5518305360054335
-8.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,100,0.15017898252882525
-6.0,B-SSB,baseline,ssb_pdp,100,0.4820474423292332
-6.0,P2-SSB,pol_cycling_prg2,ssb_pdp,100,0.4417112089357301
-6.0,P6-SSB,pol_cycling_prg6,ssb_pdp,100,0.4448281501080582
-6.0,BC-SSB,beam_cycling,ssb_pdp,100,0.4385279178532735
-6.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,100,0.1035684600651016
-4.0,B-SSB,baseline,ssb_pdp,100,0.3663107364712455
-4.0,P2-SSB,pol_cycling_prg2,ssb_pdp,100,0.3348367314672433
-4.0,P6-SSB,pol_cycling_prg6,ssb_pdp,100,0.335356499078291
-4.0,BC-SSB,beam_cycling,ssb_pdp,100,0.33130731237817884
-4.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,100,0.07517623026521653
-2.0,B-SSB,baseline,ssb_pdp,100,0.2662044712532168
-2.0,P2-SSB,pol_cycling_prg2,ssb_pdp,100,0.23919804291342192
-2.0,P6-SSB,pol_cycling_prg6,ssb_pdp,100,0.24078109624980237
-2.0,BC-SSB,beam_cycling,ssb_pdp,100,0.23796775151973965
-2.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,100,0.048281436539670895
0.0,B-SSB,baseline,ssb_pdp,100,0.18659635239990086
0.0,P2-SSB,pol_cycling_prg2,ssb_pdp,100,0.16634205773578067
0.0,P6-SSB,pol_cycling_prg6,ssb_pdp,100,0.16700697707776982
0.0,BC-SSB,beam_cycling,ssb_pdp,100,0.16469748766049075
0.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,100,0.0357855848541466
2.0,B-SSB,baseline,ssb_pdp,100,0.1293688097572811
2.0,P2-SSB,pol_cycling_prg2,ssb_pdp,100,0.11401733958947456
2.0,P6-SSB,pol_cycling_prg6,ssb_pdp,100,0.11422086881376117
2.0,BC-SSB,beam_cycling,ssb_pdp,100,0.11285327755697383
2.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,100,0.02495552822270802
4.0,B-SSB,baseline,ssb_pdp,100,0.08420253135024236
4.0,P2-SSB,pol_cycling_prg2,ssb_pdp,100,0.074574501170573
4.0,P6-SSB,pol_cycling_prg6,ssb_pdp,100,0.07502899669868712
4.0,BC-SSB,beam_cycling,ssb_pdp,100,0.07385785740672443
4.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,100,0.015659017757749853
