snr_db,curve_a,curve_b,blocks,n00,n01,n10,n11
-8.0,B-SSB,P2-SSB,100,0,1,0,99
-8.0,B-SSB,P6-SSB,100,0,1,0,99
-8.0,B-SSB,BC-SSB,100,1,0,1,98
-8.0,B-SSB,CDD-SSB,100,1,0,8,91
-8.0,P2-SSB,P6-SSB,100,0,0,0,100
-8.0,P2-SSB,BC-SSB,100,0,0,2,98
-8.0,P2-SSB,CDD-SSB,100,0,0,9,91
-8.0,P6-SSB,BC-SSB,100,0,0,2,98
-8.0,P6-SSB,CDD-SSB,100,0,0,9,91
-8.0,BC-SSB,CDD-SSB,100,2,0,7,91
-6.0,B-SSB,P2-SSB,100,5,3,2,90
-6.0,B-SSB,P6-SSB,100,5,3,2,90
-6.0,B-SSB,BC-SSB,100,7,1,2,90
-6.0,B-SSB,CDD-SSB,100,7,1,22,70
-6.0,P2-SSB,P6-SSB,100,7,0,0,93
-6.0,P2-SSB,BC-SSB,100,5,2,4,89
-6.0,P2-SSB,CDD-SSB,100,6,1,23,70
-6.0,P6-SSB,BC-SSB,100,5,2,4,89
-6.0,P6-SSB,CDD-SSB,100,6,1,23,70
-6.0,BC-SSB,CDD-SSB,100,9,0,20,71
-4.0,B-SSB,P2-SSB,100,32,5,2,61
-4.0,B-SSB,P6-SSB,100,32,5,2,61
-4.0,B-SSB,BC-SSB,100,34,3,8,55
-4.0,B-SSB,CDD-SSB,100,36,1,22,41
-4.0,P2-SSB,P6-SSB,100,34,0,0,66
-4.0,P2-SSB,BC-SSB,100,32,2,10,56
-4.0,P2-SSB,CDD-SSB,100,32,2,26,40
-4.0,P6-SSB,BC-SSB,100,32,2,10,56
-4.0,P6-SSB,CDD-SSB,100,32,2,26,40
-4.0,BC-SSB,CDD-SSB,100,41,1,17,41
-2.0,B-SSB,P2-SSB,100,63,3,10,24
-2.0,B-SSB,P6-SSB,100,64,2,10,24
-2.0,B-SSB,BC-SSB,100,64,2,11,23
-2.0,B-SSB,CDD-SSB,100,63,3,20,14
-2.0,P2-SSB,P6-SSB,100,73,0,1,26
-2.0,P2-SSB,BC-SSB,100,66,7,9,18
-2.0,P2-SSB,CDD-SSB,100,65,8,18,9
-2.0,P6-SSB,BC-SSB,100,67,7,8,18
-2.0,P6-SSB,CDD-SSB,100,66,8,17,9
-2.0,BC-SSB,CDD-SSB,100,72,3,11,14
0.0,B-SSB,P2-SSB,100,89,1,8,2
0.0,B-SSB,P6-SSB,100,89,1,8,2
0.0,B-SSB,BC-SSB,100,90,0,3,7
0.0,B-SSB,CDD-SSB,100,88,2,4,6
0.0,P2-SSB,P6-SSB,100,97,0,0,3
0.0,P2-SSB,BC-SSB,100,92,5,1,2
0.0,P2-SSB,CDD-SSB,100,91,6,1,2
0.0,P6-SSB,BC-SSB,100,92,5,1,2
0.0,P6-SSB,CDD-SSB,100,91,6,1,2
0.0,BC-SSB,CDD-SSB,100,91,2,1,6
2.0,B-SSB,P2-SSB,100,95,0,4,1
2.0,B-SSB,P6-SSB,100,95,0,4,1
2.0,B-SSB,BC-SSB,100,95,0,1,4
2.0,B-SSB,CDD-SSB,100,94,1,4,1
2.0,P2-SSB,P6-SSB,100,99,0,0,1
2.0,P2-SSB,BC-SSB,100,96,3,0,1
2.0,P2-SSB,CDD-SSB,100,98,1,0,1
2.0,P6-SSB,BC-SSB,100,96,3,0,1
2.0,P6-SSB,CDD-SSB,100,98,1,0,1
2.0,BC-SSB,CDD-SSB,100,95,1,3,1
4.0,B-SSB,P2-SSB,100,99,0,1,0
4.0,B-SSB,P6-SSB,100,99,0,0,1
4.0,B-SSB,BC-SSB,100,99,0,1,0
4.0,B-SSB,CDD-SSB,100,99,0,1,0
4.0,P2-SSB,P6-SSB,100,99,1,0,0
4.0,P2-SSB,BC-SSB,100,100,0,0,0
4.0,P2-SSB,CDD-SSB,100,100,0,0,0
4.0,P6-SSB,BC-SSB,100,99,0,1,0
4.0,P6-SSB,CDD-SSB,100,99,0,1,0
4.0,BC-SSB,CDD-SSB,100,100,0,0,0
