snr_db,curve_id,curve_type,scheme,covariance,block_errors,blocks,bler,wilson_low,wilson_high,stop_reason
1.0,B-SSB,estimated_csi,baseline,ssb_pdp,7,100,0.07,0.03431926106727268,0.13749514739073498,fixed_common_drops
1.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,2,100,0.02,0.005501967550162357,0.07001179072854387,fixed_common_drops
1.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,2,100,0.02,0.005501967550162357,0.07001179072854387,fixed_common_drops
1.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,3,100,0.03,0.010254524024038925,0.08451936429052759,fixed_common_drops
1.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,3,100,0.03,0.010254524024038925,0.08451936429052759,fixed_common_drops
1.5,B-SSB,estimated_csi,baseline,ssb_pdp,4,100,0.04,0.01566330399154762,0.09837071435887917,fixed_common_drops
1.5,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,1,100,0.01,0.0017674320641406435,0.054486196178705294,fixed_common_drops
1.5,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,0,100,0.0,0.0,0.03699349820698566,fixed_common_drops
1.5,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,2,100,0.02,0.005501967550162357,0.07001179072854387,fixed_common_drops
1.5,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,2,100,0.02,0.005501967550162357,0.07001179072854387,fixed_common_drops
2.5,B-SSB,estimated_csi,baseline,ssb_pdp,0,100,0.0,0.0,0.03699349820698566,fixed_common_drops
2.5,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,0,100,0.0,0.0,0.03699349820698566,fixed_common_drops
2.5,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,0,100,0.0,0.0,0.03699349820698566,fixed_common_drops
2.5,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,0,100,0.0,0.0,0.03699349820698566,fixed_common_drops
2.5,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,1,100,0.01,0.0017674320641406435,0.054486196178705294,fixed_common_drops
3.0,B-SSB,estimated_csi,baseline,ssb_pdp,0,100,0.0,0.0,0.03699349820698566,fixed_common_drops
3.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,0,100,0.0,0.0,0.03699349820698566,fixed_common_drops
3.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,0,100,0.0,0.0,0.03699349820698566,fixed_common_drops
3.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,0,100,0.0,0.0,0.03699349820698566,fixed_common_drops
3.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,1,100,0.01,0.0017674320641406435,0.054486196178705294,fixed_common_drops
3.5,B-SSB,estimated_csi,baseline,ssb_pdp,0,100,0.0,0.0,0.03699349820698566,fixed_common_drops
3.5,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,0,100,0.0,0.0,0.03699349820698566,fixed_common_drops
3.5,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,0,100,0.0,0.0,0.03699349820698566,fixed_common_drops
3.5,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,0,100,0.0,0.0,0.03699349820698566,fixed_common_drops
3.5,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,1,100,0.01,0.0017674320641406435,0.054486196178705294,fixed_common_drops
4.5,B-SSB,estimated_csi,baseline,ssb_pdp,0,100,0.0,0.0,0.03699349820698566,fixed_common_drops
4.5,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,0,100,0.0,0.0,0.03699349820698566,fixed_common_drops
4.5,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,0,100,0.0,0.0,0.03699349820698566,fixed_common_drops
4.5,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,0,100,0.0,0.0,0.03699349820698566,fixed_common_drops
4.5,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,0,100,0.0,0.0,0.03699349820698566,fixed_common_drops
