snr_db,curve_id,scheme,covariance,blocks,mean_nmse
1.0,B-SSB,baseline,ssb_pdp,100,0.15602079678019898
1.0,P2-SSB,pol_cycling_prg2,ssb_pdp,100,0.14158461528032493
1.0,P6-SSB,pol_cycling_prg6,ssb_pdp,100,0.14156829451659164
1.0,BC-SSB,beam_cycling,ssb_pdp,100,0.1394780145505358
1.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,100,0.03175147567591094
1.5,B-SSB,baseline,ssb_pdp,100,0.14090197873664978
1.5,P2-SSB,pol_cycling_prg2,ssb_pdp,100,0.12784045753106857
1.5,P6-SSB,pol_cycling_prg6,ssb_pdp,100,0.1277516241002429
1.5,BC-SSB,beam_cycling,ssb_pdp,100,0.12516354682660782
1.5,CDD-SSB,beam_cdd,cdd_ssb_pdp,100,0.027274332579373763
2.5,B-SSB,baseline,ssb_pdp,100,0.1156558426886816
2.5,P2-SSB,pol_cycling_prg2,ssb_pdp,100,0.10577465762795037
2.5,P6-SSB,pol_cycling_prg6,ssb_pdp,100,0.10573371717747584
2.5,BC-SSB,beam_cycling,ssb_pdp,100,0.10234342476741923
2.5,CDD-SSB,beam_cdd,cdd_ssb_pdp,100,0.022983477625254704
3.0,B-SSB,baseline,ssb_pdp,100,0.10519096413647627
3.0,P2-SSB,pol_cycling_prg2,ssb_pdp,100,0.09574758744061404
3.0,P6-SSB,pol_cycling_prg6,ssb_pdp,100,0.09592285461428529
3.0,BC-SSB,beam_cycling,ssb_pdp,100,0.09360716463184378
3.0,CDD-SSB,beam_cdd,cdd_ssb_pdp,100,0.021883919829742426
3.5,B-SSB,baseline,ssb_pdp,100,0.09295016912240822
3.5,P2-SSB,pol_cycling_prg2,ssb_pdp,100,0.08385234515158219
3.5,P6-SSB,pol_cycling_prg6,ssb_pdp,100,0.0838742200117373
3.5,BC-SSB,beam_cycling,ssb_pdp,100,0.08208648832495603
3.5,CDD-SSB,beam_cdd,cdd_ssb_pdp,100,0.019095353981225263
4.5,B-SSB,baseline,ssb_pdp,100,0.07512053764407893
4.5,P2-SSB,pol_cycling_prg2,ssb_pdp,100,0.06824563042573237
4.5,P6-SSB,pol_cycling_prg6,ssb_pdp,100,0.06800944135595978
4.5,BC-SSB,beam_cycling,ssb_pdp,100,0.06612671506545585
4.5,CDD-SSB,beam_cdd,cdd_ssb_pdp,100,0.01615816033609193
