snr_db,curve_a,curve_b,blocks,n00,n01,n10,n11
1.0,B-SSB,P2-SSB,100,92,1,6,1
1.0,B-SSB,P6-SSB,100,92,1,6,1
1.0,B-SSB,BC-SSB,100,93,0,4,3
1.0,B-SSB,CDD-SSB,100,92,1,5,2
1.0,P2-SSB,P6-SSB,100,98,0,0,2
1.0,P2-SSB,BC-SSB,100,95,3,2,0
1.0,P2-SSB,CDD-SSB,100,95,3,2,0
1.0,P6-SSB,BC-SSB,100,95,3,2,0
1.0,P6-SSB,CDD-SSB,100,95,3,2,0
1.0,BC-SSB,CDD-SSB,100,95,2,2,1
1.5,B-SSB,P2-SSB,100,96,0,3,1
1.5,B-SSB,P6-SSB,100,96,0,4,0
1.5,B-SSB,BC-SSB,100,96,0,2,2
1.5,B-SSB,CDD-SSB,100,96,0,2,2
1.5,P2-SSB,P6-SSB,100,99,0,1,0
1.5,P2-SSB,BC-SSB,100,98,1,0,1
1.5,P2-SSB,CDD-SSB,100,97,2,1,0
1.5,P6-SSB,BC-SSB,100,98,2,0,0
1.5,P6-SSB,CDD-SSB,100,98,2,0,0
1.5,BC-SSB,CDD-SSB,100,96,2,2,0
2.5,B-SSB,P2-SSB,100,100,0,0,0
2.5,B-SSB,P6-SSB,100,100,0,0,0
2.5,B-SSB,BC-SSB,100,100,0,0,0
2.5,B-SSB,CDD-SSB,100,99,1,0,0
2.5,P2-SSB,P6-SSB,100,100,0,0,0
2.5,P2-SSB,BC-SSB,100,100,0,0,0
2.5,P2-SSB,CDD-SSB,100,99,1,0,0
2.5,P6-SSB,BC-SSB,100,100,0,0,0
2.5,P6-SSB,CDD-SSB,100,99,1,0,0
2.5,BC-SSB,CDD-SSB,100,99,1,0,0
3.0,B-SSB,P2-SSB,100,100,0,0,0
3.0,B-SSB,P6-SSB,100,100,0,0,0
3.0,B-SSB,BC-SSB,100,100,0,0,0
3.0,B-SSB,CDD-SSB,100,99,1,0,0
3.0,P2-SSB,P6-SSB,100,100,0,0,0
3.0,P2-SSB,BC-SSB,100,100,0,0,0
3.0,P2-SSB,CDD-SSB,100,99,1,0,0
3.0,P6-SSB,BC-SSB,100,100,0,0,0
3.0,P6-SSB,CDD-SSB,100,99,1,0,0
3.0,BC-SSB,CDD-SSB,100,99,1,0,0
3.5,B-SSB,P2-SSB,100,100,0,0,0
3.5,B-SSB,P6-SSB,100,100,0,0,0
3.5,B-SSB,BC-SSB,100,100,0,0,0
3.5,B-SSB,CDD-SSB,100,99,1,0,0
3.5,P2-SSB,P6-SSB,100,100,0,0,0
3.5,P2-SSB,BC-SSB,100,100,0,0,0
3.5,P2-SSB,CDD-SSB,100,99,1,0,0
3.5,P6-SSB,BC-SSB,100,100,0,0,0
3.5,P6-SSB,CDD-SSB,100,99,1,0,0
3.5,BC-SSB,CDD-SSB,100,99,1,0,0
4.5,B-SSB,P2-SSB,100,100,0,0,0
4.5,B-SSB,P6-SSB,100,100,0,0,0
4.5,B-SSB,BC-SSB,100,100,0,0,0
4.5,B-SSB,CDD-SSB,100,100,0,0,0
4.5,P2-SSB,P6-SSB,100,100,0,0,0
4.5,P2-SSB,BC-SSB,100,100,0,0,0
4.5,P2-SSB,CDD-SSB,100,100,0,0,0
4.5,P6-SSB,BC-SSB,100,100,0,0,0
4.5,P6-SSB,CDD-SSB,100,100,0,0,0
4.5,BC-SSB,CDD-SSB,100,100,0,0,0
