snr_db,scheme,estimator,block_errors,blocks,bler,wilson_low,wilson_high,mean_nmse
0.0,baseline,lmmse,0,1,0.0,0.0,0.7934506856227626,0.07892374222312526
0.0,pol_cycling,lmmse,0,1,0.0,0.0,0.7934506856227626,0.06528162978174096
0.0,beam_cycling,lmmse,0,1,0.0,0.0,0.7934506856227626,0.07178276166664284
0.0,beam_cdd,lmmse,0,1,0.0,0.0,0.7934506856227626,0.01651558878204412
10.0,baseline,lmmse,0,1,0.0,0.0,0.7934506856227626,0.00995858720332386
10.0,pol_cycling,lmmse,0,1,0.0,0.0,0.7934506856227626,0.008388658495372878
10.0,beam_cycling,lmmse,0,1,0.0,0.0,0.7934506856227626,0.009232766348100272
10.0,beam_cdd,lmmse,0,1,0.0,0.0,0.7934506856227626,0.003076631322704482
20.0,baseline,lmmse,0,1,0.0,0.0,0.7934506856227626,0.0012152603193460818
20.0,pol_cycling,lmmse,0,1,0.0,0.0,0.7934506856227626,0.0010095647896680843
20.0,beam_cycling,lmmse,0,1,0.0,0.0,0.7934506856227626,0.001085456245199943
20.0,beam_cdd,lmmse,0,1,0.0,0.0,0.7934506856227626,0.0004105190740133526
30.0,baseline,lmmse,0,1,0.0,0.0,0.7934506856227626,0.00014889146016274055
30.0,pol_cycling,lmmse,0,1,0.0,0.0,0.7934506856227626,0.0001254902589103818
30.0,beam_cycling,lmmse,0,1,0.0,0.0,0.7934506856227626,0.00013333626190808266
30.0,beam_cdd,lmmse,0,1,0.0,0.0,0.7934506856227626,8.512596762164002e-05
