snr_db,drop_index,radius_m,azimuth_deg,los,scheme,estimator,crc_ok,bit_errors,nmse,selected_ssb,reference_power
0.0,0,102.29018737268659,56.176761724585816,False,baseline,lmmse,True,0,0.012560143518373108,0,6.475757054028239e-10
0.0,0,102.29018737268659,56.176761724585816,False,pol_cycling,lmmse,True,0,0.19221470238812846,0,6.475757054028239e-10
0.0,0,102.29018737268659,56.176761724585816,False,beam_cycling,lmmse,True,0,0.5244526179909434,0,6.475757054028239e-10
0.0,0,102.29018737268659,56.176761724585816,False,beam_cdd,lmmse,True,0,0.01651558878204412,0,6.475757054028239e-10
10.0,0,102.29018737268659,56.176761724585816,False,baseline,lmmse,True,0,0.0020825829816707143,0,6.475757054028239e-10
10.0,0,102.29018737268659,56.176761724585816,False,pol_cycling,lmmse,True,0,0.17616850747457338,0,6.475757054028239e-10
10.0,0,102.29018737268659,56.176761724585816,False,beam_cycling,lmmse,True,0,0.48554399717748004,0,6.475757054028239e-10
10.0,0,102.29018737268659,56.176761724585816,False,beam_cdd,lmmse,True,0,0.003076631322704482,0,6.475757054028239e-10
20.0,0,102.29018737268659,56.176761724585816,False,baseline,lmmse,True,0,0.0002240273264255912,0,6.475757054028239e-10
20.0,0,102.29018737268659,56.176761724585816,False,pol_cycling,lmmse,True,0,0.16841325758021466,0,6.475757054028239e-10
20.0,0,102.29018737268659,56.176761724585816,False,beam_cycling,lmmse,True,0,0.45975463049883614,0,6.475757054028239e-10
20.0,0,102.29018737268659,56.176761724585816,False,beam_cdd,lmmse,True,0,0.0004105190740133526,0,6.475757054028239e-10
30.0,0,102.29018737268659,56.176761724585816,False,baseline,lmmse,True,0,3.359935090642719e-05,0,6.475757054028239e-10
30.0,0,102.29018737268659,56.176761724585816,False,pol_cycling,lmmse,True,0,0.15344462477765258,0,6.475757054028239e-10
30.0,0,102.29018737268659,56.176761724585816,False,beam_cycling,lmmse,True,0,0.41138841272237764,0,6.475757054028239e-10
30.0,0,102.29018737268659,56.176761724585816,False,beam_cdd,lmmse,True,0,8.512596762164002e-05,0,6.475757054028239e-10
