cfg_key,snr_key,snr_db,sigma2,det_threshold,p_fa_emp,target_fa,num_trials
name=F0|LRA=839|Nfft=24576|Nrep=1|ZCZ=8|rtype=unrestricted,-10.0,-10.0,8389.87618612162,92588371026.526,0.001,0.001,5000
name=F0|LRA=839|Nfft=24576|Nrep=1|ZCZ=8|rtype=unrestricted,-8.0,-8.0,5293.653998912909,58566079091.00887,0.001,0.001,5000
name=F0|LRA=839|Nfft=24576|Nrep=1|ZCZ=8|rtype=unrestricted,-6.0,-6.0,3340.069869751045,36346082310.19985,0.001,0.001,5000
name=F0|LRA=839|Nfft=24576|Nrep=1|ZCZ=8|rtype=unrestricted,-4.0,-4.0,2107.4416153964244,23939439009.35815,0.001,0.001,5000
name=F0|LRA=839|Nfft=24576|Nrep=1|ZCZ=8|rtype=unrestricted,-2.0,-2.0,1329.7057652975766,15171568524.305592,0.001,0.001,5000
name=F0|LRA=839|Nfft=24576|Nrep=1|ZCZ=8|rtype=unrestricted,0.0,0.0,838.987618612162,9258837102.652601,0.001,0.001,5000
name=F0|LRA=839|Nfft=24576|Nrep=1|ZCZ=8|rtype=unrestricted,2.0,2.0,529.3653998912908,5876924286.867763,0.001,0.001,5000
name=B4|LRA=139|Nfft=24576|Nrep=12|ZCZ=8|rtype=unrestricted,-16.0,-16.0,5532.152489802185,3996473430.8372273,0.001,0.001,5000
name=F0|LRA=839|Nfft=24576|Nrep=1|ZCZ=8|rtype=unrestricted,-16.0,-16.0,33400.69869751046,368600944155.27673,0.001,0.001,5000
name=B4|LRA=139|Nfft=24576|Nrep=12|ZCZ=8|rtype=unrestricted,-14.0,-14.0,3490.5522442250744,2553010614.191544,0.001,0.001,5000
name=F0|LRA=839|Nfft=24576|Nrep=1|ZCZ=8|rtype=unrestricted,-14.0,-14.0,21074.41615396424,229466760076.93033,0.001,0.001,5000
name=B4|LRA=139|Nfft=24576|Nrep=12|ZCZ=8|rtype=unrestricted,-12.0,-12.0,2202.3895747856327,1614174039.209894,0.001,0.001,5000
name=F0|LRA=839|Nfft=24576|Nrep=1|ZCZ=8|rtype=unrestricted,-12.0,-12.0,13297.057652975765,151047648656.90167,0.001,0.001,5000
name=B4|LRA=139|Nfft=24576|Nrep=12|ZCZ=8|rtype=unrestricted,-10.0,-10.0,1389.6138776176047,1030851455.8477764,0.001,0.001,5000
name=B4|LRA=139|Nfft=24576|Nrep=12|ZCZ=8|rtype=unrestricted,-8.0,-8.0,876.7870820744281,689271896.2151821,0.001,0.001,5000
name=B4|LRA=139|Nfft=24576|Nrep=12|ZCZ=8|rtype=unrestricted,-6.0,-6.0,553.2152489802183,400129650.89560974,0.001,0.001,5000
name=B4|LRA=139|Nfft=24576|Nrep=12|ZCZ=8|rtype=unrestricted,-4.0,-4.0,349.0552244225076,258752600.127388,0.001,0.001,5000
name=B4|LRA=139|Nfft=24576|Nrep=12|ZCZ=8|rtype=unrestricted,-2.0,-2.0,220.23895747856326,160356261.15769058,0.001,0.001,5000
name=B4|LRA=139|Nfft=24576|Nrep=12|ZCZ=8|rtype=unrestricted,0.0,0.0,138.96138776176048,105476609.49149752,0.001,0.001,5000
name=B4|LRA=139|Nfft=24576|Nrep=12|ZCZ=8|rtype=unrestricted,2.0,2.0,87.67870820744281,63517615.68136107,0.001,0.001,5000
