Config,SNR(dB),Sector_Avg_BLER
Cyclic PRG=6 (Bundle-TD CE),-25.0,1.0
Cyclic PRG=6 (Bundle-TD CE),-24.0,0.9975490196078431
Cyclic PRG=6 (Bundle-TD CE),-23.0,0.9907407407407407
Cyclic PRG=6 (Bundle-TD CE),-22.0,0.9359069844422376
Cyclic PRG=6 (Bundle-TD CE),-21.0,0.8662769493113825
Cyclic PRG=6 (Bundle-TD CE),-20.0,0.7362202740462906
Cyclic PRG=6 (Bundle-TD CE),-19.0,0.5663787300230976
Cyclic PRG=6 (Bundle-TD CE),-18.0,0.3716833988399369
Cyclic PRG=6 (Bundle-TD CE),-17.0,0.219415058979061
Cyclic PRG=6 (Bundle-TD CE),-16.0,0.09325746481054353
Cyclic PRG=6 (Bundle-TD CE),-15.0,0.03232547949879763
Cyclic PRG=6 (Bundle-TD CE),-14.0,0.0
Cyclic PRG=6 (Bundle-TD CE),-13.0,0.0
Cyclic PRG=6 (Bundle-TD CE),-12.0,0.0
Cyclic PRG=6 (Bundle-TD CE),-11.0,0.0
Cyclic PRG=8 (Bundle-TD CE),-25.0,1.0
Cyclic PRG=8 (Bundle-TD CE),-24.0,0.9929245283018868
Cyclic PRG=8 (Bundle-TD CE),-23.0,0.9861853832442068
Cyclic PRG=8 (Bundle-TD CE),-22.0,0.9312704053732541
Cyclic PRG=8 (Bundle-TD CE),-21.0,0.8259113011498411
Cyclic PRG=8 (Bundle-TD CE),-20.0,0.6890707057093672
Cyclic PRG=8 (Bundle-TD CE),-19.0,0.5000756348863765
Cyclic PRG=8 (Bundle-TD CE),-18.0,0.32274633489620325
Cyclic PRG=8 (Bundle-TD CE),-17.0,0.18361208541610977
Cyclic PRG=8 (Bundle-TD CE),-16.0,0.0699237402154134
Cyclic PRG=8 (Bundle-TD CE),-15.0,0.021819954762625368
Cyclic PRG=8 (Bundle-TD CE),-14.0,0.0
Cyclic PRG=8 (Bundle-TD CE),-13.0,0.0
Cyclic PRG=8 (Bundle-TD CE),-12.0,0.0
Cyclic PRG=8 (Bundle-TD CE),-11.0,0.0
Cyclic PRG=12 (Bundle-TD CE),-25.0,1.0
Cyclic PRG=12 (Bundle-TD CE),-24.0,0.9841561624649859
Cyclic PRG=12 (Bundle-TD CE),-23.0,0.9640962119614871
Cyclic PRG=12 (Bundle-TD CE),-22.0,0.8920446897294387
Cyclic PRG=12 (Bundle-TD CE),-21.0,0.7399732621546042
Cyclic PRG=12 (Bundle-TD CE),-20.0,0.5879336024396866
Cyclic PRG=12 (Bundle-TD CE),-19.0,0.40696372442935125
Cyclic PRG=12 (Bundle-TD CE),-18.0,0.23593668730457185
Cyclic PRG=12 (Bundle-TD CE),-17.0,0.10280242112795059
Cyclic PRG=12 (Bundle-TD CE),-16.0,0.03871265032653879
Cyclic PRG=12 (Bundle-TD CE),-15.0,0.0
Cyclic PRG=12 (Bundle-TD CE),-14.0,0.0
Cyclic PRG=12 (Bundle-TD CE),-13.0,0.0
Cyclic PRG=12 (Bundle-TD CE),-12.0,0.0
Cyclic PRG=12 (Bundle-TD CE),-11.0,0.0
Cyclic PRG=24 (Bundle-TD CE),-25.0,0.9975490196078431
Cyclic PRG=24 (Bundle-TD CE),-24.0,0.9720911949685535
Cyclic PRG=24 (Bundle-TD CE),-23.0,0.9173571218521275
Cyclic PRG=24 (Bundle-TD CE),-22.0,0.8336136524833946
Cyclic PRG=24 (Bundle-TD CE),-21.0,0.6709783009264498
Cyclic PRG=24 (Bundle-TD CE),-20.0,0.48458893512920087
Cyclic PRG=24 (Bundle-TD CE),-19.0,0.28030707705790275
Cyclic PRG=24 (Bundle-TD CE),-18.0,0.13979530236289076
Cyclic PRG=24 (Bundle-TD CE),-17.0,0.057838069732663484
Cyclic PRG=24 (Bundle-TD CE),-16.0,0.01828159800995383
Cyclic PRG=24 (Bundle-TD CE),-15.0,0.0
Cyclic PRG=24 (Bundle-TD CE),-14.0,0.0
Cyclic PRG=24 (Bundle-TD CE),-13.0,0.0
Cyclic PRG=24 (Bundle-TD CE),-12.0,0.0
Cyclic PRG=24 (Bundle-TD CE),-11.0,0.0
