Config,SNR(dB),Sector_Avg_BLER
4 phase Cyclic PRG=6 (Bundle-TD CE),-25.0,1.0
4 phase Cyclic PRG=6 (Bundle-TD CE),-24.0,1.0
4 phase Cyclic PRG=6 (Bundle-TD CE),-23.0,0.9907407407407407
4 phase Cyclic PRG=6 (Bundle-TD CE),-22.0,0.9349594074492655
4 phase Cyclic PRG=6 (Bundle-TD CE),-21.0,0.8656856261692922
4 phase Cyclic PRG=6 (Bundle-TD CE),-20.0,0.7345355186944181
4 phase Cyclic PRG=6 (Bundle-TD CE),-19.0,0.5769124133796417
4 phase Cyclic PRG=6 (Bundle-TD CE),-18.0,0.363709041824734
4 phase Cyclic PRG=6 (Bundle-TD CE),-17.0,0.2155977486774997
4 phase Cyclic PRG=6 (Bundle-TD CE),-16.0,0.09629650487356164
4 phase Cyclic PRG=6 (Bundle-TD CE),-15.0,0.03303251011271067
4 phase Cyclic PRG=6 (Bundle-TD CE),-14.0,0.0
4 phase Cyclic PRG=6 (Bundle-TD CE),-13.0,0.0
4 phase Cyclic PRG=6 (Bundle-TD CE),-12.0,0.0
4 phase Cyclic PRG=6 (Bundle-TD CE),-11.0,0.0
4 phase Cyclic PRG=12 (Bundle-TD CE),-25.0,0.9975490196078431
4 phase Cyclic PRG=12 (Bundle-TD CE),-24.0,0.9798414304993253
4 phase Cyclic PRG=12 (Bundle-TD CE),-23.0,0.953953511229053
4 phase Cyclic PRG=12 (Bundle-TD CE),-22.0,0.9034269957983193
4 phase Cyclic PRG=12 (Bundle-TD CE),-21.0,0.752354530184884
4 phase Cyclic PRG=12 (Bundle-TD CE),-20.0,0.5941032065522184
4 phase Cyclic PRG=12 (Bundle-TD CE),-19.0,0.4001325438941384
4 phase Cyclic PRG=12 (Bundle-TD CE),-18.0,0.22376759224786652
4 phase Cyclic PRG=12 (Bundle-TD CE),-17.0,0.10316982317634146
4 phase Cyclic PRG=12 (Bundle-TD CE),-16.0,0.037960343183745575
4 phase Cyclic PRG=12 (Bundle-TD CE),-15.0,0.0
4 phase Cyclic PRG=12 (Bundle-TD CE),-14.0,0.0
4 phase Cyclic PRG=12 (Bundle-TD CE),-13.0,0.0
4 phase Cyclic PRG=12 (Bundle-TD CE),-12.0,0.0
4 phase Cyclic PRG=12 (Bundle-TD CE),-11.0,0.0
