Config,SNR(dB),Sector_Avg_BLER
Traditional (Fullband CE),-25.0,0.9838286713286714
Traditional (Fullband CE),-24.0,0.9633969907407407
Traditional (Fullband CE),-23.0,0.895916929906941
Traditional (Fullband CE),-22.0,0.7536687864916887
Traditional (Fullband CE),-21.0,0.60021649359879
Traditional (Fullband CE),-20.0,0.47753308892836005
Traditional (Fullband CE),-19.0,0.26800387580192747
Traditional (Fullband CE),-18.0,0.13398618861424233
Traditional (Fullband CE),-17.0,0.06341509823961819
Traditional (Fullband CE),-16.0,0.0203041408704317
Traditional (Fullband CE),-15.0,0.0
Traditional (Fullband CE),-14.0,0.0
Traditional (Fullband CE),-13.0,0.0
Traditional (Fullband CE),-12.0,0.0
Traditional (Fullband CE),-11.0,0.0
