Config,SNR(dB),Sector_Avg_BLER
Traditional PRG precoding,-25.0,1.0
Traditional PRG precoding,-24.0,1.0
Traditional PRG precoding,-23.0,1.0
Traditional PRG precoding,-22.0,0.9929245283018868
Traditional PRG precoding,-21.0,0.9657487767420265
Traditional PRG precoding,-20.0,0.9303116716749458
Traditional PRG precoding,-19.0,0.8453668918414221
Traditional PRG precoding,-18.0,0.6641708759548325
Traditional PRG precoding,-17.0,0.49594022557029405
Traditional PRG precoding,-16.0,0.29718128818865897
Traditional PRG precoding,-15.0,0.1835276019648629
Traditional PRG precoding,-14.0,0.08299264798492936
Traditional PRG precoding,-13.0,0.0320742890986754
Traditional PRG precoding,-12.0,0.0
Traditional PRG precoding,-11.0,0.0
Cyclic PRG precoding,-25.0,1.0
Cyclic PRG precoding,-24.0,1.0
Cyclic PRG precoding,-23.0,0.9975490196078431
Cyclic PRG precoding,-22.0,0.9951923076923077
Cyclic PRG precoding,-21.0,0.9770806907668728
Cyclic PRG precoding,-20.0,0.9528590282266753
Cyclic PRG precoding,-19.0,0.8275186570136626
Cyclic PRG precoding,-18.0,0.6604661793625726
Cyclic PRG precoding,-17.0,0.45619575791512434
Cyclic PRG precoding,-16.0,0.2806912969746919
Cyclic PRG precoding,-15.0,0.1512919870572964
Cyclic PRG precoding,-14.0,0.04761069913979744
Cyclic PRG precoding,-13.0,0.013190871254162042
Cyclic PRG precoding,-12.0,0.0
Cyclic PRG precoding,-11.0,0.0
