Config,Family,Scheme,PRG_Size_RB,Precoding_Mode,CE_Mode,Precoding_Basis,DMRS_Pattern,N_Coarse_SSB,N_Fine_Beams,Channel_Model,CDL_Type,Random_AOD_Rotation,Angle_Gap_Max_Deg,SNR(dB),BLER
Comb-DMRS-array: RE-level qh_a/qh_b fine-beam states,array_based,array_comb_re_dmrs,48,traditional,fullband,polarization,comb2_re,8,16,CDL,CDLC,True,15,-17,0.8438818565400844
Comb-DMRS-array: RE-level qh_a/qh_b fine-beam states,array_based,array_comb_re_dmrs,48,traditional,fullband,polarization,comb2_re,8,16,CDL,CDLC,True,15,-15,0.6756756756756757
Comb-DMRS-array: RE-level qh_a/qh_b fine-beam states,array_based,array_comb_re_dmrs,48,traditional,fullband,polarization,comb2_re,8,16,CDL,CDLC,True,15,-13,0.3968253968253968
Comb-DMRS-array: RE-level qh_a/qh_b fine-beam states,array_based,array_comb_re_dmrs,48,traditional,fullband,polarization,comb2_re,8,16,CDL,CDLC,True,15,-11,0.24783147459727387
Comb-DMRS-array: RE-level qh_a/qh_b fine-beam states,array_based,array_comb_re_dmrs,48,traditional,fullband,polarization,comb2_re,8,16,CDL,CDLC,True,15,-9,0.10828370330265295
Comb-DMRS-array: RE-level qh_a/qh_b fine-beam states,array_based,array_comb_re_dmrs,48,traditional,fullband,polarization,comb2_re,8,16,CDL,CDLC,True,15,-7,0.034333333333333334
Comb-DMRS-array: RE-level qh_a/qh_b fine-beam states,array_based,array_comb_re_dmrs,48,traditional,fullband,polarization,comb2_re,8,16,CDL,CDLC,True,15,-5,0.010666666666666666
Comb-DMRS-array: RE-level qh_a/qh_b fine-beam states,array_based,array_comb_re_dmrs,48,traditional,fullband,polarization,comb2_re,8,16,CDL,CDLC,True,15,-3,0.0
Comb-DMRS-array: RE-level qh_a/qh_b fine-beam states,array_based,array_comb_re_dmrs,48,traditional,fullband,polarization,comb2_re,8,16,CDL,CDLC,True,15,-1,0.0
"Comb-DMRS-precoding: RE-level dual-pol [1,1]/[1,j] states",precoding_based,precoding_comb_re_dmrs,48,cyclic,fullband,polarization,comb2_re,8,16,CDL,CDLC,True,15,-17,0.684931506849315
"Comb-DMRS-precoding: RE-level dual-pol [1,1]/[1,j] states",precoding_based,precoding_comb_re_dmrs,48,cyclic,fullband,polarization,comb2_re,8,16,CDL,CDLC,True,15,-15,0.56657223796034
"Comb-DMRS-precoding: RE-level dual-pol [1,1]/[1,j] states",precoding_based,precoding_comb_re_dmrs,48,cyclic,fullband,polarization,comb2_re,8,16,CDL,CDLC,True,15,-13,0.38461538461538464
"Comb-DMRS-precoding: RE-level dual-pol [1,1]/[1,j] states",precoding_based,precoding_comb_re_dmrs,48,cyclic,fullband,polarization,comb2_re,8,16,CDL,CDLC,True,15,-11,0.2898550724637681
"Comb-DMRS-precoding: RE-level dual-pol [1,1]/[1,j] states",precoding_based,precoding_comb_re_dmrs,48,cyclic,fullband,polarization,comb2_re,8,16,CDL,CDLC,True,15,-9,0.1768346595932803
"Comb-DMRS-precoding: RE-level dual-pol [1,1]/[1,j] states",precoding_based,precoding_comb_re_dmrs,48,cyclic,fullband,polarization,comb2_re,8,16,CDL,CDLC,True,15,-7,0.1088139281828074
"Comb-DMRS-precoding: RE-level dual-pol [1,1]/[1,j] states",precoding_based,precoding_comb_re_dmrs,48,cyclic,fullband,polarization,comb2_re,8,16,CDL,CDLC,True,15,-5,0.058
"Comb-DMRS-precoding: RE-level dual-pol [1,1]/[1,j] states",precoding_based,precoding_comb_re_dmrs,48,cyclic,fullband,polarization,comb2_re,8,16,CDL,CDLC,True,15,-3,0.021
"Comb-DMRS-precoding: RE-level dual-pol [1,1]/[1,j] states",precoding_based,precoding_comb_re_dmrs,48,cyclic,fullband,polarization,comb2_re,8,16,CDL,CDLC,True,15,-1,0.0
"Baseline: coarse 4H beam, 24RB CE, legacy DMRS",array_based,array_coarse_baseline,24,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-17,0.6825938566552902
"Baseline: coarse 4H beam, 24RB CE, legacy DMRS",array_based,array_coarse_baseline,24,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-15,0.5012531328320802
"Baseline: coarse 4H beam, 24RB CE, legacy DMRS",array_based,array_coarse_baseline,24,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-13,0.29985007496251875
"Baseline: coarse 4H beam, 24RB CE, legacy DMRS",array_based,array_coarse_baseline,24,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-11,0.17391304347826086
"Baseline: coarse 4H beam, 24RB CE, legacy DMRS",array_based,array_coarse_baseline,24,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-9,0.0685166152792052
"Baseline: coarse 4H beam, 24RB CE, legacy DMRS",array_based,array_coarse_baseline,24,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-7,0.026333333333333334
"Baseline: coarse 4H beam, 24RB CE, legacy DMRS",array_based,array_coarse_baseline,24,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-5,0.0
"Baseline: coarse 4H beam, 24RB CE, legacy DMRS",array_based,array_coarse_baseline,24,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-3,0.0
"Baseline: coarse 4H beam, 24RB CE, legacy DMRS",array_based,array_coarse_baseline,24,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-1,0.0
"Baseline: coarse 4H beam, 8RB CE, legacy DMRS",array_based,array_coarse_baseline,8,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-17,0.746268656716418
"Baseline: coarse 4H beam, 8RB CE, legacy DMRS",array_based,array_coarse_baseline,8,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-15,0.5934718100890207
"Baseline: coarse 4H beam, 8RB CE, legacy DMRS",array_based,array_coarse_baseline,8,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-13,0.3466204506065858
"Baseline: coarse 4H beam, 8RB CE, legacy DMRS",array_based,array_coarse_baseline,8,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-11,0.21691973969631237
"Baseline: coarse 4H beam, 8RB CE, legacy DMRS",array_based,array_coarse_baseline,8,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-9,0.09276437847866419
"Baseline: coarse 4H beam, 8RB CE, legacy DMRS",array_based,array_coarse_baseline,8,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-7,0.04
"Baseline: coarse 4H beam, 8RB CE, legacy DMRS",array_based,array_coarse_baseline,8,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-5,0.014
"Baseline: coarse 4H beam, 8RB CE, legacy DMRS",array_based,array_coarse_baseline,8,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-3,0.0
"Baseline: coarse 4H beam, 8RB CE, legacy DMRS",array_based,array_coarse_baseline,8,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-1,0.0
"PRG-array: 8H fine pair qh_a/qh_b, PRG=24RB, legacy DMRS",array_based,array_fdm_fine,24,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-17,0.6711409395973155
"PRG-array: 8H fine pair qh_a/qh_b, PRG=24RB, legacy DMRS",array_based,array_fdm_fine,24,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-15,0.49019607843137253
"PRG-array: 8H fine pair qh_a/qh_b, PRG=24RB, legacy DMRS",array_based,array_fdm_fine,24,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-13,0.2544529262086514
"PRG-array: 8H fine pair qh_a/qh_b, PRG=24RB, legacy DMRS",array_based,array_fdm_fine,24,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-11,0.1443001443001443
"PRG-array: 8H fine pair qh_a/qh_b, PRG=24RB, legacy DMRS",array_based,array_fdm_fine,24,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-9,0.048666666666666664
"PRG-array: 8H fine pair qh_a/qh_b, PRG=24RB, legacy DMRS",array_based,array_fdm_fine,24,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-7,0.016
"PRG-array: 8H fine pair qh_a/qh_b, PRG=24RB, legacy DMRS",array_based,array_fdm_fine,24,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-5,0.0
"PRG-array: 8H fine pair qh_a/qh_b, PRG=24RB, legacy DMRS",array_based,array_fdm_fine,24,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-3,0.0
"PRG-array: 8H fine pair qh_a/qh_b, PRG=24RB, legacy DMRS",array_based,array_fdm_fine,24,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-1,0.0
"PRG-array: 8H fine pair qh_a/qh_b, PRG=8RB, legacy DMRS",array_based,array_fdm_fine,8,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-17,0.7272727272727273
"PRG-array: 8H fine pair qh_a/qh_b, PRG=8RB, legacy DMRS",array_based,array_fdm_fine,8,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-15,0.5420054200542005
"PRG-array: 8H fine pair qh_a/qh_b, PRG=8RB, legacy DMRS",array_based,array_fdm_fine,8,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-13,0.31446540880503143
"PRG-array: 8H fine pair qh_a/qh_b, PRG=8RB, legacy DMRS",array_based,array_fdm_fine,8,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-11,0.1813236627379873
"PRG-array: 8H fine pair qh_a/qh_b, PRG=8RB, legacy DMRS",array_based,array_fdm_fine,8,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-9,0.061
"PRG-array: 8H fine pair qh_a/qh_b, PRG=8RB, legacy DMRS",array_based,array_fdm_fine,8,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-7,0.02033333333333333
"PRG-array: 8H fine pair qh_a/qh_b, PRG=8RB, legacy DMRS",array_based,array_fdm_fine,8,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-5,0.0
"PRG-array: 8H fine pair qh_a/qh_b, PRG=8RB, legacy DMRS",array_based,array_fdm_fine,8,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-3,0.0
"PRG-array: 8H fine pair qh_a/qh_b, PRG=8RB, legacy DMRS",array_based,array_fdm_fine,8,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-1,0.0
"PRG-precoding: centered spatial beam, dual-pol [1,1]/[1,j], PRG=24RB",precoding_based,precoding_cyclic,24,cyclic,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-17,0.6191950464396285
"PRG-precoding: centered spatial beam, dual-pol [1,1]/[1,j], PRG=24RB",precoding_based,precoding_cyclic,24,cyclic,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-15,0.49627791563275436
"PRG-precoding: centered spatial beam, dual-pol [1,1]/[1,j], PRG=24RB",precoding_based,precoding_cyclic,24,cyclic,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-13,0.3215434083601286
"PRG-precoding: centered spatial beam, dual-pol [1,1]/[1,j], PRG=24RB",precoding_based,precoding_cyclic,24,cyclic,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-11,0.23337222870478413
"PRG-precoding: centered spatial beam, dual-pol [1,1]/[1,j], PRG=24RB",precoding_based,precoding_cyclic,24,cyclic,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-9,0.14814814814814814
"PRG-precoding: centered spatial beam, dual-pol [1,1]/[1,j], PRG=24RB",precoding_based,precoding_cyclic,24,cyclic,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-7,0.07713073659853452
"PRG-precoding: centered spatial beam, dual-pol [1,1]/[1,j], PRG=24RB",precoding_based,precoding_cyclic,24,cyclic,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-5,0.037
"PRG-precoding: centered spatial beam, dual-pol [1,1]/[1,j], PRG=24RB",precoding_based,precoding_cyclic,24,cyclic,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-3,0.010333333333333333
"PRG-precoding: centered spatial beam, dual-pol [1,1]/[1,j], PRG=24RB",precoding_based,precoding_cyclic,24,cyclic,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-1,0.0
"PRG-precoding: centered spatial beam, dual-pol [1,1]/[1,j], PRG=8RB",precoding_based,precoding_cyclic,8,cyclic,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-17,0.6578947368421053
"PRG-precoding: centered spatial beam, dual-pol [1,1]/[1,j], PRG=8RB",precoding_based,precoding_cyclic,8,cyclic,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-15,0.5509641873278237
"PRG-precoding: centered spatial beam, dual-pol [1,1]/[1,j], PRG=8RB",precoding_based,precoding_cyclic,8,cyclic,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-13,0.3663003663003663
"PRG-precoding: centered spatial beam, dual-pol [1,1]/[1,j], PRG=8RB",precoding_based,precoding_cyclic,8,cyclic,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-11,0.2684563758389262
"PRG-precoding: centered spatial beam, dual-pol [1,1]/[1,j], PRG=8RB",precoding_based,precoding_cyclic,8,cyclic,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-9,0.17316017316017315
"PRG-precoding: centered spatial beam, dual-pol [1,1]/[1,j], PRG=8RB",precoding_based,precoding_cyclic,8,cyclic,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-7,0.09629272989889263
"PRG-precoding: centered spatial beam, dual-pol [1,1]/[1,j], PRG=8RB",precoding_based,precoding_cyclic,8,cyclic,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-5,0.050666666666666665
"PRG-precoding: centered spatial beam, dual-pol [1,1]/[1,j], PRG=8RB",precoding_based,precoding_cyclic,8,cyclic,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-3,0.015666666666666666
"PRG-precoding: centered spatial beam, dual-pol [1,1]/[1,j], PRG=8RB",precoding_based,precoding_cyclic,8,cyclic,fullband,polarization,legacy,8,16,CDL,CDLC,True,15,-1,0.0
