Config,Family,Scheme,PRG_Size_RB,Precoding_Mode,CE_Mode,Precoding_Basis,DMRS_Pattern,N_Coarse_SSB,N_Fine_Beams,Channel_Model,CDL_Type,Fixed_AOD_Deg,SNR(dB),BLER
"Baseline: coarse 4H beam, 24RB CE, legacy DMRS",array_based,array_coarse_baseline,24,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,7.5,-17,0.78125
"Baseline: coarse 4H beam, 24RB CE, legacy DMRS",array_based,array_coarse_baseline,24,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,7.5,-15,0.5449591280653951
"Baseline: coarse 4H beam, 24RB CE, legacy DMRS",array_based,array_coarse_baseline,24,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,7.5,-13,0.351493848857645
"Baseline: coarse 4H beam, 24RB CE, legacy DMRS",array_based,array_coarse_baseline,24,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,7.5,-11,0.18
"Baseline: coarse 4H beam, 24RB CE, legacy DMRS",array_based,array_coarse_baseline,24,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,7.5,-9,0.076
"Baseline: coarse 4H beam, 24RB CE, legacy DMRS",array_based,array_coarse_baseline,24,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,7.5,-7,0.021
"Baseline: coarse 4H beam, 24RB CE, legacy DMRS",array_based,array_coarse_baseline,24,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,7.5,-5,0.0
"Baseline: coarse 4H beam, 24RB CE, legacy DMRS",array_based,array_coarse_baseline,24,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,7.5,-3,0.0
"Baseline: coarse 4H beam, 24RB CE, legacy DMRS",array_based,array_coarse_baseline,24,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,7.5,-1,0.0
"Baseline: coarse 4H beam, 8RB CE, legacy DMRS",array_based,array_coarse_baseline,8,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,7.5,-17,0.847457627118644
"Baseline: coarse 4H beam, 8RB CE, legacy DMRS",array_based,array_coarse_baseline,8,traditional,fullband,polarization,legacy,8,16,CDL,CDLC,7.5,-15,0.6097560975609756
