Config,Total_Beams,Vertical_Beams,Horizontal_Beams,Tx_M,Tx_N,Tx_P,Mp,Np,dH_lambda,dV_lambda,TX_PORTS,PRG_Size_RB,CE_Mode,DMRS_Pattern,Channel_Model,CDL_Type,AOD_Base_Deg,AOD_Random_Span_Deg,Pass_Absolute_AOD_To_Channel,SNR(dB),BLER
"NR baseline: 8 beams (2Vx4H), 24RB CE",8,2,4,6,16,2,1,4,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-17,0.72
"NR baseline: 8 beams (2Vx4H), 24RB CE",8,2,4,6,16,2,1,4,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-15,0.44
"NR baseline: 8 beams (2Vx4H), 24RB CE",8,2,4,6,16,2,1,4,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-13,0.33
"NR baseline: 8 beams (2Vx4H), 24RB CE",8,2,4,6,16,2,1,4,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-11,0.15
"NR baseline: 8 beams (2Vx4H), 24RB CE",8,2,4,6,16,2,1,4,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-9,0.07
"NR baseline: 8 beams (2Vx4H), 24RB CE",8,2,4,6,16,2,1,4,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-7,0.02
"NR baseline: 8 beams (2Vx4H), 24RB CE",8,2,4,6,16,2,1,4,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-5,0.0
"NR baseline: 8 beams (2Vx4H), 24RB CE",8,2,4,6,16,2,1,4,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-3,0.0
"NR baseline: 8 beams (2Vx4H), 24RB CE",8,2,4,6,16,2,1,4,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-1,0.0
"NR baseline: 16 beams (2Vx8H), 24RB CE",16,2,8,6,16,2,1,8,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-17,0.69
"NR baseline: 16 beams (2Vx8H), 24RB CE",16,2,8,6,16,2,1,8,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-15,0.49
"NR baseline: 16 beams (2Vx8H), 24RB CE",16,2,8,6,16,2,1,8,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-13,0.45
"NR baseline: 16 beams (2Vx8H), 24RB CE",16,2,8,6,16,2,1,8,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-11,0.26
"NR baseline: 16 beams (2Vx8H), 24RB CE",16,2,8,6,16,2,1,8,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-9,0.19
"NR baseline: 16 beams (2Vx8H), 24RB CE",16,2,8,6,16,2,1,8,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-7,0.13
"NR baseline: 16 beams (2Vx8H), 24RB CE",16,2,8,6,16,2,1,8,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-5,0.03
"NR baseline: 16 beams (2Vx8H), 24RB CE",16,2,8,6,16,2,1,8,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-3,0.0
"NR baseline: 16 beams (2Vx8H), 24RB CE",16,2,8,6,16,2,1,8,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-1,0.0
"NR baseline: 32 beams (2Vx16H), 24RB CE",32,2,16,6,16,2,1,16,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-17,0.74
"NR baseline: 32 beams (2Vx16H), 24RB CE",32,2,16,6,16,2,1,16,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-15,0.64
"NR baseline: 32 beams (2Vx16H), 24RB CE",32,2,16,6,16,2,1,16,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-13,0.53
"NR baseline: 32 beams (2Vx16H), 24RB CE",32,2,16,6,16,2,1,16,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-11,0.49
"NR baseline: 32 beams (2Vx16H), 24RB CE",32,2,16,6,16,2,1,16,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-9,0.38
"NR baseline: 32 beams (2Vx16H), 24RB CE",32,2,16,6,16,2,1,16,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-7,0.23
"NR baseline: 32 beams (2Vx16H), 24RB CE",32,2,16,6,16,2,1,16,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-5,0.2
"NR baseline: 32 beams (2Vx16H), 24RB CE",32,2,16,6,16,2,1,16,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-3,0.09
"NR baseline: 32 beams (2Vx16H), 24RB CE",32,2,16,6,16,2,1,16,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-1,0.05
