Config,Total_Beams,Vertical_Beams,Horizontal_Beams,Tx_M,Tx_N,Tx_P,Mp,Np,dH_lambda,dV_lambda,TX_PORTS,PRG_Size_RB,CE_Mode,DMRS_Pattern,Channel_Model,CDL_Type,AOD_Base_Deg,AOD_Random_Span_Deg,Pass_Absolute_AOD_To_Channel,SNR(dB),BLER
"NR baseline: 8 beams (2Vx4H), 24RB CE",8,2,4,6,16,2,1,4,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,0.0,False,-17,0.5988023952095808
"NR baseline: 8 beams (2Vx4H), 24RB CE",8,2,4,6,16,2,1,4,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,0.0,False,-15,0.38684719535783363
"NR baseline: 8 beams (2Vx4H), 24RB CE",8,2,4,6,16,2,1,4,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,0.0,False,-13,0.2089864158829676
"NR baseline: 8 beams (2Vx4H), 24RB CE",8,2,4,6,16,2,1,4,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,0.0,False,-11,0.0785
"NR baseline: 8 beams (2Vx4H), 24RB CE",8,2,4,6,16,2,1,4,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,0.0,False,-9,0.0355
"NR baseline: 8 beams (2Vx4H), 24RB CE",8,2,4,6,16,2,1,4,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,0.0,False,-7,0.003
"NR baseline: 8 beams (2Vx4H), 24RB CE",8,2,4,6,16,2,1,4,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,0.0,False,-5,0.0
"NR baseline: 8 beams (2Vx4H), 24RB CE",8,2,4,6,16,2,1,4,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,0.0,False,-3,0.0
"NR baseline: 8 beams (2Vx4H), 24RB CE",8,2,4,6,16,2,1,4,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,0.0,False,-1,0.0
"NR baseline: 16 beams (2Vx8H), 24RB CE",16,2,8,6,16,2,1,8,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,0.0,False,-17,0.29542097488921715
"NR baseline: 16 beams (2Vx8H), 24RB CE",16,2,8,6,16,2,1,8,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,0.0,False,-15,0.15847860538827258
"NR baseline: 16 beams (2Vx8H), 24RB CE",16,2,8,6,16,2,1,8,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,0.0,False,-13,0.058
"NR baseline: 16 beams (2Vx8H), 24RB CE",16,2,8,6,16,2,1,8,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,0.0,False,-11,0.0175
"NR baseline: 16 beams (2Vx8H), 24RB CE",16,2,8,6,16,2,1,8,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,0.0,False,-9,0.0
"NR baseline: 16 beams (2Vx8H), 24RB CE",16,2,8,6,16,2,1,8,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,0.0,False,-7,0.0
"NR baseline: 16 beams (2Vx8H), 24RB CE",16,2,8,6,16,2,1,8,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,0.0,False,-5,0.0
"NR baseline: 16 beams (2Vx8H), 24RB CE",16,2,8,6,16,2,1,8,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,0.0,False,-3,0.0
"NR baseline: 16 beams (2Vx8H), 24RB CE",16,2,8,6,16,2,1,8,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,0.0,False,-1,0.0
"NR baseline: 32 beams (2Vx16H), 24RB CE",32,2,16,6,16,2,1,16,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,0.0,False,-17,0.132013201320132
"NR baseline: 32 beams (2Vx16H), 24RB CE",32,2,16,6,16,2,1,16,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,0.0,False,-15,0.0525
"NR baseline: 32 beams (2Vx16H), 24RB CE",32,2,16,6,16,2,1,16,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,0.0,False,-13,0.015
"NR baseline: 32 beams (2Vx16H), 24RB CE",32,2,16,6,16,2,1,16,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,0.0,False,-11,0.0
"NR baseline: 32 beams (2Vx16H), 24RB CE",32,2,16,6,16,2,1,16,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,0.0,False,-9,0.0
"NR baseline: 32 beams (2Vx16H), 24RB CE",32,2,16,6,16,2,1,16,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,0.0,False,-7,0.0
"NR baseline: 32 beams (2Vx16H), 24RB CE",32,2,16,6,16,2,1,16,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,0.0,False,-5,0.0
"NR baseline: 32 beams (2Vx16H), 24RB CE",32,2,16,6,16,2,1,16,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,0.0,False,-3,0.0
"NR baseline: 32 beams (2Vx16H), 24RB CE",32,2,16,6,16,2,1,16,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,0.0,False,-1,0.0
