Config,Total_Beams,Vertical_Beams,Horizontal_Beams,Tx_M,Tx_N,Tx_P,Mp,Np,dH_lambda,dV_lambda,TX_PORTS,PRG_Size_RB,CE_Mode,DMRS_Pattern,Channel_Model,CDL_Type,AOD_Base_Deg,AOD_Random_Span_Deg,Pass_Absolute_AOD_To_Channel,SNR(dB),BLER
"NR baseline: 8 beams (2Vx4H), 24RB CE",8,2,4,6,16,2,1,4,0.5,0.8,192,24,ideal,legacy,CDL,CDLC,30.0,0.0,False,-19,0.5128205128205128
"NR baseline: 8 beams (2Vx4H), 24RB CE",8,2,4,6,16,2,1,4,0.5,0.8,192,24,ideal,legacy,CDL,CDLC,30.0,0.0,False,-17,0.3179650238473768
"NR baseline: 8 beams (2Vx4H), 24RB CE",8,2,4,6,16,2,1,4,0.5,0.8,192,24,ideal,legacy,CDL,CDLC,30.0,0.0,False,-15,0.176
"NR baseline: 8 beams (2Vx4H), 24RB CE",8,2,4,6,16,2,1,4,0.5,0.8,192,24,ideal,legacy,CDL,CDLC,30.0,0.0,False,-13,0.067
"NR baseline: 8 beams (2Vx4H), 24RB CE",8,2,4,6,16,2,1,4,0.5,0.8,192,24,ideal,legacy,CDL,CDLC,30.0,0.0,False,-11,0.019
"NR baseline: 8 beams (2Vx4H), 24RB CE",8,2,4,6,16,2,1,4,0.5,0.8,192,24,ideal,legacy,CDL,CDLC,30.0,0.0,False,-9,0.0
"NR baseline: 8 beams (2Vx4H), 24RB CE",8,2,4,6,16,2,1,4,0.5,0.8,192,24,ideal,legacy,CDL,CDLC,30.0,0.0,False,-7,0.0
"NR baseline: 8 beams (2Vx4H), 24RB CE",8,2,4,6,16,2,1,4,0.5,0.8,192,24,ideal,legacy,CDL,CDLC,30.0,0.0,False,-5,0.0
"NR baseline: 8 beams (2Vx4H), 24RB CE",8,2,4,6,16,2,1,4,0.5,0.8,192,24,ideal,legacy,CDL,CDLC,30.0,0.0,False,-3,0.0
"NR baseline: 8 beams (2Vx4H), 24RB CE",8,2,4,6,16,2,1,4,0.5,0.8,192,24,ideal,legacy,CDL,CDLC,30.0,0.0,False,-1,0.0
"NR baseline: 16 beams (2Vx8H), 24RB CE",16,2,8,6,16,2,1,8,0.5,0.8,192,24,ideal,legacy,CDL,CDLC,30.0,0.0,False,-19,0.24906600249066002
"NR baseline: 16 beams (2Vx8H), 24RB CE",16,2,8,6,16,2,1,8,0.5,0.8,192,24,ideal,legacy,CDL,CDLC,30.0,0.0,False,-17,0.112
"NR baseline: 16 beams (2Vx8H), 24RB CE",16,2,8,6,16,2,1,8,0.5,0.8,192,24,ideal,legacy,CDL,CDLC,30.0,0.0,False,-15,0.052
"NR baseline: 16 beams (2Vx8H), 24RB CE",16,2,8,6,16,2,1,8,0.5,0.8,192,24,ideal,legacy,CDL,CDLC,30.0,0.0,False,-13,0.013
"NR baseline: 16 beams (2Vx8H), 24RB CE",16,2,8,6,16,2,1,8,0.5,0.8,192,24,ideal,legacy,CDL,CDLC,30.0,0.0,False,-11,0.0
"NR baseline: 16 beams (2Vx8H), 24RB CE",16,2,8,6,16,2,1,8,0.5,0.8,192,24,ideal,legacy,CDL,CDLC,30.0,0.0,False,-9,0.0
"NR baseline: 16 beams (2Vx8H), 24RB CE",16,2,8,6,16,2,1,8,0.5,0.8,192,24,ideal,legacy,CDL,CDLC,30.0,0.0,False,-7,0.0
"NR baseline: 16 beams (2Vx8H), 24RB CE",16,2,8,6,16,2,1,8,0.5,0.8,192,24,ideal,legacy,CDL,CDLC,30.0,0.0,False,-5,0.0
"NR baseline: 16 beams (2Vx8H), 24RB CE",16,2,8,6,16,2,1,8,0.5,0.8,192,24,ideal,legacy,CDL,CDLC,30.0,0.0,False,-3,0.0
"NR baseline: 16 beams (2Vx8H), 24RB CE",16,2,8,6,16,2,1,8,0.5,0.8,192,24,ideal,legacy,CDL,CDLC,30.0,0.0,False,-1,0.0
"NR baseline: 32 beams (2Vx16H), 24RB CE",32,2,16,6,16,2,1,16,0.5,0.8,192,24,ideal,legacy,CDL,CDLC,30.0,0.0,False,-19,0.091
