Config,Total_Beams,Vertical_Beams,Horizontal_Beams,Tx_M,Tx_N,Tx_P,Mp,Np,dH_lambda,dV_lambda,TX_PORTS,PRG_Size_RB,CE_Mode,DMRS_Pattern,Channel_Model,CDL_Type,AOD_Base_Deg,AOD_Random_Span_Deg,Pass_Absolute_AOD_To_Channel,SNR(dB),BLER
"NR baseline: 8 beams (2Vx4H), 24RB CE",8,2,4,6,16,2,1,4,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-17,0.6825938566552902
"NR baseline: 8 beams (2Vx4H), 24RB CE",8,2,4,6,16,2,1,4,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-15,0.49382716049382713
"NR baseline: 8 beams (2Vx4H), 24RB CE",8,2,4,6,16,2,1,4,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-13,0.3048780487804878
"NR baseline: 8 beams (2Vx4H), 24RB CE",8,2,4,6,16,2,1,4,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-11,0.16090104585679807
"NR baseline: 8 beams (2Vx4H), 24RB CE",8,2,4,6,16,2,1,4,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-9,0.0765
"NR baseline: 8 beams (2Vx4H), 24RB CE",8,2,4,6,16,2,1,4,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-7,0.0185
"NR baseline: 8 beams (2Vx4H), 24RB CE",8,2,4,6,16,2,1,4,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-5,0.0
"NR baseline: 8 beams (2Vx4H), 24RB CE",8,2,4,6,16,2,1,4,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-3,0.0
"NR baseline: 8 beams (2Vx4H), 24RB CE",8,2,4,6,16,2,1,4,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-1,0.0
"NR baseline: 16 beams (2Vx8H), 24RB CE",16,2,8,6,16,2,1,8,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-17,0.6535947712418301
"NR baseline: 16 beams (2Vx8H), 24RB CE",16,2,8,6,16,2,1,8,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-15,0.5376344086021505
"NR baseline: 16 beams (2Vx8H), 24RB CE",16,2,8,6,16,2,1,8,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-13,0.3976143141153082
"NR baseline: 16 beams (2Vx8H), 24RB CE",16,2,8,6,16,2,1,8,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-11,0.25252525252525254
"NR baseline: 16 beams (2Vx8H), 24RB CE",16,2,8,6,16,2,1,8,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-9,0.17985611510791366
"NR baseline: 16 beams (2Vx8H), 24RB CE",16,2,8,6,16,2,1,8,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-7,0.0945
"NR baseline: 16 beams (2Vx8H), 24RB CE",16,2,8,6,16,2,1,8,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-5,0.048
"NR baseline: 16 beams (2Vx8H), 24RB CE",16,2,8,6,16,2,1,8,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-3,0.023
"NR baseline: 16 beams (2Vx8H), 24RB CE",16,2,8,6,16,2,1,8,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-1,0.0
"NR baseline: 32 beams (2Vx16H), 24RB CE",32,2,16,6,16,2,1,16,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-17,0.7168458781362007
"NR baseline: 32 beams (2Vx16H), 24RB CE",32,2,16,6,16,2,1,16,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-15,0.6349206349206349
"NR baseline: 32 beams (2Vx16H), 24RB CE",32,2,16,6,16,2,1,16,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-13,0.5555555555555556
"NR baseline: 32 beams (2Vx16H), 24RB CE",32,2,16,6,16,2,1,16,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-11,0.449438202247191
"NR baseline: 32 beams (2Vx16H), 24RB CE",32,2,16,6,16,2,1,16,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-9,0.3412969283276451
"NR baseline: 32 beams (2Vx16H), 24RB CE",32,2,16,6,16,2,1,16,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-7,0.24154589371980675
"NR baseline: 32 beams (2Vx16H), 24RB CE",32,2,16,6,16,2,1,16,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-5,0.15987210231814547
"NR baseline: 32 beams (2Vx16H), 24RB CE",32,2,16,6,16,2,1,16,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-3,0.0695
"NR baseline: 32 beams (2Vx16H), 24RB CE",32,2,16,6,16,2,1,16,0.5,0.8,192,24,fullband,legacy,CDL,CDLC,30.0,15.0,False,-1,0.0325
